gene,class,expressed_abc,cpm_abc,targets,cov,signal_k562,signal_cd4_mix,rho
TSPAN6,other,True,92.6315,0,,,,
TNMD,other,False,0.0139883,0,,,,
DPM1,other,True,329.966,8423,0.000405036,0.00154494,-0.000711185,inf
SCYL3,other,True,14.8103,8423,4.24692e-06,-0.310665,-0.0074195,inf
C1orf112,other,True,82.2874,8423,0.000484432,-0.0700437,0.00267397,inf
FGR,other,False,2.03475,0,,,,
CFH,other,True,77.4975,0,,,-0.0482409,
FUCA2,other,True,79.9157,8423,0.00105665,-0.0319537,-0.00400392,inf
GCLC,other,True,98.8457,8423,0.00102329,-0.0958166,-0.00183833,inf
NFYA,other,True,71.0749,0,,,-0.00680335,
STPG1,other,True,11.7307,0,,,-0.0415224,
NIPAL3,other,True,58.4819,8423,0.000460391,-0.197412,-0.00385814,inf
LAS1L,other,True,52.8336,8423,0.000763701,0.00106044,-0.00547811,inf
ENPP4,other,True,15.0208,0,,,-0.0085981,
SEMA3F,other,True,157.053,0,,,,
CFTR,other,False,1.02391,0,,,,
ANKIB1,other,True,35.3986,8423,0.000133386,-0.168786,-0.00763781,inf
CYP51A1,cholesterol synthesis,True,117.755,8423,0.00203459,0.00833191,0.00525117,0.307593
KRIT1,other,True,116.298,8423,0.000253227,-0.0184302,-0.00290806,inf
RAD52,other,True,17.181,0,,,-0.0402968,
BAD,other,True,33.4387,8423,0.00157802,-0.0516999,-0.0220787,inf
LAP3,other,True,33.1651,8423,0.000343601,-0.0873606,-0.00179814,inf
CD99,other,True,160.947,8423,0.000768834,0.0040416,0.00365632,0.200002
HS3ST1,other,True,5.9153,0,,,-0.0676973,
AOC1,other,False,0.263666,0,,,,
WNT16,other,False,0.00584075,0,,,,
HECW1,other,False,0.447708,0,,,,
MAD1L1,other,True,36.1054,8423,-0.000137755,-0.0143203,-0.00387628,-inf
LASP1,other,True,164.031,8423,0.000549285,-0.11213,-0.00105912,inf
SNX11,other,True,8.97778,0,,,-0.014185,
TMEM176A,other,False,0.686837,0,,,,
M6PR,other,True,155.159,8423,0.000488398,0.00123135,0.000260709,0.861995
KLHL13,other,True,43.2045,0,,,,
CYP26B1,other,True,5.15674,0,,,,
