target,class,cosine,energy_k562,energy_cd4_mix,cells_k562,cells_cd4_mix
A1BG,other,0.0206088,34.8138,15.7912,387,2312
AAAS,other,0.028765,32.8093,30.4065,411,2161
AACS,other,0.0875107,88.4358,30.6204,176,2039
AAGAB,other,0.0293664,137.11,29.8151,99,1652
AAK1,other,-0.00474085,53.3029,52.1279,240,3526
AAMDC,other,0.0467351,64.7931,30.1288,195,926
AAMP,other,-0.0242646,110.963,863.376,157,12
AAR2,other,0.0212815,262.789,119.699,93,145
AARS2,other,0.0716113,53.5739,111.595,358,214
AARSD1,other,-0.0298619,32.9989,23.0909,367,2220
AASDH,other,0.0107278,151.591,51.3815,85,1743
AASDHPPT,other,0.024696,72.3036,54.2049,177,441
AATF,other,0.00109996,274.183,65.9082,182,314
ABCA7,other,-0.0155674,19.0611,28.5435,708,695
ABCB6,other,0.0485364,59.4816,29.9664,235,605
ABCB7,other,0.0407178,79.1955,539.096,244,23
ABCB8,other,0.0121782,166.928,20.3497,88,1481
ABCB9,other,0.00623866,24.2305,33.1306,532,801
ABCC1,other,0.087764,88.5295,29.4914,201,1752
ABCC10,other,-0.00286284,111.041,18.5208,131,1582
ABCC4,other,-0.00253209,72.001,29.3674,170,771
ABCC5,other,0.0323509,39.2343,21.7583,306,1130
ABCD3,other,0.0327385,64.363,16.138,207,1366
ABCD4,other,0.0125091,108.135,29.3459,117,1026
ABCE1,other,0.0949765,189.155,85.9215,120,299
ABCF1,other,0.0158754,40.8996,260.368,490,42
ABCF2,other,0.00697336,60.2936,41.2944,217,936
ABCF3,other,0.0290783,48.3738,34.6697,260,1378
ABCG1,other,0.0205997,52.1795,21.8597,294,802
ABHD10,other,-0.0181921,88.3522,12.5506,148,2879
ABHD11,other,-0.0216425,86.5195,29.9974,155,1117
ABHD12,other,0.0125639,56.8977,37.3265,233,1378
ABHD13,other,0.0316668,111.922,44.2428,113,1924
ABHD14A,other,0.000498353,63.3488,30.5544,210,1464
ABHD14B,other,0.0575804,16.8078,20.1507,802,4484
ABHD16A,other,0.019616,58.4862,28.0684,223,923
ABHD17A,other,-0.0255692,48.9726,23.6378,250,1265
ABHD17B,other,-4.59038e-05,251.029,18.978,58,1507
ABHD2,other,0.0294872,58.0756,22.5091,229,1090
ABHD3,other,-0.0162707,292.728,17.8419,50,2592
ABHD5,other,-0.000916358,92.9548,21.2054,143,2480
ABHD6,other,-0.00828776,41.7728,28.228,295,1179
ABHD8,other,-0.0305606,63.7959,32.7838,192,807
ABI1,other,-0.017516,168.892,27.0311,85,1223
ABI2,other,0.00750157,78.5003,23.6243,179,832
ABITRAM,other,0.032638,58.6581,38.9163,225,696
ABL1,other,0.00886233,53.8027,20.2622,226,1337
ABL2,other,0.0073132,28.3204,30.5342,460,2905
ABR,other,0.00330144,223.814,33.3986,66,579
ABRACL,other,0.000135395,55.6887,15.3292,224,1988
ABRAXAS1,other,0.0223767,59.3285,14.217,230,1634
ABRAXAS2,other,0.00505293,70.7267,14.6638,201,2404
ABT1,other,0.0246584,114.911,136.409,202,187
ACAA1,other,0.0200399,48.4353,19.2946,249,1494
ACAA2,other,0.0118514,65.911,33.3581,204,2517
ACACA,other,0.0464226,85.4275,16.5756,166,2909
ACAD10,other,0.0185779,103.121,29.4073,141,4254
ACAD8,other,0.118016,70.6164,17.5757,208,1629
ACAD9,other,0.0128587,108.443,22.3688,131,2505
ACADM,other,-0.0297839,97.2855,19.3774,127,2845
ACADS,other,-0.00916891,123.05,28.529,103,918
ACADSB,other,-0.0136028,58.7977,25.6442,216,2651
ACADVL,other,-0.0113941,46.8769,30.4908,268,1072
ACAP2,other,0.0092402,82.0736,24.3537,160,1528
ACAP3,other,0.0167271,71.6817,22.3926,179,1372
ACAT1,other,0.0300402,53.4728,24.1751,213,2137
ACAT2,other,0.0293025,90.8756,24.3835,152,1400
ACBD3,other,0.0162933,55.5495,21.1795,237,1661
ACBD5,other,-0.0261131,59.7751,28.9968,238,3721
ACBD6,other,0.0168065,72.2649,21.4848,214,1744
ACCS,other,0.0150731,114.682,17.0215,110,1891
ACD,other,0.00276745,81.1021,273.758,153,51
ACER3,other,-0.00556451,40.7005,19.2821,311,2885
ACIN1,other,0.0890123,41.0011,37.8359,355,692
ACO1,other,-0.00207394,82.3748,23.2893,157,1524
ACO2,other,0.0323785,80.5942,36.8006,155,529
ACOT13,other,0.0544568,85.9878,19.9834,147,2002
ACOT7,other,-0.026686,34.6882,26.2443,348,1702
ACOT8,other,0.00971713,113.66,25.7654,119,3304
ACOT9,other,-0.00358167,53.9376,22.4994,247,1256
ACOX1,other,-0.0179255,72.463,22.1646,178,1800
ACP1,other,0.0088506,312.947,15.3918,49,2146
ACP2,other,0.0167915,307.731,31.1376,57,3098
ACP5,other,0.000850278,38.6016,20.8621,363,1317
ACSF3,other,0.0366188,151.27,16.4182,89,1681
ACSL1,other,0.00954095,31.0735,33.9983,406,648
ACSL3,other,0.0718195,160.875,22.1978,130,1666
ACSL4,other,0.0238463,143.834,16.5805,93,2209
ACSM3,other,0.021452,181.343,39.2582,75,5252
ACSS2,other,0.0477464,137.137,26.5279,132,2452
ACTB,other,0.13526,56.7062,24.9498,363,1929
ACTG1,other,-0.030535,1843.29,45.1692,19,446
ACTL6A,other,-0.0473524,396.109,725.886,62,10
ACTN1,other,0.029745,55.9029,21.5903,273,977
ACTN4,other,-0.0198946,40.6323,23.8175,305,1315
ACTR1A,other,-0.0234225,29.4557,16.6851,451,2014
ACTR1B,other,-0.00977174,25.9576,24.2664,517,1059
ACTR2,other,-0.00742207,27.1307,60.3101,498,647
ACTR3,other,-0.0073443,59.6974,44.9314,261,751
ACTR3B,other,-0.0071068,115.533,93.0448,117,153
ACTR3C,other,0.05196,102.533,24.5211,122,1358
ACTR5,other,0.0663138,398.458,59.6628,50,3688
ACTR8,other,0.277166,105.426,130.844,408,437
ACVR1B,other,-0.00384543,62.6756,20.2234,212,1949
ACVR2B,other,0.00332932,126.188,20.1769,115,1336
ACY1,other,0.00914125,195.257,14.8535,70,2140
ACYP1,other,-0.0173485,50.477,24.8995,236,821
ACYP2,other,0.0119302,161.808,67.4314,85,2016
ADA,other,0.0445641,76.9306,20.0804,173,1417
ADAM10,other,-0.00506649,277.534,149.957,84,112
ADAM15,other,-0.0351357,116.392,22.0023,117,965
ADAM17,other,0.0776866,49.2906,17.6283,258,3091
ADAM9,other,0.0358992,56.3861,24.9105,214,961
ADAR,other,0.0340904,31.6696,97.1426,394,246
ADARB1,other,-0.0208982,32.3128,20.325,374,1849
ADAT1,other,0.0704273,74.1805,21.177,192,1393
ADAT2,other,0.0153001,73.4786,55.5779,175,918
ADAT3,other,0.00812396,49.2308,49.7839,318,1228
ADCK2,other,0.0200067,39.9678,13.2214,309,2164
ADCK5,other,0.0454967,156.299,20.531,81,3488
ADCY3,other,0.0223309,46.1539,16.8944,262,1753
ADCY7,other,0.0231835,238.903,35.7576,60,3360
ADD1,other,-0.0287554,45.3307,23.6662,280,1715
ADD2,other,-0.0194115,64.274,17.6764,210,1161
ADD3,other,0.0416401,64.1331,38.9662,207,527
ADH5,other,0.0211531,73.6264,38.6327,171,2126
ADI1,other,-0.0172068,127.41,22.9104,100,2269
ADIPOR1,other,0.0272189,84.109,14.6623,143,2594
ADIPOR2,other,0.0126242,53.7996,26.7281,241,1264
ADK,other,-0.0307603,53.9662,13.3057,219,2703
ADNP2,other,-0.0448333,244.324,31.882,87,3608
ADO,other,0.118932,127.807,109.628,150,331
ADORA2B,other,0.0181563,77.9194,16.0984,174,1562
ADPGK,other,0.00784916,176.394,43.3507,93,2835
ADRM1,other,0.0601354,34.6956,29.4641,403,938
ADSL,other,0.000325147,67.2379,251.792,255,29
ADTRP,other,0.0525608,81.3536,17.1709,141,2851
AEBP1,other,-0.00388608,47.4893,21.6435,255,855
AEBP2,other,0.0412606,85.088,87.7199,167,1660
AEN,other,-0.0101671,39.9445,18.7792,321,1713
AFF1,other,-0.0188889,84.5079,21.7131,142,1608
AFF4,other,0.00920059,85.8792,18.0452,154,2022
AFG3L2,other,0.0216163,1408.78,172.885,26,142
AFMID,other,0.0162322,144.263,26.0009,88,1077
AFTPH,other,0.0206616,84.1942,17.2813,156,1272
AGA,other,-0.00869097,785.233,23.6657,30,1206
AGAP1,other,-0.0091077,125.482,18.458,105,2074
AGAP3,other,0.046039,161.572,28.5763,90,3918
AGBL5,other,-0.0112288,35.6628,77.8084,372,1040
AGFG1,other,0.0177209,50.2697,33.9646,243,1012
AGFG2,other,0.00810734,42.8078,16.078,293,1759
AGGF1,other,0.0134798,65.0482,13.8581,189,1755
AGK,other,-0.00577613,146.993,26.1042,90,943
AGL,other,0.0281713,76.6385,13.2687,166,2693
AGO2,other,-0.03074,513.861,46.2958,42,357
AGO3,other,0.00239858,68.5345,16.6355,188,1884
AGPAT1,other,0.0312139,51.3975,45.5654,261,472
AGPAT2,other,-0.0166705,107.601,42.6727,115,1838
AGPAT3,other,0.000436414,79.1971,24.578,163,798
AGPAT4,other,-0.00821571,78.2224,24.3303,207,966
AGPAT5,other,0.00852413,131.765,18.2495,97,1688
AGPS,other,-0.0116408,80.277,23.0149,163,1770
AGRN,other,0.00999687,104.572,67.3652,126,874
AGTRAP,other,0.000579621,316.261,21.4939,47,1221
AHCTF1,other,0.0394242,28.4016,388.935,584,40
AHCYL1,other,0.0242748,45.9823,32.7771,314,802
AHDC1,other,0.0203423,74.9283,18.8623,170,3254
AHI1,other,0.0141954,115.435,15.6817,120,1954
AHNAK,other,0.0191675,25.9346,29.1814,531,615
AHR,other,-0.0134723,110.332,76.1199,128,3554
AHRR,other,0.0160566,91.5866,20.7217,145,1330
AHSA1,other,0.0495094,182.314,34.7722,73,3990
AHSP,other,0.0856909,105.633,25.8061,132,1131
AIDA,other,0.0622077,53.9906,46.019,244,1315
AIF1,other,0.0596911,51.5391,20.8542,251,2502
AIFM1,other,-0.022844,93.2218,55.9319,150,616
AIFM2,other,0.0050138,70.4483,16.923,172,2227
AIG1,other,0.0338394,118.503,16.1701,106,1725
AIMP1,other,0.0482967,44.1271,23.961,283,1664
AIMP2,other,0.0189876,70.193,33.245,182,1001
AIP,other,-0.00962436,490.202,26.8776,34,1506
AIRE,other,-0.0265774,85.435,17.7263,155,1438
AK1,other,0.0116355,61.5552,16.96,201,2110
AK2,other,0.00112643,58.2272,117.288,210,172
AK3,other,-0.0210062,69.0364,66.5817,184,2606
AK4,other,-0.023092,70.7323,22.652,173,2171
AKAP11,other,0.000612516,174.606,35.5452,84,569
AKAP13,other,-0.0243902,51.7978,16.7732,259,3296
AKAP17A,other,0.0420254,173.649,21.864,81,2322
AKAP8,other,0.00472119,70.7286,20.4422,184,2460
AKAP8L,other,0.0578229,114.859,19.5579,139,2038
AKAP9,other,-0.00227154,88.389,21.8774,156,1527
AKIP1,other,0.00151305,163.223,41.7018,87,538
AKIRIN2,other,0.0721611,62.5015,48.7575,277,640
AKNA,other,0.0252567,30.8905,19.8351,417,3168
AKR1A1,other,0.0131567,182.867,27.2314,76,1051
AKR1C1,other,0.0627447,105.858,65.7494,122,343
AKR1E2,other,0.000386494,66.4507,15.858,182,1592
AKR7A2,other,0.03248,51.2432,23.4937,254,2553
AKT1,other,-0.000290446,57.9419,15.924,228,2099
AKT1S1,other,0.00497969,69.1755,14.4002,193,2769
ALAD,other,0.0274921,72.8476,68.2739,222,308
ALAS1,other,0.00326343,157.159,69.3656,108,284
ALAS2,other,0.0404986,324.855,26.361,47,1928
ALDH16A1,other,0.0141581,174.135,21.2499,78,1913
ALDH18A1,other,-0.0241822,77.905,35.7651,195,1612
ALDH1A1,other,-0.0181907,78.0211,18.6693,173,988
ALDH1B1,other,-0.0281567,56.0545,35.5655,269,2936
ALDH2,other,-0.00332722,47.5811,22.5196,276,1698
ALDH5A1,other,0.0108098,62.4049,18.3852,201,1502
ALDH9A1,other,0.00772096,60.9704,15.8516,201,2023
