target,panel,energy,genes_z3,cells
A1BG,False,14.9121,485,2312
A2M,False,28.018,806,894
AAAS,False,31.5607,1087,2161
AACS,False,37.4074,1276,2039
AAGAB,False,28.8424,1065,1652
AAK1,False,59.7005,2383,3526
AAMDC,False,22.5702,561,926
AAMP,False,281.003,157,12
AAR2,False,71.772,216,145
AARS2,False,94.3755,309,214
AARSD1,False,21.0936,1108,2220
AASDH,False,51.803,2575,1743
AASDHPPT,False,31.8913,432,441
AASS,False,17.1999,436,1389
AATF,False,36.8925,254,314
ABAT,False,25.8504,254,527
ABCA1,False,34.0146,598,673
ABCA2,False,26.3943,325,855
ABCA3,False,60.6835,421,411
ABCA5,False,31.4662,1416,2487
ABCA7,False,28.5925,302,695
ABCB1,False,14.7884,590,2759
ABCB6,False,23.2869,187,605
ABCB7,False,241.359,310,23
ABCB8,False,21.0917,289,1481
ABCB9,False,22.8873,386,801
ABCC1,False,30.8991,1364,1752
ABCC10,False,14.9976,450,1582
ABCC2,False,15.0375,391,1806
ABCC3,False,16.1736,296,1305
ABCC4,False,26.161,221,771
ABCC5,False,17.4121,340,1130
ABCC8,False,14.8611,284,1398
ABCD2,False,40.926,313,729
ABCD3,False,18.0438,405,1366
ABCD4,False,29.6941,441,1026
ABCE1,False,83.4425,457,299
ABCF1,False,96.8925,112,42
ABCF2,False,38.2408,689,936
ABCF3,False,35.3623,938,1378
ABCG1,False,19.5267,194,802
ABHD10,False,12.4275,536,2879
ABHD11,False,21.9952,701,1117
ABHD12,False,29.3629,849,1378
ABHD13,False,51.1759,1732,1924
ABHD14A,False,26.5353,1180,1464
ABHD14B,False,23.0523,1211,4484
ABHD15,False,97.7475,161,92
ABHD16A,False,23.2218,474,923
ABHD16B,False,21.3429,442,1234
ABHD17A,False,22.7929,622,1265
ABHD17B,False,20.2822,334,1507
ABHD18,False,12.1485,359,2103
ABHD2,False,14.7879,316,1090
ABHD3,False,16.1132,767,2592
ABHD4,False,21.8202,577,2508
ABHD5,False,26.0666,734,2480
ABHD6,False,20.3717,652,1179
ABHD8,False,27.0667,334,807
ABI1,False,25.4515,422,1223
ABI2,False,20.5437,416,832
ABI3,False,34.5255,465,330
ABITRAM,False,37.0283,507,696
ABL1,False,16.2034,379,1337
ABL2,False,35.7877,1205,2905
ABLIM1,False,20.3492,791,1602
ABLIM3,False,17.2249,473,1066
ABR,False,19.9416,210,579
ABRACL,False,13.0857,632,1988
ABRAXAS1,False,10.2617,275,1634
ABRAXAS2,False,17.0218,506,2404
ABT1,False,107.121,468,187
ABTB1,False,27.9916,1163,3128
ABTB2,False,17.5399,793,2249
ABTB3,False,22.5024,916,2494
ACAA1,False,16.226,294,1494
ACAA2,False,34.1077,712,2517
ACACA,False,23.5661,1217,2909
ACACB,False,25.668,778,4303
ACAD10,False,33.9103,2061,4254
ACAD11,False,31.0046,1344,1237
ACAD8,False,16.1419,250,1629
ACAD9,False,26.6986,1408,2505
ACADM,False,18.6223,983,2845
ACADS,False,21.5775,385,918
ACADSB,False,29.309,848,2651
ACADVL,False,21.9734,466,1072
ACAP1,False,12.5428,377,2067
ACAP2,False,18.8239,450,1528
ACAP3,False,24.2325,426,1372
ACAT1,False,20.9229,808,2137
ACAT2,False,20.8519,665,1400
ACBD3,False,20.607,574,1661
ACBD4,False,35.2871,183,331
ACBD5,False,35.4177,1534,3721
ACBD6,False,26.008,655,1744
ACCS,False,14.1794,369,1891
ACD,False,124.802,134,51
ACE,False,19.1869,272,1057
ACER1,False,15.1433,348,1393
ACER2,False,58.1066,3013,3556
ACER3,False,18.5067,646,2885
ACIN1,False,31.418,553,692
ACKR3,False,15.9817,490,2459
ACLY,True,53.131,1862,1111
ACO1,False,18.2127,600,1524
ACO2,False,27.9886,280,529
ACOT13,False,20.0155,470,2002
ACOT2,False,14.6016,309,2254
ACOT4,False,12.4663,363,2130
ACOT7,False,23.8076,1375,1702
ACOT8,False,27.9884,1471,3304
ACOT9,False,21.7099,468,1256
ACOX1,False,20.4173,902,1800
ACOX3,False,22.5639,918,2227
ACP1,False,16.4317,515,2146
ACP2,False,46.8298,1856,3098
ACP5,False,14.8852,294,1317
ACP6,False,15.0856,562,2095
ACRBP,False,15.907,474,1301
ACSF2,False,12.5619,624,4081
ACSF3,False,18.1163,424,1681
ACSL1,False,29.1867,295,648
ACSL3,False,20.3573,750,1666
ACSL4,False,18.0329,797,2209
ACSL5,False,126.836,3468,5523
ACSL6,False,34.8649,444,360
ACSM3,False,55.3797,2894,5252
ACSS1,False,29.5752,1750,3222
ACSS2,False,31.6316,1550,2452
ACTA2,False,13.1465,529,1765
ACTB,False,27.4244,1109,1929
ACTG1,False,29.5237,343,446
ACTL6A,False,332.373,251,10
ACTMAP,False,26.0446,957,1170
ACTN1,False,18.0945,234,977
ACTN4,False,19.6054,298,1315
ACTR1A,False,16.8995,600,2014
ACTR1B,False,18.7006,526,1059
ACTR2,False,59.6518,882,647
ACTR3,False,44.5144,773,751
ACTR3B,False,43.579,145,153
ACTR3C,False,19.9302,379,1358
ACTR5,False,74.1814,3163,3688
ACTR8,False,104.012,1306,437
ACVR1,False,30.9253,588,838
ACVR1B,False,18.7646,552,1949
ACVR1C,False,71.3664,1540,3220
ACVR2A,False,63.2315,1833,3038
ACVR2B,False,18.9069,316,1336
ACY1,False,14.6435,527,2140
ACYP1,False,19.674,267,821
ACYP2,False,93.0301,2427,2016
ADA,False,21.0758,489,1417
ADA2,False,26.4537,417,866
ADAM10,False,85.0136,221,112
ADAM12,False,35.7574,1284,3926
ADAM15,False,18.8723,350,965
ADAM17,False,23.2415,1096,3091
ADAM19,False,109.458,1449,646
ADAM22,False,28.8538,527,1531
ADAM23,False,37.7902,1071,1893
ADAM28,False,19.9924,943,2081
ADAM8,False,13.9962,457,1603
ADAM9,False,22.8609,451,961
ADAMTS1,False,25.1597,351,692
ADAMTS10,False,26.283,891,2963
ADAMTS17,False,40.9877,1339,2068
ADAMTS6,False,36.3074,1629,4814
ADAMTSL5,False,22.3973,433,1106
ADAP1,False,20.854,505,1703
ADAR,False,70.4418,406,246
ADARB1,False,19.695,576,1849
ADARB2,False,19.3062,381,1418
ADAT1,False,18.4845,450,1393
ADAT2,False,55.0434,1025,918
ADAT3,False,57.2014,1604,1228
ADCK1,False,14.9303,281,1842
ADCK2,False,14.1901,335,2164
ADCK5,False,22.646,1007,3488
ADCY1,False,37.5591,919,2016
ADCY3,False,15.7812,460,1753
ADCY4,False,22.5383,307,860
ADCY7,False,44.8816,1412,3360
ADCY9,False,39.9647,1121,2484
ADD1,False,17.5288,614,1715
ADD2,False,14.1809,235,1161
ADD3,False,31.25,251,527
ADGRA3,False,21.2524,504,1963
ADGRB2,False,19.108,178,800
ADGRE1,False,15.1996,687,3060
ADGRE2,False,37.6997,1521,2686
ADGRE5,False,26.7317,798,1773
ADGRG1,False,19.9579,254,1014
ADGRG5,False,30.5524,999,1305
ADGRL1,False,19.6424,449,1602
ADGRV1,False,19.3909,673,2884
ADH1B,False,22.01,681,2090
ADH5,False,42.1333,916,2126
ADHFE1,False,51.2343,503,369
ADI1,False,18.4996,945,2269
ADIPOR1,False,19.2988,516,2594
ADIPOR2,False,22.1723,394,1264
ADIRF,False,13.8467,603,3714
ADISSP,False,15.5657,316,1760
ADK,False,14.3054,413,2703
ADM,False,18.0978,277,1211
ADM5,False,97.7208,3833,5931
ADNP,True,46.965,2161,3670
ADNP2,False,40.1241,1903,3608
ADO,False,77.5942,827,331
ADORA2A,False,33.7231,1463,2481
ADORA2B,False,16.3314,294,1562
ADPGK,False,60.8089,1345,2835
ADPRH,False,18.1112,257,1019
ADPRM,False,36.2063,1342,2677
ADPRS,False,29.3023,370,748
ADRB2,False,19.6843,510,2167
ADRM1,False,28.9363,479,938
ADSL,False,103.27,135,29
ADSS2,False,74.1138,233,97
ADTRP,False,14.1443,423,2851
AEBP1,False,15.7893,248,855
AEBP2,False,95.4429,1663,1660
AEN,False,14.2483,465,1713
AFAP1,False,26.686,840,1424
AFAP1L2,False,38.0611,1262,2519
AFDN,False,19.2003,310,1074
AFF1,False,20.0642,857,1608
AFF2,False,18.696,347,1667
AFF3,False,36.4917,611,1272
AFF4,False,18.6816,711,2022
AFG2A,False,76.3019,659,242
AFG2B,False,22.6207,573,1077
AFG3L2,False,96.0087,396,142
AFMID,False,23.0425,291,1077
AFTPH,False,18.6833,368,1272
AGA,False,20.7658,330,1206
AGAP1,False,19.0222,567,2074
AGAP2,False,27.7992,871,1828
AGAP3,False,31.5358,2342,3918
AGAP4,False,20.3031,216,661
AGAP5,False,27.3643,820,2027
AGAP6,False,16.2259,384,1957
AGAP9,False,23.6441,375,1413
AGBL2,False,16.7197,919,2399
AGBL5,False,77.0457,1291,1040
AGER,False,13.5914,182,1124
AGFG1,False,35.5434,537,1012
AGFG2,False,15.0233,407,1759
AGGF1,False,13.6585,243,1755
AGK,False,25.3127,423,943
AGL,False,11.4311,453,2693
AGMAT,False,19.3637,322,1174
AGO1,True,24.6046,319,927
AGO2,False,38.7312,201,357
AGO3,False,17.2806,547,1884
AGO4,False,36.0543,199,544
AGPAT1,False,37.8456,291,472
AGPAT2,False,53.0447,1385,1838
AGPAT3,False,21.1723,208,798
AGPAT4,False,19.821,326,966
AGPAT5,False,18.1931,556,1688
AGPS,False,19.6021,406,1770
AGR2,False,11.5055,401,2755
AGR3,False,16.1322,439,1886
AGRN,False,61.1369,973,874
AGTPBP1,False,64.0302,2100,3923
AGTRAP,False,16.9592,437,1221
AHCTF1,False,191.375,164,40
AHCYL1,False,23.0876,334,802
AHCYL2,False,17.8866,201,713
AHDC1,False,21.4502,1028,3254
AHI1,False,16.863,519,1954
AHNAK,False,20.7064,154,615
AHR,False,130.142,3719,3554
AHRR,False,17.0906,469,1330
AHSA1,False,41.802,1999,3990
AHSP,False,28.1396,510,1131
AIDA,False,40.983,958,1315
AIF1,False,20.797,1031,2502
AIFM1,False,56.0746,596,616
AIFM2,False,14.5524,430,2227
AIG1,False,15.055,284,1725
AIM2,False,25.9825,696,1401
AIMP1,False,23.0704,623,1664
AIMP2,False,23.3098,672,1001
AIP,False,28.1592,821,1506
AIRE,False,19.1609,358,1438
AIRIM,False,29.4065,742,1040
AJAP1,False,19.3334,648,2258
AK1,False,18.8924,559,2110
AK2,False,81.3224,246,172
AK3,False,97.8731,3163,2606
AK4,False,18.525,528,2171
AK5,False,25.5328,217,637
AK9,False,26.1759,1267,2155
AKAP1,True,24.0704,1228,3637
AKAP10,False,27.7359,629,882
AKAP11,False,27.0131,250,569
AKAP12,False,24.2751,914,3077
AKAP13,False,20.9356,780,3296
AKAP17A,False,24.0792,1069,2322
AKAP5,False,12.2106,416,2172
AKAP7,False,13.1771,148,745
AKAP8,False,22.0645,915,2460
AKAP8L,False,17.7077,601,2038
AKAP9,False,17.4225,567,1527
AKIP1,False,22.7242,208,538
AKIRIN1,True,27.8161,972,1550
AKIRIN2,False,40.0356,702,640
AKNA,False,25.4016,1152,3168
AKR1A1,False,27.2671,432,1051
AKR1B1,False,21.8737,441,1009
AKR1C1,False,39.8017,904,343
AKR1C3,False,49.3334,1463,3295
AKR1E2,False,12.6437,282,1592
AKR7A2,False,24.1386,812,2553
AKR7A3,False,12.5688,545,1922
AKT1,False,13.6842,454,2099
AKT1S1,False,18.6127,580,2769
AKT2,True,15.9758,510,1528
AKT3,False,31.8587,1169,2780
AKTIP,False,19.1222,290,931
ALAD,False,54.3828,281,308
ALAS1,False,63.9731,299,284
ALAS2,False,26.2231,730,1928
ALCAM,False,11.7438,273,1486
ALDH16A1,False,22.9511,808,1913
ALDH18A1,False,37.3245,1253,1612
ALDH1A1,False,18.7405,168,988
ALDH1B1,False,47.1439,1354,2936
ALDH2,False,24.5102,677,1698
ALDH3A2,False,29.6869,1263,3982
ALDH5A1,False,15.3618,337,1502
ALDH6A1,False,50.6805,283,244
ALDH7A1,False,22.3314,804,3318
ALDH8A1,False,35.0722,1096,2384
ALDH9A1,False,15.8082,420,2023
ALDOA,False,60.7591,540,416
ALDOB,False,44.303,2374,3540
ALDOC,False,13.2041,332,1775
ALG1,False,58.6124,465,202
ALG10,False,20.0977,269,977
ALG10B,False,31.273,1109,3097
ALG12,True,27.5055,680,1645
ALG13,False,40.5646,981,1197
ALG14,False,55.3162,262,148
ALG2,False,30.6254,573,658
ALG3,False,29.6845,723,1236
ALG5,False,29.1109,619,948
ALG6,False,44.3209,1914,2087
ALG8,False,26.4547,1549,1975
ALG9,False,33.0319,1227,1709
ALKAL2,False,12.2252,288,1847
ALKBH1,False,23.1245,721,1497
ALKBH2,False,129.479,2105,1159
ALKBH3,False,15.5874,179,825
ALKBH4,False,39.8157,1282,2926
ALKBH5,False,41.373,1391,3677
ALKBH6,False,50.1624,1118,2809
ALKBH7,False,22.3294,476,1318
ALKBH8,False,22.9256,613,1376
ALMS1,False,18.0592,459,1983
ALOX12,False,18.7719,210,834
ALOX5,False,25.4847,922,1247
ALOX5AP,False,31.6598,929,3568
ALPK1,False,31.4907,860,2493
ALPL,False,18.4713,549,2011
ALS2,False,29.8334,858,919
ALS2CL,False,21.1191,1405,5724
ALX1,False,14.9268,626,2307
ALX3,False,19.7266,975,4122
ALX4,False,22.3986,779,1723
AMBRA1,False,25.5147,976,2002
AMD1,False,34.2046,1092,1040
AMDHD1,False,21.3049,811,1989
AMDHD2,False,35.1775,976,1910
AMER1,False,26.4066,944,975
AMFR,False,51.2687,1560,2242
AMH,False,18.6702,426,1881
AMIGO1,False,23.4989,1010,2965
AMIGO2,False,30.6057,946,1459
AMMECR1,False,28.3066,476,674
AMMECR1L,False,63.7048,150,57
AMN,False,37.4327,894,2276
AMN1,False,14.2875,255,1282
AMOT,False,21.0323,694,2291
AMPD2,False,17.7688,745,3589
AMPD3,False,32.7172,2020,3963
AMT,False,27.8856,449,781
AMY2B,False,18.8243,465,1377
AMZ2,False,18.7719,314,1168
ANAPC1,False,83.779,729,341
ANAPC10,False,95.545,1091,497
ANAPC11,False,79.0141,305,237
ANAPC13,False,22.9708,324,754
ANAPC15,False,14.2601,395,1640
ANAPC16,False,24.2308,346,870
ANAPC5,False,40.3369,281,191
