target,panel,energy,genes_z3,cells
A1BG,False,6.99815,41,387
AAAS,False,5.81004,33,411
AACS,False,21.1238,59,176
AAGAB,False,25.8205,23,99
AAK1,False,9.9133,32,240
AAMDC,False,11.3235,14,195
AAMP,False,31.3756,243,157
AAR2,False,85.3213,527,93
AARS,False,307.908,600,46
AARS2,False,17.2098,259,358
AARSD1,False,5.55637,26,367
AASDH,False,25.4079,22,85
AASDHPPT,False,13.8977,26,177
AATF,False,133.027,1469,182
ABCA7,False,3.4515,24,708
ABCA8,False,59.7493,17,46
ABCB10,False,88.3906,79,38
ABCB6,False,10.6954,27,235
ABCB7,False,22.7591,191,244
ABCB8,False,32.6528,50,88
ABCB9,False,4.75529,32,532
ABCC1,False,23.7876,90,201
ABCC10,False,21.4066,28,131
ABCC4,False,13.0794,34,170
ABCC5,False,6.94732,34,306
ABCD3,False,11.5666,23,207
ABCD4,False,18.6656,18,117
ABCE1,False,59.6661,374,120
ABCF1,False,13.4616,298,490
ABCF2,False,11.1836,28,217
ABCF3,False,8.99964,19,260
ABCG1,False,11.3403,61,294
ABHD10,False,15.657,24,148
ABHD11,False,16.398,34,155
ABHD12,False,10.3471,17,233
ABHD13,False,20.9506,29,113
ABHD14A,False,12.2308,23,210
ABHD14B,False,3.42793,13,802
ABHD16A,False,11.13,18,223
ABHD17A,False,8.9339,22,250
ABHD17B,False,37.9837,19,58
ABHD2,False,11.2463,25,229
ABHD3,False,49.5709,23,50
ABHD5,False,19.7003,27,143
ABHD6,False,7.80757,28,295
ABHD8,False,11.6693,21,192
ABI1,False,30.4279,16,85
ABI2,False,16.7381,57,179
ABITRAM,False,11.1208,27,225
ABL1,False,9.72792,20,226
ABL2,False,5.25761,24,460
ABO,False,3.87551,22,553
ABR,False,41.329,17,66
ABRACL,False,10.2333,30,224
ABRAXAS1,False,11.9398,37,230
ABRAXAS2,False,13.1637,18,201
ABT1,False,34.2916,387,202
AC015871.1,False,10.9321,35,229
AC118549.1,False,23.2371,116,158
ACAA1,False,9.10224,21,249
ACAA2,False,12.2448,19,204
