held_out,target,pds_proxy_A
k562,ACLY,0.9962962962962963
k562,ADNP,1.0
k562,AGO1,0.4629629629629629
k562,AKAP1,0.9518518518518518
k562,AKIRIN1,0.762962962962963
k562,AKT2,0.9925925925925926
k562,ALG12,0.6407407407407407
k562,ANKRD52,0.30000000000000004
k562,ANKZF1,0.9925925925925926
k562,ANP32B,1.0
k562,AP2A2,0.9666666666666667
k562,API5,0.9962962962962963
k562,ARL14EP,0.9703703703703703
k562,ASCC2,0.8296296296296296
k562,BCKDK,0.9555555555555556
k562,BCL6,0.7777777777777778
k562,BCL7C,0.962962962962963
k562,BRD1,0.9888888888888889
k562,BRPF1,1.0
k562,CAND1,0.8518518518518519
k562,CARM1,1.0
k562,CAT,0.6925925925925926
k562,CCDC112,0.9
k562,CDK8,0.9333333333333333
k562,CHD3,0.7
k562,CHD6,0.9592592592592593
k562,CHKB,0.9666666666666667
k562,CLCN6,0.9888888888888889
k562,COIL,1.0
k562,COMMD8,0.35185185185185186
k562,COQ10B,1.0
k562,CSNK2A1,1.0
k562,CYTH2,0.26296296296296295
k562,DBF4B,0.33333333333333337
k562,DBN1,0.8814814814814815
k562,DCAF16,0.7148148148148148
k562,DCP2,1.0
k562,DDHD1,0.9888888888888889
k562,DEAF1,0.14074074074074072
k562,DEK,0.8518518518518519
k562,DHRS1,0.9814814814814815
k562,DHX35,1.0
k562,DLAT,0.8074074074074074
k562,DMTF1,0.41481481481481486
k562,DNTTIP1,1.0
k562,DRG2,0.7555555555555555
k562,DTNBP1,0.3925925925925926
k562,DVL3,0.1333333333333333
k562,E2F1,1.0
k562,E2F4,0.7111111111111111
k562,EAPP,1.0
k562,EEF1A2,0.937037037037037
k562,ELK1,0.9925925925925926
k562,EPC2,1.0
k562,EPM2AIP1,1.0
k562,EZH2,1.0
k562,FAM120A,0.6962962962962963
k562,FCGRT,0.9814814814814815
k562,FHL3,0.7074074074074075
k562,FOXN2,1.0
k562,FOXO4,0.9703703703703703
k562,FUBP3,0.9962962962962963
k562,FXYD5,0.7555555555555555
k562,FZD2,0.49629629629629635
k562,GIGYF2,1.0
k562,GLI3,1.0
k562,GLYR1,0.9222222222222223
k562,GMEB2,1.0
k562,GPATCH8,1.0
k562,GRAMD1A,0.7592592592592593
k562,GTF2IRD1,0.8888888888888888
k562,HDAC1,0.8777777777777778
k562,HDAC8,0.7148148148148148
k562,HMGN3,0.38888888888888884
k562,HMGN4,0.9962962962962963
k562,HMGXB3,1.0
k562,HOMEZ,0.4222222222222223
k562,HSBP1,0.7555555555555555
k562,HSP90AB1,0.9259259259259259
