held_out,arm,amplitude,is_a_star,mse_ratio,detectable_median
k562,raw,0.197,False,1.0013505124950095,12.0
k562,raw,0.394,False,1.0137103912971905,63.0
k562,raw,0.788,False,1.071458247823067,285.0
k562,raw,1.576,False,1.3190663565608793,1212.0
k562,raw,0.0743,True,0.9992162521720556,1.0
k562,shrunk,0.197,False,0.9989560787263543,4.0
k562,shrunk,0.394,False,1.0011398990119025,18.0
k562,shrunk,0.788,False,1.0151907642605804,77.0
k562,shrunk,1.576,False,1.0820253934682627,298.0
k562,shrunk,0.1622,True,0.9989057583346227,3.0
cd4_mix,raw,0.197,False,1.0219401180717993,10.0
cd4_mix,raw,0.394,False,1.1004746851607268,52.0
cd4_mix,raw,0.788,False,1.4273271663899667,342.0
cd4_mix,raw,1.576,False,2.7601655170539847,1786.0
cd4_mix,raw,0.0221,True,0.9996429614304034,0.0
cd4_mix,shrunk,0.197,False,1.0009665236037628,3.0
cd4_mix,shrunk,0.394,False,1.0110055887050093,12.0
cd4_mix,shrunk,0.788,False,1.0583013433999529,55.5
cd4_mix,shrunk,1.576,False,1.2617633507596433,294.0
cd4_mix,shrunk,0.0775,True,0.9992977108629032,0.0
orion_hct116,raw,0.197,False,1.0105009321584058,22.0
orion_hct116,raw,0.394,False,1.0498971345428048,110.0
orion_hct116,raw,0.788,False,1.2153753499895839,468.0
orion_hct116,raw,1.576,False,1.8930750235950655,1697.0
orion_hct116,raw,0.0269,True,0.999730466888007,0.0
orion_hct116,shrunk,0.197,False,1.001956153502332,7.0
orion_hct116,shrunk,0.394,False,1.0125844574058034,34.0
orion_hct116,shrunk,0.788,False,1.0598575164161652,143.0
orion_hct116,shrunk,1.576,False,1.2584694392505626,483.0
orion_hct116,shrunk,0.0541,True,0.9996734358245796,0.0
orion_hek293t,raw,0.197,False,1.0199351125489755,22.0
orion_hek293t,raw,0.394,False,1.0899434219196837,110.5
orion_hek293t,raw,0.788,False,1.3801796311262986,472.0
orion_hek293t,raw,1.576,False,2.5615304114003212,1709.0
orion_hek293t,raw,0.0201,True,0.9997401288548469,0.0
orion_hek293t,shrunk,0.197,False,1.004329760971342,8.0
orion_hek293t,shrunk,0.394,False,1.0236496355986116,35.0
orion_hek293t,shrunk,0.788,False,1.1072597258209338,144.0
orion_hek293t,shrunk,1.576,False,1.454361270136711,486.0
orion_hek293t,shrunk,0.0416,True,0.999665809810055,0.0
