held_out,variant,context_weights,targets,pds_proxy,median_q99_abs,prec_50,prec_200,prec_800,yield_50,yield_200,yield_800,up_50,up_200,up_800,n_conf
k562,raw,A,271,0.7515101817684843,0.5399388495269071,0.5403690036900369,0.5291143911439115,0.5212961254612547,0.49187527193277286,0.5285959266569411,0.5212961254612547,0.39040590405904063,0.4266789667896679,0.4808025830258303,41.59040590405904
k562,raw,B,271,0.7590815908159082,0.5399388495269071,0.5383763837638377,0.5273985239852399,0.520590405904059,0.49227749059924814,0.5269020987084871,0.520590405904059,0.39549815498154983,0.4313653136531366,0.48278136531365307,40.05904059040591
k562,raw,C,271,0.7560885608856088,0.5399388495269071,0.5354981549815498,0.5282472324723246,0.5205119926199261,0.48716022017481914,0.527708695954884,0.5205119926199261,0.3955719557195572,0.4317527675276753,0.48253228782287827,41.40959409594096
k562,zk1,A,257,0.7442090223735408,0.27513537001005034,0.5421011673151751,0.5247859922178989,0.5175194552529183,0.494623218364506,0.5243213730948463,0.5175194552529183,0.36770428015564205,0.4087354085603112,0.4661089494163424,40.509727626459146
k562,zk1,B,257,0.74609375,0.27513537001005034,0.540544747081712,0.5250194552529183,0.5174951361867705,0.4944229122224971,0.5245189803609179,0.5174951361867705,0.36941634241245136,0.41208171206225674,0.4682198443579767,40.17898832684825
k562,zk1,C,257,0.7446498054474708,0.27513537001005034,0.5420233463035019,0.526284046692607,0.5175875486381324,0.49277934236225457,0.5257294610229173,0.5175875486381324,0.3652918287937743,0.4120428015564202,0.46825875486381324,41.400778210116734
k562,zk4,A,257,0.7630866974708171,0.17057363397361272,0.5455252918287938,0.5279377431906616,0.5187937743190661,0.496548028898563,0.5274527460358961,0.5187937743190661,0.43175097276264596,0.44138132295719845,0.46594844357976656,40.509727626459146
k562,zk4,B,257,0.7637250729571985,0.17057363397361272,0.5438132295719844,0.5284046692607004,0.518988326848249,0.4958154584387503,0.5278959220564355,0.518988326848249,0.42996108949416345,0.44169260700389107,0.4674027237354086,40.17898832684825
k562,zk4,C,257,0.7627371108949417,0.17057363397361272,0.5459922178988327,0.5288715953307394,0.5190029182879379,0.49509218622940593,0.5282983681259339,0.5190029182879379,0.4277042801556421,0.44188715953307395,0.46777723735408566,41.400778210116734
k562,zk16,A,257,0.782982733463035,0.07575492283235395,0.5497276264591441,0.5307587548638132,0.5189931906614786,0.5000030156508712,0.5302656064963628,0.5189931906614786,0.49439688715953306,0.47169260700389104,0.46653696498054475,40.509727626459146
k562,zk16,B,257,0.7818427772373541,0.07575492283235395,0.549727626459144,0.5305836575875487,0.5193239299610894,0.5009941195901351,0.5300790465394161,0.5193239299610894,0.49073929961089496,0.4706614785992218,0.467329766536965,40.17898832684825
k562,zk16,C,257,0.7844114785992218,0.07575492283235395,0.5511284046692606,0.53068093385214,0.51965953307393,0.4993411644957895,0.5301170274148924,0.51965953307393,0.49167315175097276,0.47071984435797665,0.4683463035019455,41.400778210116734
k562,zk64,A,257,0.7950966682879378,0.024771929146151648,0.5500389105058366,0.5312062256809338,0.5192898832684826,0.5002911071930672,0.5307090017071406,0.5192898832684826,0.5182101167315175,0.48324902723735413,0.47062743190661477,40.509727626459146
k562,zk64,B,257,0.7960542315175098,0.024771929146151648,0.5508171206225682,0.5308949416342412,0.519362840466926,0.5019161750829477,0.5303903305861087,0.519362840466926,0.5141634241245135,0.48221789883268484,0.4715126459143969,40.17898832684825
k562,zk64,C,257,0.7979845573929961,0.024771929146151648,0.5532295719844358,0.5311673151750973,0.5197324902723736,0.50131307662724,0.530594087970292,0.5197324902723736,0.5150194552529184,0.4828404669260701,0.472636186770428,41.400778210116734
k562,zk4_ivw,A,257,0.7517479328793775,0.21122337136363906,0.5404669260700388,0.5263035019455252,0.5170914396887158,0.49237159777704054,0.5258022023653897,0.5170914396887158,0.5589883268482491,0.5512256809338523,0.5413813229571984,40.509727626459146
k562,zk4_ivw,B,257,0.7559277723735408,0.21122337136363906,0.543035019455253,0.5270622568093385,0.5179036964980545,0.49489584384129703,0.5265452372928091,0.5179036964980545,0.5583657587548638,0.5506225680933852,0.5407003891050584,40.17898832684825
k562,zk4_ivw,C,257,0.7589980544747081,0.21122337136363906,0.5444357976653698,0.5271595330739299,0.51784046692607,0.4931087648220951,0.5265863058691246,0.51784046692607,0.5616342412451363,0.5517315175097276,0.5416001945525292,41.400778210116734
cd4_mix,raw,A,292,0.6741161794473474,0.4667660271035877,0.5142465753424659,0.5138698630136986,0.5140967465753425,0.5142465753424659,0.5138698630136986,0.5140967465753425,0.31410958904109587,0.36388698630136984,0.4515068493150686,0.0
cd4_mix,raw,B,292,0.6652662053382291,0.4667660271035877,0.5194520547945206,0.5191267123287671,0.5168878424657535,0.5194520547945206,0.5191267123287671,0.5168878424657535,0.29650684931506854,0.3698972602739726,0.4617594178082192,0.0
cd4_mix,raw,C,292,0.6635950666101774,0.4667660271035877,0.511027397260274,0.5122945205479451,0.5153638698630136,0.511027397260274,0.5122945205479451,0.5153638698630136,0.3028767123287671,0.36660958904109586,0.4563655821917807,0.0
cd4_mix,zk1,A,292,0.6816009979758038,0.32515378245230775,0.5252054794520549,0.519554794520548,0.5164169520547945,0.5252054794520549,0.519554794520548,0.5164169520547945,0.4479452054794521,0.43066780821917805,0.44727739726027405,0.0
cd4_mix,zk1,B,292,0.6713505625382479,0.32515378245230775,0.5307534246575343,0.5221575342465753,0.5197303082191781,0.5307534246575343,0.5221575342465753,0.5197303082191781,0.41157534246575345,0.4206678082191781,0.45185787671232874,0.0
cd4_mix,zk1,C,292,0.6716330085204537,0.32515378245230775,0.5227397260273973,0.5174143835616438,0.5170890410958905,0.5227397260273973,0.5174143835616438,0.5170890410958905,0.4284246575342466,0.42107876712328773,0.4497003424657534,0.0
cd4_mix,zk4,A,292,0.6873205291154734,0.20857839518988763,0.5345205479452055,0.5234589041095892,0.5177868150684932,0.5345205479452055,0.5234589041095892,0.5177868150684932,0.5471917808219179,0.48696917808219176,0.457388698630137,0.0
cd4_mix,zk4,B,292,0.6779998117026785,0.20857839518988763,0.5383561643835617,0.5272773972602741,0.5204751712328768,0.5383561643835617,0.5272773972602741,0.5204751712328768,0.5034931506849314,0.47275684931506856,0.4598030821917808,0.0
cd4_mix,zk4,C,292,0.6781763404415572,0.20857839518988763,0.5306164383561643,0.5215068493150686,0.5188912671232876,0.5306164383561643,0.5215068493150686,0.5188912671232876,0.5225342465753425,0.476763698630137,0.45903681506849314,0.0
cd4_mix,zk16,A,292,0.6955349997646283,0.09748004632065552,0.5355479452054794,0.5281335616438357,0.519644691780822,0.5355479452054794,0.5281335616438357,0.519644691780822,0.6174657534246575,0.5294006849315068,0.46524828767123294,0.0
cd4_mix,zk16,B,292,0.6881443298969073,0.09748004632065552,0.5395205479452054,0.5300856164383562,0.5211986301369863,0.5395205479452054,0.5300856164383562,0.5211986301369863,0.5754109589041096,0.5131335616438355,0.4665196917808219,0.0
cd4_mix,zk16,C,292,0.6886150732005838,0.09748004632065552,0.5346575342465754,0.5259075342465753,0.5200941780821918,0.5346575342465754,0.5259075342465753,0.5200941780821918,0.5937671232876712,0.5201883561643835,0.4663099315068494,0.0
