variant,held_out,target,inner_estimate,outer_pds
base_g1,k562,ACLY,0.9939436260946709,0.9962962962962963
base_g1,k562,ADNP,0.933718464052733,1.0
base_g1,k562,AGO1,0.48697228151232214,0.7037037037037037
base_g1,k562,AKAP1,0.5927831588991167,0.9074074074074074
base_g1,k562,AKIRIN1,0.6328616678423724,0.6851851851851851
base_g1,k562,AKT2,0.8899585169542762,1.0
base_g1,k562,ALG12,0.6970924242716422,0.8740740740740741
base_g1,k562,ANKZF1,0.9732360097323601,1.0
base_g1,k562,ANP32B,0.6049724192921824,1.0
base_g1,k562,AP2A2,0.20346442309630655,0.9666666666666667
base_g1,k562,API5,0.695394911776971,1.0
base_g1,k562,ARL14EP,0.405762950591718,0.9851851851851852
base_g1,k562,ASCC2,0.2564546953468201,0.8481481481481481
base_g1,k562,BCKDK,0.35897107252265403,0.8444444444444444
base_g1,k562,BCL6,0.6860542011970291,0.8148148148148149
base_g1,k562,BCL7C,0.6105012147949993,0.9592592592592593
base_g1,k562,BRD1,0.2576813618277161,0.9888888888888889
base_g1,k562,BRPF1,0.9974457215836526,1.0
base_g1,k562,CAND1,0.7378455295264698,0.9037037037037037
base_g1,k562,CARM1,1.0,1.0
base_g1,k562,CAT,0.5286443118001988,0.7407407407407407
base_g1,k562,CCDC112,0.20999754089536107,0.9333333333333333
base_g1,k562,CHD3,0.6497935977596067,0.7444444444444445
base_g1,k562,CHD6,0.8070623755408507,0.9740740740740741
base_g1,k562,CHKB,0.26520762035032097,0.962962962962963
base_g1,k562,CLCN6,0.3991442672590056,0.9555555555555556
base_g1,k562,COIL,0.5522373796895592,1.0
base_g1,k562,COMMD8,0.41210402130411833,0.5074074074074074
base_g1,k562,COQ10B,0.5901837166887993,0.9962962962962963
base_g1,k562,CSNK2A1,1.0,1.0
base_g1,k562,CYTH2,0.7104782054910221,0.5407407407407407
base_g1,k562,DBF4B,0.9052254610585618,0.3407407407407408
base_g1,k562,DBN1,0.6506470655800837,0.7703703703703704
base_g1,k562,DCAF16,0.30740733000299153,0.437037037037037
base_g1,k562,DCP2,1.0,1.0
base_g1,k562,DDHD1,0.8659970881804905,0.9888888888888889
base_g1,k562,DEAF1,0.6821049101087374,0.09999999999999998
base_g1,k562,DEK,0.44228099102017904,0.9814814814814815
base_g1,k562,DHRS1,0.9183368604506411,0.9703703703703703
base_g1,k562,DHX35,0.6689271280165047,1.0
base_g1,k562,DLAT,0.1626340648690063,0.7851851851851852
base_g1,k562,DMTF1,0.9975800855534181,0.4925925925925926
base_g1,k562,DNTTIP1,0.7788753723951688,1.0
base_g1,k562,DRG2,0.8853090524430735,0.8296296296296296
base_g1,k562,DTNBP1,0.32206870234222734,0.6370370370370371
base_g1,k562,DVL3,0.5479478120581743,0.09999999999999998
base_g1,k562,E2F1,0.8697447912465163,1.0
base_g1,k562,E2F4,0.7816921863977758,0.8111111111111111
base_g1,k562,EAPP,0.25216724792334894,0.9962962962962963
base_g1,k562,ELK1,0.2704946111887006,1.0
base_g1,k562,EPC2,0.6086874274060162,1.0
base_g1,k562,EPM2AIP1,0.35050397173836895,1.0
base_g1,k562,EZH2,0.8793506792590863,1.0
base_g1,k562,FAM120A,0.8623877370943532,0.737037037037037
base_g1,k562,FCGRT,0.13941698051633256,0.9740740740740741
base_g1,k562,FHL3,0.7318274371529149,0.5148148148148148
base_g1,k562,FOXN2,1.0,1.0
base_g1,k562,FOXO4,0.5301914073223298,0.9925925925925926
base_g1,k562,FUBP3,0.5708929376783057,1.0
base_g1,k562,FXYD5,0.6145433743553179,0.8518518518518519
base_g1,k562,GIGYF2,0.8928678460609246,1.0
base_g1,k562,GLI3,0.7848641520529652,1.0
base_g1,k562,GMEB2,0.8532804513094757,1.0
base_g1,k562,GPATCH8,0.9546131466958058,1.0
base_g1,k562,GRAMD1A,0.16160924722960343,0.7851851851851852
base_g1,k562,GTF2IRD1,0.5113928699157877,0.837037037037037
base_g1,k562,HDAC1,0.3253900080389534,0.837037037037037
base_g1,k562,HDAC8,0.841394986421751,0.49629629629629635
base_g1,k562,HMGN3,0.23510975458189554,0.7296296296296296
base_g1,k562,HMGN4,0.2921354976415716,0.9740740740740741
base_g1,k562,HMGXB3,0.9206821974252127,1.0
base_g1,k562,HOMEZ,0.693910463350574,0.28148148148148144
base_g1,k562,HSBP1,0.6087145189515794,0.7259259259259259
base_g1,k562,HSP90AB1,0.5197636863375182,0.9740740740740741
base_g1,k562,IFI27L2,0.6521896346265895,0.9
base_g1,k562,IFNAR2,0.6135417948677305,0.7777777777777778
base_g1,k562,IFNGR2,0.4049238194152285,0.937037037037037
base_g1,k562,IREB2,0.4355706339357719,0.825925925925926
base_g1,k562,KDM5A,0.9514567797131237,1.0
base_g1,k562,KHDRBS1,0.8198453782849718,0.9851851851851852
base_g1,k562,KHSRP,0.9914973604925909,1.0
base_g1,k562,KIF2A,0.31997338163099653,0.4111111111111111
base_g1,k562,KMT2A,0.9508682705736646,0.8888888888888888
base_g1,k562,LDLR,0.8732035234355499,0.8666666666666667
base_g1,k562,LMAN1,0.31741699983378246,0.7777777777777778
base_g1,k562,LMBRD2,0.5188289775344452,0.5
base_g1,k562,LPCAT3,0.2876350450444902,0.8814814814814815
base_g1,k562,MAP2K2,0.6399501118443328,0.2925925925925926
base_g1,k562,MARCKSL1,0.5216741114570415,0.8666666666666667
base_g1,k562,MBD4,0.7516623692071502,0.18148148148148147
base_g1,k562,MED13,0.6472059344821427,0.9925925925925926
base_g1,k562,MED15,0.9588246031753244,0.9333333333333333
base_g1,k562,MED25,0.60655816654112,1.0
base_g1,k562,MLLT10,0.08997479207407051,0.8925925925925926
base_g1,k562,MSANTD4,0.6529882462740627,1.0
base_g1,k562,MSI2,0.6652831468677781,0.7666666666666666
base_g1,k562,MTA1,0.554162158280117,1.0
base_g1,k562,MTF1,0.9515898984814162,1.0
base_g1,k562,MTHFSD,0.9525489055402615,0.7296296296296296
base_g1,k562,MTM1,0.4304922311711823,0.7740740740740741
base_g1,k562,MYD88,0.6393058883524764,0.8444444444444444
base_g1,k562,MYPOP,0.812058931549155,0.8037037037037037
base_g1,k562,MYRF,0.9508113110197941,0.8074074074074074
base_g1,k562,NABP2,0.9805352798053528,1.0
base_g1,k562,NAIF1,0.97112372735782,1.0
base_g1,k562,NCLN,0.6754023776011544,0.9185185185185185
base_g1,k562,NFE2L1,0.48357210744661777,0.18518518518518523
base_g1,k562,NGLY1,0.8966589292539456,0.9962962962962963
base_g1,k562,NIPAL3,0.707851840005611,0.8148148148148149
base_g1,k562,NIPSNAP3A,0.7002490184194577,0.37777777777777777
base_g1,k562,NT5DC1,0.6903445428725727,0.6333333333333333
base_g1,k562,NUP37,0.7444763956411622,0.9925925925925926
base_g1,k562,PAN2,0.880051458455687,1.0
base_g1,k562,PAPOLA,0.7342090700677225,1.0
base_g1,k562,PATL1,0.6030248905341703,0.8703703703703703
base_g1,k562,PCGF1,0.7445721583652617,1.0
base_g1,k562,PCGF6,0.9902070457066682,1.0
base_g1,k562,PDCD4,0.27071551666084614,0.31481481481481477
base_g1,k562,PDE6D,0.7038924022080182,0.674074074074074
base_g1,k562,PDK1,0.710872093005646,0.37777777777777777
base_g1,k562,PGLS,0.5734999604732667,0.2407407407407407
base_g1,k562,PHF19,0.7457208398971437,0.4925925925925926
base_g1,k562,PHF23,0.7677318288337979,1.0
base_g1,k562,PHF8,0.9915632383813363,1.0
base_g1,k562,PI4KB,0.8954082758176455,0.7666666666666666
base_g1,k562,PIM2,0.4586240752570155,0.9518518518518518
base_g1,k562,PIN1,0.9049646250040427,0.19259259259259254
base_g1,k562,PINK1,0.908276490727439,0.8333333333333334
base_g1,k562,PKN3,0.5837373843843052,0.7703703703703704
base_g1,k562,PLAGL2,0.36772751437896395,0.9851851851851852
base_g1,k562,PLCG1,0.6354432060747524,0.2962962962962963
base_g1,k562,PNP,0.5863970926632157,0.6407407407407407
base_g1,k562,POLD4,0.46307915372204017,0.4444444444444444
base_g1,k562,POR,0.5759165347510322,0.8888888888888888
base_g1,k562,PPIF,0.4063340942187416,0.8481481481481481
base_g1,k562,PPIP5K2,0.34295020940755094,0.25555555555555554
base_g1,k562,PQBP1,0.9913551046378135,1.0
base_g1,k562,PRDX3,0.454532629276228,0.9296296296296296
base_g1,k562,PRKAB2,0.8688781478482902,0.5925925925925926
base_g1,k562,PRKACA,0.31098070486278434,0.2592592592592593
base_g1,k562,PRMT2,0.49326805381437683,0.9888888888888889
base_g1,k562,PRMT6,0.9103333952905203,1.0
base_g1,k562,PRMT7,0.6481277874213583,0.9962962962962963
base_g1,k562,PRNP,0.24262424258517015,0.9
base_g1,k562,PSKH1,0.1290688682905642,0.5037037037037038
base_g1,k562,PTMS,0.6406741965009367,0.9925925925925926
base_g1,k562,PTOV1,0.29704528498236205,0.4
base_g1,k562,PYCR1,0.2356276406053739,0.07777777777777772
base_g1,k562,R3HCC1L,0.9764750059290099,1.0
base_g1,k562,RAB5A,0.8912421934701837,0.9703703703703703
base_g1,k562,RABEP2,0.36565718183242973,0.8407407407407408
base_g1,k562,RBM18,1.0,1.0
base_g1,k562,RBM26,0.9731800766283524,1.0
base_g1,k562,RBM4B,0.2816523736047307,0.9888888888888889
base_g1,k562,RBM5,0.9914973604925909,1.0
base_g1,k562,RC3H2,0.8886016511977307,0.9444444444444444
base_g1,k562,REV1,0.25190075798106,0.2222222222222222
base_g1,k562,RNF10,0.36229665228930125,1.0
base_g1,k562,RNF141,0.5027320561672018,0.0444444444444444
base_g1,k562,RNF2,0.9202779276226307,0.9851851851851852
base_g1,k562,RSRC1,0.8147554153391389,1.0
base_g1,k562,S100A11,0.6841564131897528,0.5111111111111111
base_g1,k562,SAP30L,0.7487513069146677,0.11481481481481481
base_g1,k562,SFXN4,0.6281906815381416,0.20740740740740737
base_g1,k562,SH2D3A,0.3556757309593466,0.033333333333333326
base_g1,k562,SHPRH,0.303992230346657,0.8296296296296296
base_g1,k562,SIN3B,0.9605858060426397,1.0
base_g1,k562,SLC25A13,0.9233123658232311,0.6777777777777778
base_g1,k562,SLC39A1,0.429962650350085,0.5074074074074074
base_g1,k562,SLIRP,0.8259835568789691,0.9814814814814815
base_g1,k562,SMARCA5,0.9802323088253115,1.0
base_g1,k562,SMARCC2,0.5228928271582615,0.059259259259259234
base_g1,k562,SMYD2,0.49326519321639806,0.8592592592592593
base_g1,k562,SND1,0.21824132993978915,0.9962962962962963
base_g1,k562,SNRK,0.44402317932445934,0.5407407407407407
base_g1,k562,SNX4,0.3243446782293383,0.2851851851851852
base_g1,k562,SRSF5,0.791520612106044,0.9814814814814815
base_g1,k562,SSR4,0.9948914431673052,0.8481481481481481
base_g1,k562,STAT6,0.26973359116407725,0.5259259259259259
