held_out,target,pds_raw,pds_zk64,gain_zk64,predictor_sources,predictor_cells,predictor_max_abs_z
k562,ACLY,0.9962962962962963,0.962962962962963,-0.033333333333333326,3,1417.0,13.45892333984375
k562,ADNP,1.0,1.0,0.0,3,4468.0,10.520176887512207
k562,AGO1,0.7037037037037037,1.0,0.2962962962962963,3,1307.0,10.356743812561035
k562,AKAP1,0.9074074074074074,0.9814814814814815,0.07407407407407407,3,3707.0,9.340867042541504
k562,AKIRIN1,0.6851851851851851,0.9333333333333333,0.24814814814814823,2,1561.0,9.035123825073242
k562,AKT2,1.0,1.0,0.0,3,1810.0,9.758946418762207
k562,ALG12,0.8740740740740741,0.9962962962962963,0.12222222222222223,3,1982.0,6.643861770629883
k562,ANKRD52,0.3407407407407408,0.5,0.1592592592592592,1,124.0,0.0
k562,ANKZF1,1.0,1.0,0.0,3,1053.0,7.049819469451904
k562,ANP32B,1.0,1.0,0.0,3,1446.0,22.295028686523438
k562,AP2A2,0.9666666666666667,0.6,-0.3666666666666667,3,1551.0,8.715591430664062
k562,API5,1.0,1.0,0.0,3,1031.0,8.376697540283203
k562,ARL14EP,0.9851851851851852,0.9851851851851852,0.0,3,1106.0,6.6938886642456055
k562,ASCC2,0.8481481481481481,0.6185185185185185,-0.22962962962962963,3,1595.0,7.635601997375488
k562,BCKDK,0.8444444444444444,0.5740740740740741,-0.27037037037037037,3,1467.0,9.502679824829102
k562,BCL6,0.8148148148148149,0.962962962962963,0.14814814814814814,3,1959.0,8.539198875427246
k562,BCL7C,0.9592592592592593,0.6592592592592592,-0.30000000000000004,3,1081.0,8.440054893493652
k562,BRD1,0.9888888888888889,0.5888888888888889,-0.4,2,598.0,6.6829681396484375
k562,BRPF1,1.0,1.0,0.0,3,2346.0,8.003509521484375
k562,CAND1,0.9037037037037037,0.9925925925925926,0.0888888888888889,3,2919.0,22.348365783691406
k562,CARM1,1.0,1.0,0.0,3,2423.0,11.805519104003906
