held_out,variant,true_order,shuffled_mean,shuffled_min,shuffled_max
k562,raw,0.7558835588355884,0.5086592865928659,0.4700287002870029,0.5476834768347684
k562,zk16,0.7728030613639469,0.5030804974716414,0.4836408364083641,0.5195708623752905
k562,zk64,0.7839551728850621,0.5017548175481754,0.48402350690173557,0.5202542025420254
cd4_mix,raw,0.6718683801722921,0.49910558772301467,0.4888198465376829,0.505260556418585
cd4_mix,zk16,0.6961116603116321,0.4938732759026503,0.4815939368262487,0.5130395895118391
cd4_mix,zk64,0.7038318504919268,0.49146542390434494,0.47985218660264556,0.5122157887304053
orion_hct116,raw,0.6948542024013722,0.4977129788450544,0.4687535734705546,0.5362635791881075
orion_hct116,zk16,0.7395368782161235,0.49556317895940544,0.45931961120640363,0.5195540308747856
orion_hct116,zk64,0.7513150371640936,0.494090909090909,0.46287878787878783,0.5189108061749572
orion_hek293t,raw,0.6589356673505962,0.4915928628938005,0.4745474378619847,0.5138171051606368
orion_hek293t,zk16,0.749227332935096,0.5020673713736592,0.4871958029244475,0.5183232475391527
orion_hek293t,zk64,0.758161701685583,0.5034309014881957,0.48857231904007487,0.5179985975118822
