held_out,context,variant,rule,pds_proxy_generator,median_abs_comp_shift_log2,median_genes_moved_gt_0.1ln,max_abs_ln_fc
k562,A,raw,t15amp,0.7102819917088059,0.002481311267421739,1051.0,2.3293014202999913
k562,A,zk16,t15amp,0.58261127055715,0.00028978237072286125,11.0,1.1149819349170547
k562,A,zk16,q99,0.7348503485034851,0.002017258559500531,768.0,8.096617671349447
k562,A,zk16,l2,0.7295248508040636,0.001797486086305305,659.0,7.384186778736541
k562,A,zk16,q99cap2,0.7352284633957451,0.001976103350323429,768.0,2.0
k562,A,zk64,t15amp,0.5428089836453921,9.539463180298527e-05,1.0,0.8401166891485433
k562,A,zk64,q99,0.749095713179354,0.0019087874202624944,704.0,18.794138193524372
k562,A,zk64,l2,0.7377704888159994,0.0015035555905383382,479.0,15.092728472614755
k562,A,zk64,q99cap2,0.7492506036171473,0.0018991970249145921,704.0,2.0
k562,B,raw,t15amp,0.7115712268233793,0.003085819190737375,1044.0,2.3293014202999913
k562,B,zk16,t15amp,0.5847478474784747,0.0003744394860261137,11.0,1.1149819349170547
k562,B,zk16,q99,0.7329916632499658,0.002765100900467242,769.0,8.096617671349447
k562,B,zk16,l2,0.7294064051751629,0.002502155265978387,657.0,7.384186778736541
k562,B,zk16,q99cap2,0.7338071158489363,0.002765100900467242,769.0,2.0
k562,B,zk64,t15amp,0.5437884378843788,0.00012756388802461757,1.0,0.8401166891485433
k562,B,zk64,q99,0.7452872306500842,0.002844773112835905,702.0,18.794138193524372
k562,B,zk64,l2,0.7374789303448591,0.002202670097552037,477.0,15.092728472614755
k562,B,zk64,q99cap2,0.7463076852990751,0.002844737364293083,703.0,2.0
k562,C,raw,t15amp,0.7089426449820054,0.0026807234090267845,1043.0,2.3293014202999913
k562,C,zk16,t15amp,0.5836180584028062,0.0004202751987985962,11.0,1.1149819349170547
k562,C,zk16,q99,0.726472598059314,0.0029161057452926505,768.0,8.096617671349447
k562,C,zk16,l2,0.7217848845155118,0.002641557853388495,657.0,7.384186778736541
k562,C,zk16,q99cap2,0.7267596009293426,0.0029162305170422945,768.0,2.0
k562,C,zk64,t15amp,0.5443943328322173,0.00014418235679938176,1.0,0.8401166891485433
k562,C,zk64,q99,0.7393512824017128,0.0029878733880727456,705.0,18.794138193524372
k562,C,zk64,l2,0.7301535237574598,0.00238798960696179,481.0,15.092728472614755
k562,C,zk64,q99cap2,0.7399662885517744,0.002917130154631595,702.0,2.0
cd4_mix,A,raw,t15amp,0.6610844356572362,0.0030668516879649547,882.0,2.412576544960413
cd4_mix,A,zk16,t15amp,0.6174896828759278,0.0006331394730421656,22.0,1.114583924273889
cd4_mix,A,zk16,q99,0.6724607321627517,0.0032684602615620077,634.5,5.336988746348298
cd4_mix,A,zk16,l2,0.6711034223038177,0.0029789929739099685,530.0,4.862536454282924
cd4_mix,A,zk16,q99cap2,0.6737513533869981,0.0032689285402325223,634.5,2.0
cd4_mix,A,zk64,t15amp,0.5735771783646378,0.0002308924742446106,3.0,1.0112237606142178
cd4_mix,A,zk64,q99,0.6705267617568141,0.0032681761032403926,572.5,14.452149930346868
cd4_mix,A,zk64,l2,0.6673884730656372,0.0024041868529129547,329.0,10.705732616371398
cd4_mix,A,zk64,q99cap2,0.6754538750019613,0.003257739789727082,561.0,2.0
cd4_mix,B,raw,t15amp,0.6537055343721069,0.003208375513374197,885.5,2.412576544960413
cd4_mix,B,zk16,t15amp,0.610051938677839,0.0006243879949439925,21.0,1.114583924273889
cd4_mix,B,zk16,q99,0.6687104771767954,0.0029000180450074516,634.5,5.336988746348298
cd4_mix,B,zk16,l2,0.6672668643788541,0.002683609920725237,531.0,4.862536454282924
cd4_mix,B,zk16,q99cap2,0.6710916537212258,0.002882133784504824,634.5,2.0
cd4_mix,B,zk64,t15amp,0.5667396318787365,0.00021714000788505166,3.0,1.0112237606142178
cd4_mix,B,zk64,q99,0.6745986913336158,0.0031498467894917914,570.5,14.452149930346868
cd4_mix,B,zk64,l2,0.6708562820693875,0.002275235889504704,328.5,10.705732616371398
cd4_mix,B,zk64,q99cap2,0.674445699759921,0.00310678971213123,559.5,2.0
cd4_mix,C,raw,t15amp,0.6489314127006544,0.0034774481648818163,883.5,2.412576544960413
cd4_mix,C,zk16,t15amp,0.6087220888449528,0.000738111126411849,21.0,1.114583924273889
cd4_mix,C,zk16,q99,0.6669608812314644,0.003468119636737016,638.0,5.336988746348298
cd4_mix,C,zk16,l2,0.6653172025294607,0.003137721171747543,532.0,4.862536454282924
cd4_mix,C,zk16,q99cap2,0.670252161496336,0.003463857982142625,638.0,2.0
cd4_mix,C,zk64,t15amp,0.5629579940058685,0.00025737982125361434,3.0,1.0112237606142178
cd4_mix,C,zk64,q99,0.6768857192173107,0.003650187678490714,567.0,14.452149930346868
cd4_mix,C,zk64,l2,0.6712681824601044,0.0026983523755990334,330.0,10.705732616371398
cd4_mix,C,zk64,q99cap2,0.677948814511447,0.003537233008369131,560.5,2.0
orion_hct116,A,raw,t15amp,0.6651610444063275,0.002850114672867601,962.0,2.3075803449653587
orion_hct116,A,zk16,t15amp,0.5663807890222986,0.0003045244912483682,3.0,0.8923924167483108
orion_hct116,A,zk16,q99,0.6983037926434154,0.00542845656412514,665.0,13.594032393080482
orion_hct116,A,zk16,l2,0.6978987993138936,0.004181735300802541,493.0,10.842277447612275
orion_hct116,A,zk16,q99cap2,0.6992138364779873,0.0052530059910010475,664.0,2.0
orion_hct116,A,zk64,t15amp,0.5335096245473604,0.00010825316613636761,1.0,0.8709971422139614
orion_hct116,A,zk64,q99,0.6940966266437965,0.006288728248486965,624.0,42.896132083405185
orion_hct116,A,zk64,l2,0.6975271583762149,0.0030627712127664158,282.0,23.998522991728247
orion_hct116,A,zk64,q99cap2,0.6982561463693541,0.006047938692330313,621.0,2.0
orion_hct116,B,raw,t15amp,0.6673670668953688,0.003855211199142433,956.0,2.3075803449653587
orion_hct116,B,zk16,t15amp,0.5637268915570802,0.0002468480676102123,3.0,0.8923924167483108
orion_hct116,B,zk16,q99,0.7170383076043453,0.003919688352566059,666.0,13.594032393080482
orion_hct116,B,zk16,l2,0.7141842957880694,0.002904555766476365,493.0,10.842277447612275
orion_hct116,B,zk16,q99cap2,0.7180436439870402,0.0038046842256221325,662.0,2.0
orion_hct116,B,zk64,t15amp,0.5305650848103678,8.44804071486555e-05,1.0,0.8709971422139614
orion_hct116,B,zk64,q99,0.7189775109586432,0.004497010594175566,618.0,42.896132083405185
orion_hct116,B,zk64,l2,0.7148132266056795,0.00232999312589063,281.0,23.998522991728247
orion_hct116,B,zk64,q99cap2,0.7217648179912333,0.00437655310761363,612.0,2.0
orion_hct116,C,raw,t15amp,0.6606108252334667,0.003734696624119087,959.0,2.3075803449653587
orion_hct116,C,zk16,t15amp,0.5630121974461596,0.0002739329240948679,3.0,0.8923924167483108
orion_hct116,C,zk16,q99,0.7111539927577665,0.004014332606254578,665.0,13.594032393080482
orion_hct116,C,zk16,l2,0.709748427672956,0.0029452271292909203,493.0,10.842277447612275
orion_hct116,C,zk16,q99cap2,0.7120926243567753,0.003892183575033372,662.0,2.0
orion_hct116,C,zk64,t15amp,0.5320468839336764,9.819580815494606e-05,1.0,0.8709971422139614
orion_hct116,C,zk64,q99,0.7061558986087287,0.004527192313990715,620.0,42.896132083405185
orion_hct116,C,zk64,l2,0.7080760434534019,0.002452167399665411,281.0,23.998522991728247
orion_hct116,C,zk64,q99cap2,0.7107394701734324,0.004255974256016028,616.0,2.0
orion_hek293t,A,raw,t15amp,0.6411621605242881,0.0029095937327365006,968.5,2.3075803449653587
orion_hek293t,A,zk16,t15amp,0.555705616012605,0.000296380900818807,3.0,0.8923924167483108
orion_hek293t,A,zk16,q99,0.7017461842800129,0.005516986080533127,668.0,13.588064833532053
orion_hek293t,A,zk16,l2,0.6988546347037893,0.00422341428528761,492.5,10.807362931455998
orion_hek293t,A,zk16,q99cap2,0.7036204971041218,0.005455510303786747,666.0,2.0
orion_hek293t,A,zk64,t15amp,0.5252967301249253,0.00010794806419935256,1.0,0.8709971422139614
orion_hek293t,A,zk64,q99,0.6979542719614922,0.0063888219867403485,622.0,42.7565581595368
orion_hek293t,A,zk64,l2,0.6926949415197085,0.0030338298608271353,282.0,23.98958861172061
orion_hek293t,A,zk64,q99cap2,0.7095464422685679,0.0062197925405590064,620.0,2.0
orion_hek293t,B,raw,t15amp,0.6379805902570364,0.003887698219242277,964.0,2.3075803449653587
orion_hek293t,B,zk16,t15amp,0.5595105143322167,0.00024615463120576344,3.0,0.8923924167483108
orion_hek293t,B,zk16,q99,0.7075725701027625,0.003993666569049986,667.5,13.588064833532053
orion_hek293t,B,zk16,l2,0.7044948878442373,0.0029034858664758814,492.5,10.807362931455998
orion_hek293t,B,zk16,q99cap2,0.7105723363547428,0.003910867423247123,664.5,2.0
orion_hek293t,B,zk64,t15amp,0.5270498402721865,8.206747191007409e-05,1.0,0.8709971422139614
orion_hek293t,B,zk64,q99,0.7070791020613113,0.0045529122751239905,619.0,42.7565581595368
orion_hek293t,B,zk64,l2,0.6999584447965094,0.0023360779420177518,281.0,23.98958861172061
orion_hek293t,B,zk64,q99cap2,0.7142993186678094,0.004387910709568841,617.0,2.0
orion_hek293t,C,raw,t15amp,0.6447506254923859,0.003709370440988628,962.0,2.3075803449653587
orion_hek293t,C,zk16,t15amp,0.5594628989948834,0.00027210350948458526,3.0,0.8923924167483108
orion_hek293t,C,zk16,q99,0.7059839493026517,0.004036025259053982,667.5,13.588064833532053
orion_hek293t,C,zk16,l2,0.7015513942636504,0.0029149038393748126,492.0,10.807362931455998
orion_hek293t,C,zk16,q99cap2,0.7069319273822819,0.003929250653777595,664.0,2.0
orion_hek293t,C,zk64,t15amp,0.529452250473989,9.717538815949451e-05,1.0,0.8709971422139614
orion_hek293t,C,zk64,q99,0.7013912335835304,0.004508820819141748,619.5,42.7565581595368
orion_hek293t,C,zk64,l2,0.6951103377226017,0.002423525869214432,282.0,23.98958861172061
orion_hek293t,C,zk64,q99cap2,0.7087802682042091,0.0042854827435380004,615.5,2.0
