held_out,predictors,targets,arm,pds_proxy,minus_raw,minus_raw_ci95,share_targets_better
k562,cd4_mix+orion_hct116+orion_hek293t,257,raw,0.7595756322957199,0.0,"[0.0, 0.0]",0.0
k562,cd4_mix+orion_hct116+orion_hek293t,257,zk4,0.781325997081712,0.021750364785992217,"[0.010897981517509727, 0.0328919169503891]",0.4591439688715953
k562,cd4_mix+orion_hct116+orion_hek293t,257,zk16,0.7922543774319066,0.03267874513618677,"[0.01721903878891051, 0.04783256322957198]",0.47470817120622566
k562,cd4_mix+orion_hct116+orion_hek293t,257,zk64,0.7958110408560312,0.03623540856031129,"[0.017249817607003892, 0.05465824112354085]",0.4785992217898833
k562,cd4_mix+orion_hct116+orion_hek293t,257,raw_noCD4,0.7290400048638133,-0.030535627431906614,"[-0.054839874148832686, -0.007356137524319068]",0.3229571984435798
cd4_mix,k562+orion_hct116+orion_hek293t,292,raw,0.6718683801722921,0.0,"[0.0, 0.0]",0.0
cd4_mix,k562+orion_hct116+orion_hek293t,292,zk4,0.6861319022736901,0.01426352210139811,"[0.0034461351974768135, 0.024738149037329946]",0.4897260273972603
cd4_mix,k562+orion_hct116+orion_hek293t,292,zk16,0.6961116603116321,0.024243280139340025,"[0.00842483406298546, 0.03988872805159344]",0.5136986301369864
cd4_mix,k562+orion_hct116+orion_hek293t,292,zk64,0.7038318504919268,0.0319634703196347,"[0.01387868945064257, 0.051020336110718816]",0.5034246575342466
orion_hct116,k562+cd4_mix,242,raw,0.6982956688728096,0.0,"[0.0, 0.0]",0.0
orion_hct116,k562+cd4_mix,242,zk4,0.7096464455951442,0.01135077672233463,"[0.0006858475360927324, 0.022290473577723676]",0.49173553719008267
orion_hct116,k562+cd4_mix,242,zk16,0.7154932958403347,0.01719762696752512,"[-0.0022311477658516475, 0.035547477795686004]",0.5206611570247934
orion_hct116,k562+cd4_mix,242,zk64,0.7149617639998629,0.016666095127053256,"[-0.0084933644250883, 0.042219488357738054]",0.5206611570247934
orion_hct116,k562+cd4_mix,242,raw_noCD4,0.7000274339014437,0.0017317650286341366,"[-0.030568653338362877, 0.03421007510030519]",0.5
orion_hek293t,k562+cd4_mix,254,raw,0.6576048053281878,0.0,"[0.0, 0.0]",0.0
orion_hek293t,k562+cd4_mix,254,zk4,0.6746599856836076,0.01705518035542,"[0.004617814571597524, 0.030081930223148978]",0.5551181102362205
orion_hek293t,k562+cd4_mix,254,zk16,0.6844013569450064,0.026796551616818647,"[0.00949239052628304, 0.04454265351218446]",0.562992125984252
orion_hek293t,k562+cd4_mix,254,zk64,0.6894743394229872,0.031869534094799416,"[0.007871292521241174, 0.05642564812797609]",0.5196850393700787
orion_hek293t,k562+cd4_mix,254,raw_noCD4,0.7092371852727896,0.051632379944601785,"[0.010329588248109301, 0.0917661292832467]",0.5433070866141733
