held_out,context,arm,targets,pds_proxy_generator,detectable_median,det_precision,det_yield,n_conf_median
k562,A,raw@0.788,271,0.7387522208555418,264.5,0.539255849101945,0.5341759395290709,31.0
k562,A,raw@1.576,271,0.7430367637009704,1189.5,0.5276284119030785,0.5250664034668084,31.0
k562,A,zk4@0.788,271,0.7330941642749761,66.0,0.5672518373831077,0.42097020613566516,31.0
k562,A,zk4@1.576,271,0.76253245865792,272.5,0.5453066753875031,0.5374016376998498,31.0
k562,A,zk4@3.152,271,0.7551523848571818,1009.0,0.5313527052690119,0.5278850690743029,31.0
k562,A,zk4@6.304,271,0.7256389230558973,2770.0,0.5215432783150609,0.5194832775013372,31.0
k562,A,zk4@12.608,271,0.6887317206505399,5399.0,0.5165613487498197,0.5156330285849113,31.0
k562,A,zk16@0.788,271,0.6953396200628672,23.5,0.590580108568031,0.2178557353536742,31.0
k562,A,zk16@1.576,271,0.746077627442941,80.0,0.5700156459544032,0.4590370040898633,31.0
k562,A,zk16@3.152,271,0.7629151291512914,284.5,0.5438509998976297,0.536969761236374,31.0
k562,A,zk16@6.304,271,0.741779417794178,968.5,0.5303016117063188,0.5270189290690993,31.0
k562,A,zk16@12.608,271,0.7120131201312013,2660.5,0.5217689533320099,0.5196664026344602,31.0
k562,B,raw@0.788,271,0.735103184365177,353.0,0.5353005605788059,0.5337183384468036,30.0
k562,B,raw@1.576,271,0.7384105507721743,1234.5,0.5262243046969568,0.523965735912254,30.0
k562,B,zk4@0.788,271,0.729656963236299,95.5,0.5568788082665543,0.464352192465353,30.0
k562,B,zk4@1.576,271,0.7547765477654776,328.5,0.5402962977041366,0.5357198071542277,30.0
k562,B,zk4@3.152,271,0.7516468498018314,1034.5,0.5294883089618253,0.5261213218621195,30.0
k562,B,zk4@6.304,271,0.7246617466174663,2641.5,0.520877886933,0.5185442885231228,30.0
k562,B,zk4@12.608,271,0.685376520431871,5209.0,0.5158340689921626,0.5152037705685732,30.0
k562,B,zk16@0.788,271,0.6947041137078038,30.0,0.5708635996771589,0.27483461591927405,30.0
k562,B,zk16@1.576,271,0.7449979499794999,102.5,0.5576438733195014,0.48541452884164665,30.0
k562,B,zk16@3.152,271,0.7651291512915129,318.0,0.5410076613483104,0.5371555357011482,30.0
k562,B,zk16@6.304,271,0.7534235342353424,925.0,0.5284596172705499,0.5245960150891793,30.0
k562,B,zk16@12.608,271,0.7222905562388957,2319.0,0.5200944191346324,0.5181452852135611,30.0
k562,C,raw@0.788,271,0.7323629902965696,386.5,0.5349549252179807,0.5312950095766582,30.0
k562,C,raw@1.576,271,0.7315088150881508,1314.5,0.5267763866196598,0.5241054694571468,30.0
k562,C,zk4@0.788,271,0.7251947519475195,110.0,0.5528019167355613,0.4561623949385104,30.0
k562,C,zk4@1.576,271,0.74589995899959,361.5,0.5409283590221994,0.5358877320821951,30.0
k562,C,zk4@3.152,271,0.7395927292606259,1100.0,0.5291291918263371,0.5260538263526444,30.0
k562,C,zk4@6.304,271,0.7102569359026922,2860.0,0.5200376714184903,0.5180678400417892,30.0
k562,C,zk4@12.608,271,0.6713543802104688,5607.0,0.5149200979102779,0.5144064912928119,30.0
