,PDS,MSE,NMAE,FID,REACH,JAC,avg,sig/t
replicate,1.0,1.0,1.0,1.0,1.0,1.0,1.0,430.22
baseline,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,8.49
null_new,-0.016421830355854445,0.0,-0.37093701191132084,-0.1628146602572904,-0.1966194945637155,0.20844766954423818,-0.08972422125732382,0.13
g0:rawtransfer_a0.2,0.6302634996680999,0.0,-0.3116668220029022,0.1976720819189047,-0.07963298173567339,-0.2905324759181522,0.02435055032171281,29.88
transfer_a0.5,0.38820745187451294,0.0,-0.24521907767008533,-0.043277586039307266,-0.010257400569476173,0.24192701786509155,0.055230067576789284,17.946666666666665
transfer_a1.0,0.5411411584749919,0.0,-0.13258751577509864,0.2710970974351193,0.08326190713321921,0.3144420085120076,0.17955910929670657,122.88666666666667
transfer_a2.0,0.6250685445467401,0.0,-0.12307139023899995,0.6580270045577815,0.19407985202340938,0.23002176742438665,0.2640209630522196,520.9866666666667
rawtransfer_a0.25,0.3750757597621864,0.0,-0.3152726572959707,-0.12271323947291111,-0.06118184352300008,0.2475119431328515,0.020569993767192662,3.3066666666666666
rawtransfer_a0.5,0.5398135588328669,0.0,-0.1518806872019675,0.10256365852160097,0.08203317961220095,0.2776343397658586,0.14169400825509332,45.67
cismeas_a1.0+cis_a1.0,-0.0035210251378106046,0.0,-0.42621910621356834,-0.17116283696995732,-0.20691749524225486,0.2236678689686039,-0.0973587657658312,0.19333333333333333
transfer_a1.0+cismeas_a1.0+cis_a1.0,0.48474703454645174,0.0,-0.14260007493674062,0.29171389107851126,0.11752069437408737,0.31158750759464254,0.17716150877615874,126.61
rawtransfer_a0.25+cismeas_a1.0+cis_a1.0,0.3670813010476493,0.0,-0.300044418035132,-0.15600388267255,-0.06261075883272586,0.30569407794453074,0.02568605324196203,3.5566666666666666
transfer_a2.0+cismeas_a1.0+cis_a1.0,0.6574215706080984,0.0,-0.11789138192754023,0.6324803988314751,0.2193303648839931,0.21642500455604052,0.26796099282534447,523.67
transfer_a1.0+cismeas_a1.0+cis_a1.0+shared_a1.0,0.4184247741637565,0.0,-0.07858588885165398,0.4168709384413125,0.13054874163524546,0.21552895148040035,0.1837979194781768,169.91
