held_out,arm,target,pds
k562,common,ACLY,0.955719557195572
k562,common,ADNP,0.8782287822878229
k562,common,AGO1,0.8044280442804428
k562,common,AKAP1,0.4095940959409594
k562,common,AKIRIN1,0.8450184501845018
k562,common,AKT2,0.5719557195571956
k562,common,ALG12,0.6236162361623616
k562,common,ANKRD52,0.34317343173431736
k562,common,ANKZF1,0.3837638376383764
k562,common,ANP32B,0.46863468634686345
k562,common,AP2A2,0.4649446494464945
k562,common,API5,0.17343173431734316
k562,common,ARL14EP,0.2878228782287823
k562,common,ASCC2,0.47970479704797053
k562,common,BCKDK,0.014760147601476037
k562,common,BCL6,0.43173431734317347
k562,common,BCL7C,0.040590405904059046
k562,common,BRD1,0.5977859778597786
k562,common,BRPF1,0.9372693726937269
k562,common,C5orf22,0.7195571955719557
k562,common,CAND1,0.6162361623616236
k562,common,CARM1,0.8856088560885609
k562,common,CAT,0.11070110701107017
k562,common,CCDC112,0.30996309963099633
k562,common,CDK8,0.2509225092250923
k562,common,CHD3,0.044280442804428
k562,common,CHD6,1.0
k562,common,CHKB,0.940959409594096
k562,common,CLCN6,0.8634686346863468
k562,common,COIL,0.4354243542435424
k562,common,COMMD8,0.13653136531365317
k562,common,COQ10B,0.977859778597786
k562,common,CSNK2A1,0.5424354243542435
k562,common,CYTH2,0.7084870848708487
k562,common,DBF4B,0.03321033210332103
k562,common,DBN1,0.8523985239852399
k562,common,DCAF16,0.16605166051660514
k562,common,DCP2,0.985239852398524
k562,common,DDHD1,0.7269372693726937
k562,common,DEAF1,0.3468634686346863
k562,common,DEK,0.7158671586715868
k562,common,DHRS1,0.4723247232472325
k562,common,DHX35,0.5535055350553506
k562,common,DLAT,0.6715867158671587
k562,common,DMTF1,0.3284132841328413
k562,common,DNTTIP1,0.08856088560885611
k562,common,DRG2,0.7859778597785978
k562,common,DTNBP1,0.18081180811808117
k562,common,DVL3,0.2140221402214022
k562,common,E2F1,0.974169741697417
k562,common,E2F4,0.40590405904059046
k562,common,EAPP,0.22509225092250917
k562,common,EEF1A2,0.4464944649446494
k562,common,ELK1,0.3136531365313653
k562,common,EPC2,0.5387453874538746
k562,common,EPM2AIP1,0.9114391143911439
k562,common,EZH2,0.6642066420664207
k562,common,FAM120A,0.7638376383763837
k562,common,FCGRT,0.948339483394834
k562,common,FHL3,0.5276752767527675
k562,common,FOXN2,0.41697416974169743
k562,common,FOXO4,0.6420664206642066
k562,common,FUBP3,0.2324723247232472
k562,common,FXYD5,0.10332103321033215
k562,common,FZD2,0.6494464944649446
k562,common,GIGYF2,0.8708487084870848
k562,common,GLI3,0.18450184501845024
k562,common,GLYR1,0.8745387453874539
k562,common,GMEB2,0.5202952029520296
k562,common,GPATCH8,0.1881918819188192
k562,common,GRAMD1A,0.6678966789667897
k562,common,GTF2IRD1,0.6531365313653137
k562,common,HDAC1,0.7785977859778598
k562,common,HDAC8,0.0073800738007380184
k562,common,HMGN3,0.38007380073800734
k562,common,HMGN4,0.1328413284132841
k562,common,HMGXB3,0.2952029520295203
k562,common,HOMEZ,0.07011070110701112
k562,common,HSBP1,0.9446494464944649
k562,common,HSP90AB1,0.5571955719557196
k562,common,IFI27L2,0.14760147601476015
k562,common,IFNAR2,0.8265682656826568
