regime,held_out,arm,targets,pds_proxy,pds_minus_common,ci95,reach_proxy,prec_200,mse_ratio
T,k562,common,272,0.5,0.0,"[0.0, 0.0]",0.12525385540641415,0.5402389705882352,0.9971901168829889
T,k562,cis,272,0.5549028652051227,0.054902865205122636,"[0.01600655252876058, 0.09207676497720856]",0.0019281689787629943,,0.9997341950036727
T,k562,linear_k25_r1,272,0.4981956804862166,-0.0018043195137833756,"[-0.011938354677664425, 0.009524907749077487]",0.1195799826557278,0.5381433823529411,0.9973926159727453
T,k562,linear_k25_r1+cis,272,0.5218553288474062,0.021855328847406125,"[0.008085522031690905, 0.03623867212936834]",0.1215081516344908,0.5383639705882353,0.9971288943484996
T,k562,linear_k25_r10,272,0.49981007163012814,-0.00018992836987193266,"[-0.001831791295854138, 0.001451934556110267]",0.12632990616134113,0.5403860294117647,0.9972088271286272
T,k562,linear_k25_r10+cis,272,0.5222080529628825,0.022208052962882575,"[0.011829485022791405, 0.033292069133926634]",0.12822638142813655,0.5406433823529412,0.9969448751648001
T,k562,linear_k50_r1,272,0.49099196874321693,-0.009008031256783159,"[-0.019359805730410247, 0.001343404059040588]",0.12052927575694738,0.5384926470588235,0.9974960492012355
T,k562,linear_k50_r1+cis,272,0.5128201649663556,0.012820164966355546,"[-0.0012087584111135268, 0.027038338398089855]",0.12242575102374285,0.5387132352941175,0.9972325439355085
T,k562,linear_k50_r10,272,0.4985077056652919,-0.001492294334708053,"[-0.0033240856305621854, 0.0002848925548079037]",0.12585034677101706,0.5405330882352941,0.9972201107683197
T,k562,linear_k50_r10+cis,272,0.5208242891252441,0.020824289125244196,"[0.010961241046233994, 0.03180045311482527]",0.12777851574978005,0.5406985294117647,0.9969561969162016
T,k562,linear_k100_r1,272,0.48959463859344476,-0.010405361406555246,"[-0.022601815172563492, 0.002701731061428245]",0.11728910773343601,0.5354595588235294,0.9975245582581497
T,k562,linear_k100_r1+cis,272,0.5122232472324724,0.012223247232472322,"[-0.002062757759930542, 0.028136870523116992]",0.11921727671219899,0.5356617647058823,0.9972611850057613
T,k562,linear_k100_r10,272,0.4975851964401997,-0.002414803559800303,"[-0.005359032450618618, 8.207618840893943e-05]",0.12487068489126883,0.5395404411764706,0.9972127514113154
T,k562,linear_k100_r10+cis,272,0.5203494682005644,0.02034946820056436,"[0.010839483394833949, 0.03180113143043194]",0.1268545579698536,0.5397058823529413,0.9969488580656627
T,k562,string700,272,0.5441176470588235,0.04411764705882353,"[0.01352459572389841, 0.07579566420664206]",0.11996281201233122,0.5338051470588235,1.0390519690935927
T,k562,string700+cis,272,0.5604379205556761,0.06043792055567613,"[0.02839293466464076, 0.09376051389190354]",0.12274265472373402,0.5341727941176471,1.0387841401772695
T,k562,string400,272,0.5393016062513567,0.03930160625135664,"[0.001977968309094857, 0.07540495441719121]",0.104122374335686,0.5262500000000001,1.0452364066531652
J,cd4_mix,common,268,0.5,0.0,"[0.0, 0.0]",0.012238019739251472,0.5182835820895523,0.9996245543488196
J,cd4_mix,cis,268,0.573334171837442,0.073334171837442,"[0.030479449661803347, 0.11426819553915814]",0.0002465461773394535,,0.9994057527466973
J,cd4_mix,linear_k25_r1,268,0.5094052210855833,0.009405221085583315,"[0.001662683772150483, 0.019035091396947833]",0.009548610094048213,0.5183768656716419,0.9994935322695545
J,cd4_mix,linear_k25_r1+cis,268,0.5471938062496507,0.04719380624965062,"[0.03017182346693498, 0.06494389010006148]",0.009814460826985982,0.5187126865671642,0.998902148707783
J,cd4_mix,linear_k25_r10,268,0.5009922298619263,0.0009922298619263225,"[-9.782547934484864e-05, 0.002138185477108833]",0.012706728943742668,0.5180970149253732,0.9995779872924532
J,cd4_mix,linear_k25_r10+cis,268,0.5388786405053384,0.03887864050533847,"[0.02508315165744312, 0.054209290625524056]",0.013025174961805316,0.5184514925373134,0.9989863000735818
J,cd4_mix,linear_k50_r1,268,0.5095449717703615,0.009544971770361677,"[0.001675610710492486, 0.019174492705014253]",0.0101376760561048,0.518134328358209,0.9994900710568431
J,cd4_mix,linear_k50_r1+cis,268,0.5459360500866455,0.045936050086645426,"[0.029553426686790767, 0.06354673262898985]",0.010499090985896718,0.5183582089552239,0.9988988745876046
J,cd4_mix,linear_k50_r10,268,0.5014114819162614,0.0014114819162613895,"[0.00023757616412320396, 0.0025857370451115203]",0.012794678298755432,0.5177611940298507,0.999567876016057
J,cd4_mix,linear_k50_r10+cis,268,0.538920565710772,0.03892056571077199,"[0.025194602828553857, 0.054699466152384135]",0.013151109800519391,0.5179850746268656,0.9989762219730578
J,cd4_mix,linear_k100_r1,268,0.5084129912236569,0.008412991223656996,"[-0.0005743753144390458, 0.018573215383755375]",0.010017283066227766,0.5175746268656716,0.9996333181386722
J,cd4_mix,linear_k100_r1+cis,268,0.5434205377606351,0.04342053776063502,"[0.02695755771703281, 0.061129395159036266]",0.010521085845136417,0.5179104477611941,0.9990423206005007
J,cd4_mix,linear_k100_r10,268,0.5012437810945273,0.0012437810945273608,"[2.7600760243720848e-05, 0.002571412599921732]",0.012012366356014405,0.5181156716417911,0.9995758230237703
J,cd4_mix,linear_k100_r10+cis,268,0.538487338587959,0.03848733858795908,"[0.024260020124098607, 0.05407058807088154]",0.012434372798062721,0.5185261194029851,0.9989842009982006
J,cd4_mix,string700,268,0.5344764939348202,0.03447649393482028,"[0.0018681172787746675, 0.06622959640002235]",0.006263062952310479,0.5159888059701493,1.060512615908577
J,cd4_mix,string700+cis,268,0.5581502599362737,0.058150259936273686,"[0.024633503829168756, 0.09148324389289506]",0.006489934319379301,0.5161380597014925,1.0599152323530898
