#Archive/File	Name	Time	Size	Type
Archive	GSE314342_RAW.tar	05/29/2026 12:12:49	171154268160	TAR
File	GSM9393828_CD4i_R1L01_D1_Rest_sample_filtered_feature_bc_matrix.h5	12/17/2025 02:51:06	631893020	H5
File	GSM9393828_CD4i_R1L01_D1_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/16/2025 22:54:59	670268411	H5
File	GSM9393828_CD4i_R1L01_D2_Rest_sample_filtered_feature_bc_matrix.h5	12/17/2025 15:27:23	615658961	H5
File	GSM9393828_CD4i_R1L01_D2_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/17/2025 17:55:12	737339335	H5
File	GSM9393829_CD4i_R1L02_D1_Rest_sample_filtered_feature_bc_matrix.h5	12/17/2025 14:12:55	630768494	H5
File	GSM9393829_CD4i_R1L02_D1_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/17/2025 01:51:23	668436019	H5
File	GSM9393829_CD4i_R1L02_D2_Rest_sample_filtered_feature_bc_matrix.h5	12/17/2025 03:18:37	615179807	H5
File	GSM9393829_CD4i_R1L02_D2_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/17/2025 12:59:47	740396833	H5
File	GSM9393830_CD4i_R1L03_D1_Rest_sample_filtered_feature_bc_matrix.h5	12/16/2025 20:10:23	645137394	H5
File	GSM9393830_CD4i_R1L03_D1_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/17/2025 03:47:28	682842477	H5
File	GSM9393830_CD4i_R1L03_D2_Rest_sample_filtered_feature_bc_matrix.h5	12/17/2025 17:13:01	625488677	H5
File	GSM9393830_CD4i_R1L03_D2_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/17/2025 15:11:10	752076611	H5
File	GSM9393831_CD4i_R1L04_D1_Rest_sample_filtered_feature_bc_matrix.h5	12/17/2025 00:26:47	642765847	H5
File	GSM9393831_CD4i_R1L04_D1_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/16/2025 20:59:37	680908256	H5
File	GSM9393831_CD4i_R1L04_D2_Rest_sample_filtered_feature_bc_matrix.h5	12/17/2025 13:33:06	626500215	H5
File	GSM9393831_CD4i_R1L04_D2_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/17/2025 04:34:45	746081568	H5
File	GSM9393832_CD4i_R1L05_D1_Rest_sample_filtered_feature_bc_matrix.h5	12/17/2025 18:03:03	641112917	H5
File	GSM9393832_CD4i_R1L05_D1_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/16/2025 22:08:38	675755635	H5
File	GSM9393832_CD4i_R1L05_D2_Rest_sample_filtered_feature_bc_matrix.h5	12/16/2025 23:21:19	627904356	H5
File	GSM9393832_CD4i_R1L05_D2_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/17/2025 10:44:54	746122156	H5
File	GSM9393833_CD4i_R1L06_D1_Rest_sample_filtered_feature_bc_matrix.h5	12/16/2025 22:13:32	615818072	H5
File	GSM9393833_CD4i_R1L06_D1_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/17/2025 01:14:29	653599576	H5
File	GSM9393833_CD4i_R1L06_D2_Rest_sample_filtered_feature_bc_matrix.h5	12/17/2025 11:23:50	593258078	H5
File	GSM9393833_CD4i_R1L06_D2_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/17/2025 13:49:06	716742107	H5
File	GSM9393834_CD4i_R1L07_D1_Rest_sample_filtered_feature_bc_matrix.h5	12/17/2025 12:24:42	634031680	H5
File	GSM9393834_CD4i_R1L07_D1_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/17/2025 04:13:58	675378605	H5
File	GSM9393834_CD4i_R1L07_D2_Rest_sample_filtered_feature_bc_matrix.h5	12/17/2025 01:42:23	620780374	H5
File	GSM9393834_CD4i_R1L07_D2_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/17/2025 14:44:35	740508253	H5
File	GSM9393835_CD4i_R1L08_D1_Rest_sample_filtered_feature_bc_matrix.h5	12/17/2025 17:55:52	601056307	H5
File	GSM9393835_CD4i_R1L08_D1_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/17/2025 17:21:54	643641969	H5
File	GSM9393835_CD4i_R1L08_D2_Rest_sample_filtered_feature_bc_matrix.h5	12/17/2025 00:19:33	586945475	H5
File	GSM9393835_CD4i_R1L08_D2_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/16/2025 23:06:55	707485864	H5
File	GSM9393836_CD4i_R1L09_D1_Rest_sample_filtered_feature_bc_matrix.h5	12/17/2025 00:49:13	652442494	H5
File	GSM9393836_CD4i_R1L09_D1_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/17/2025 16:19:47	682673474	H5
File	GSM9393836_CD4i_R1L09_D2_Rest_sample_filtered_feature_bc_matrix.h5	12/17/2025 12:57:37	637680222	H5
File	GSM9393836_CD4i_R1L09_D2_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/16/2025 20:17:23	761961967	H5
File	GSM9393837_CD4i_R1L10_D1_Rest_sample_filtered_feature_bc_matrix.h5	12/17/2025 18:09:51	630210380	H5
File	GSM9393837_CD4i_R1L10_D1_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/17/2025 16:09:25	668547712	H5
File	GSM9393837_CD4i_R1L10_D2_Rest_sample_filtered_feature_bc_matrix.h5	12/16/2025 23:28:21	617947447	H5
File	GSM9393837_CD4i_R1L10_D2_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/16/2025 20:18:14	736902050	H5
File	GSM9393838_CD4i_R1L11_D1_Rest_sample_filtered_feature_bc_matrix.h5	12/17/2025 00:22:21	653680368	H5
File	GSM9393838_CD4i_R1L11_D1_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/17/2025 17:27:53	683186788	H5
File	GSM9393838_CD4i_R1L11_D2_Rest_sample_filtered_feature_bc_matrix.h5	12/17/2025 13:19:58	637406088	H5
File	GSM9393838_CD4i_R1L11_D2_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/16/2025 23:03:39	758092078	H5
File	GSM9393839_CD4i_R1L12_D1_Rest_sample_filtered_feature_bc_matrix.h5	12/17/2025 12:17:31	613933571	H5
File	GSM9393839_CD4i_R1L12_D1_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/17/2025 12:51:41	644290834	H5
File	GSM9393839_CD4i_R1L12_D2_Rest_sample_filtered_feature_bc_matrix.h5	12/17/2025 01:35:34	600686614	H5
File	GSM9393839_CD4i_R1L12_D2_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/17/2025 02:19:04	716693208	H5
File	GSM9393840_CD4i_R1L13_D1_Rest_sample_filtered_feature_bc_matrix.h5	12/16/2025 22:15:44	625745090	H5
File	GSM9393840_CD4i_R1L13_D1_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/17/2025 15:24:21	655935922	H5
File	GSM9393840_CD4i_R1L13_D2_Rest_sample_filtered_feature_bc_matrix.h5	12/17/2025 11:38:21	611467747	H5
File	GSM9393840_CD4i_R1L13_D2_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/17/2025 03:24:04	729047810	H5
File	GSM9393841_CD4i_R1L14_D1_Rest_sample_filtered_feature_bc_matrix.h5	12/17/2025 02:58:26	623455759	H5
File	GSM9393841_CD4i_R1L14_D1_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/17/2025 04:35:19	52416168	H5
File	GSM9393841_CD4i_R1L14_D2_Rest_sample_filtered_feature_bc_matrix.h5	12/17/2025 15:39:28	608021028	H5
File	GSM9393841_CD4i_R1L14_D2_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/16/2025 20:45:28	723478959	H5
File	GSM9393842_CD4i_R1L15_D1_Rest_sample_filtered_feature_bc_matrix.h5	12/17/2025 16:02:03	593237572	H5
File	GSM9393842_CD4i_R1L15_D1_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/17/2025 18:09:48	628474904	H5
File	GSM9393842_CD4i_R1L15_D2_Rest_sample_filtered_feature_bc_matrix.h5	12/16/2025 21:25:11	580859547	H5
File	GSM9393842_CD4i_R1L15_D2_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/16/2025 22:20:57	695499547	H5
File	GSM9393843_CD4i_R1L16_D1_Rest_sample_filtered_feature_bc_matrix.h5	12/16/2025 20:09:26	561812470	H5
File	GSM9393843_CD4i_R1L16_D1_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/17/2025 13:29:52	601160362	H5
File	GSM9393843_CD4i_R1L16_D2_Rest_sample_filtered_feature_bc_matrix.h5	12/17/2025 16:54:25	548799724	H5
File	GSM9393843_CD4i_R1L16_D2_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/17/2025 01:23:39	662239150	H5
File	GSM9393844_CD4i_R1L17_D1_Rest_sample_filtered_feature_bc_matrix.h5	12/17/2025 14:28:40	626629880	H5
File	GSM9393844_CD4i_R1L17_D1_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/17/2025 15:01:44	667915120	H5
File	GSM9393844_CD4i_R1L17_D2_Rest_sample_filtered_feature_bc_matrix.h5	12/17/2025 03:31:48	611421216	H5
File	GSM9393844_CD4i_R1L17_D2_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/17/2025 04:04:29	733679742	H5
File	GSM9393845_CD4i_R1L18_D1_Rest_sample_filtered_feature_bc_matrix.h5	12/17/2025 04:34:51	629872951	H5
File	GSM9393845_CD4i_R1L18_D1_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/16/2025 22:43:46	660704104	H5
File	GSM9393845_CD4i_R1L18_D2_Rest_sample_filtered_feature_bc_matrix.h5	12/16/2025 21:43:13	614996856	H5
File	GSM9393845_CD4i_R1L18_D2_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/17/2025 18:03:04	733953188	H5
File	GSM9393846_CD4i_R1L19_D1_Rest_sample_filtered_feature_bc_matrix.h5	12/17/2025 03:02:31	639400339	H5
File	GSM9393846_CD4i_R1L19_D1_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/16/2025 20:30:38	668026171	H5
File	GSM9393846_CD4i_R1L19_D2_Rest_sample_filtered_feature_bc_matrix.h5	12/17/2025 14:47:33	620660612	H5
File	GSM9393846_CD4i_R1L19_D2_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/17/2025 15:57:49	742133888	H5
File	GSM9393847_CD4i_R1L20_D1_Rest_sample_filtered_feature_bc_matrix.h5	12/17/2025 12:05:30	632279882	H5
File	GSM9393847_CD4i_R1L20_D1_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/16/2025 21:19:10	664094834	H5
File	GSM9393847_CD4i_R1L20_D2_Rest_sample_filtered_feature_bc_matrix.h5	12/17/2025 02:16:26	621443384	H5
File	GSM9393847_CD4i_R1L20_D2_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/17/2025 17:14:36	735931810	H5
File	GSM9393848_CD4i_R1L21_D1_Rest_sample_filtered_feature_bc_matrix.h5	12/16/2025 23:10:43	637062329	H5
File	GSM9393848_CD4i_R1L21_D1_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/17/2025 00:05:52	669074590	H5
File	GSM9393848_CD4i_R1L21_D2_Rest_sample_filtered_feature_bc_matrix.h5	12/17/2025 11:17:22	625261519	H5
File	GSM9393848_CD4i_R1L21_D2_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/17/2025 10:51:20	743799087	H5
File	GSM9393849_CD4i_R1L22_D1_Rest_sample_filtered_feature_bc_matrix.h5	12/17/2025 17:42:06	629746343	H5
File	GSM9393849_CD4i_R1L22_D1_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/17/2025 00:56:29	659284287	H5
File	GSM9393849_CD4i_R1L22_D2_Rest_sample_filtered_feature_bc_matrix.h5	12/16/2025 23:50:43	617774162	H5
File	GSM9393849_CD4i_R1L22_D2_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/17/2025 11:51:12	734126061	H5
File	GSM9393850_CD4i_R1L23_D1_Rest_sample_filtered_feature_bc_matrix.h5	12/17/2025 00:42:04	635583113	H5
File	GSM9393850_CD4i_R1L23_D1_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/17/2025 02:26:37	670687264	H5
File	GSM9393850_CD4i_R1L23_D2_Rest_sample_filtered_feature_bc_matrix.h5	12/17/2025 12:36:58	618791553	H5
File	GSM9393850_CD4i_R1L23_D2_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/17/2025 14:36:13	743362752	H5
File	GSM9393851_CD4i_R2L01_D3_Rest_sample_filtered_feature_bc_matrix.h5	12/17/2025 16:41:44	578201735	H5
File	GSM9393851_CD4i_R2L01_D3_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/17/2025 02:33:07	584005169	H5
File	GSM9393851_CD4i_R2L01_D4_Rest_sample_filtered_feature_bc_matrix.h5	12/17/2025 11:31:50	498394378	H5
File	GSM9393851_CD4i_R2L01_D4_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/16/2025 21:59:43	557744550	H5
File	GSM9393852_CD4i_R2L02_D3_Rest_sample_filtered_feature_bc_matrix.h5	12/16/2025 21:48:20	485652848	H5
File	GSM9393852_CD4i_R2L02_D3_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/16/2025 21:12:04	486093236	H5
File	GSM9393852_CD4i_R2L02_D4_Rest_sample_filtered_feature_bc_matrix.h5	12/16/2025 23:15:32	425046238	H5
File	GSM9393852_CD4i_R2L02_D4_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/17/2025 01:15:35	469386753	H5
File	GSM9393853_CD4i_R2L03_D3_Rest_sample_filtered_feature_bc_matrix.h5	12/17/2025 14:33:49	459201663	H5
File	GSM9393853_CD4i_R2L03_D3_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/16/2025 23:55:35	469636974	H5
File	GSM9393853_CD4i_R2L03_D4_Rest_sample_filtered_feature_bc_matrix.h5	12/17/2025 13:34:18	393406958	H5
File	GSM9393853_CD4i_R2L03_D4_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/17/2025 04:16:05	446902966	H5
File	GSM9393854_CD4i_R2L04_D3_Rest_sample_filtered_feature_bc_matrix.h5	12/17/2025 10:50:32	483685450	H5
File	GSM9393854_CD4i_R2L04_D3_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/17/2025 00:32:23	483727657	H5
File	GSM9393854_CD4i_R2L04_D4_Rest_sample_filtered_feature_bc_matrix.h5	12/17/2025 16:59:04	426808165	H5
File	GSM9393854_CD4i_R2L04_D4_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/16/2025 20:23:15	466338337	H5
File	GSM9393855_CD4i_R2L05_D3_Rest_sample_filtered_feature_bc_matrix.h5	12/17/2025 02:11:02	576032440	H5
File	GSM9393855_CD4i_R2L05_D3_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/17/2025 03:11:35	580261935	H5
File	GSM9393855_CD4i_R2L05_D4_Rest_sample_filtered_feature_bc_matrix.h5	12/17/2025 03:29:47	501078070	H5
File	GSM9393855_CD4i_R2L05_D4_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/16/2025 22:35:57	553872911	H5
File	GSM9393856_CD4i_R2L06_D3_Rest_sample_filtered_feature_bc_matrix.h5	12/17/2025 13:10:40	623789549	H5
File	GSM9393856_CD4i_R2L06_D3_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/16/2025 21:36:32	627431604	H5
File	GSM9393856_CD4i_R2L06_D4_Rest_sample_filtered_feature_bc_matrix.h5	12/17/2025 15:17:12	539816338	H5
File	GSM9393856_CD4i_R2L06_D4_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/17/2025 01:57:57	601830686	H5
