#Archive/File	Name	Time	Size	Type
Archive	GSE264667_RAW.tar	05/06/2024 00:21:39	16321884160	TAR
File	GSM8225020_jurkat_1_barcodes.tsv.gz	04/19/2024 17:47:38	57310	TSV
File	GSM8225020_jurkat_1_features.tsv.gz	04/19/2024 17:47:38	406895	TSV
File	GSM8225020_jurkat_1_matrix.mtx.gz	04/19/2024 17:47:43	145811327	MTX
File	GSM8225021_jurkat_2_barcodes.tsv.gz	04/19/2024 17:48:40	59565	TSV
File	GSM8225021_jurkat_2_features.tsv.gz	04/19/2024 17:48:40	406895	TSV
File	GSM8225021_jurkat_2_matrix.mtx.gz	04/19/2024 17:48:45	144093310	MTX
File	GSM8225022_jurkat_3_barcodes.tsv.gz	04/19/2024 17:49:50	60232	TSV
File	GSM8225022_jurkat_3_features.tsv.gz	04/19/2024 17:49:51	406895	TSV
File	GSM8225022_jurkat_3_matrix.mtx.gz	04/19/2024 17:49:57	171819175	MTX
File	GSM8225023_jurkat_4_barcodes.tsv.gz	04/19/2024 17:50:49	68672	TSV
File	GSM8225023_jurkat_4_features.tsv.gz	04/19/2024 17:50:49	406895	TSV
File	GSM8225023_jurkat_4_matrix.mtx.gz	04/19/2024 17:50:57	207822105	MTX
File	GSM8225024_jurkat_5_barcodes.tsv.gz	04/19/2024 17:51:38	61380	TSV
File	GSM8225024_jurkat_5_features.tsv.gz	04/19/2024 17:51:38	406895	TSV
File	GSM8225024_jurkat_5_matrix.mtx.gz	04/19/2024 17:51:43	130785228	MTX
File	GSM8225025_jurkat_6_barcodes.tsv.gz	04/19/2024 17:51:43	61388	TSV
File	GSM8225025_jurkat_6_features.tsv.gz	04/19/2024 17:51:43	406895	TSV
File	GSM8225025_jurkat_6_matrix.mtx.gz	04/19/2024 17:51:49	156195023	MTX
File	GSM8225026_jurkat_7_barcodes.tsv.gz	04/19/2024 17:51:49	55956	TSV
File	GSM8225026_jurkat_7_features.tsv.gz	04/19/2024 17:51:49	406895	TSV
File	GSM8225026_jurkat_7_matrix.mtx.gz	04/19/2024 17:51:55	139254334	MTX
File	GSM8225027_jurkat_8_barcodes.tsv.gz	04/19/2024 17:51:55	62680	TSV
File	GSM8225027_jurkat_8_features.tsv.gz	04/19/2024 17:51:55	406895	TSV
File	GSM8225027_jurkat_8_matrix.mtx.gz	04/19/2024 17:52:01	149658280	MTX
File	GSM8225028_jurkat_9_barcodes.tsv.gz	04/19/2024 17:52:01	62403	TSV
File	GSM8225028_jurkat_9_features.tsv.gz	04/19/2024 17:52:01	406895	TSV
File	GSM8225028_jurkat_9_matrix.mtx.gz	04/19/2024 17:52:08	175963826	MTX
File	GSM8225029_jurkat_10_barcodes.tsv.gz	04/19/2024 17:46:32	80598	TSV
File	GSM8225029_jurkat_10_features.tsv.gz	04/19/2024 17:46:33	406895	TSV
File	GSM8225029_jurkat_10_matrix.mtx.gz	04/19/2024 17:46:39	182584573	MTX
File	GSM8225030_jurkat_11_barcodes.tsv.gz	04/19/2024 17:46:39	64137	TSV
File	GSM8225030_jurkat_11_features.tsv.gz	04/19/2024 17:46:39	406895	TSV
File	GSM8225030_jurkat_11_matrix.mtx.gz	04/19/2024 17:46:46	159631628	MTX
File	GSM8225031_jurkat_12_barcodes.tsv.gz	04/19/2024 17:46:46	69586	TSV
File	GSM8225031_jurkat_12_features.tsv.gz	04/19/2024 17:46:46	406895	TSV
File	GSM8225031_jurkat_12_matrix.mtx.gz	04/19/2024 17:46:52	175705460	MTX
File	GSM8225032_jurkat_13_barcodes.tsv.gz	04/19/2024 17:46:52	61520	TSV
File	GSM8225032_jurkat_13_features.tsv.gz	04/19/2024 17:46:52	406895	TSV
File	GSM8225032_jurkat_13_matrix.mtx.gz	04/19/2024 17:46:58	155862732	MTX
File	GSM8225033_jurkat_14_barcodes.tsv.gz	04/19/2024 17:46:58	66914	TSV
File	GSM8225033_jurkat_14_features.tsv.gz	04/19/2024 17:46:58	406895	TSV
File	GSM8225033_jurkat_14_matrix.mtx.gz	04/19/2024 17:47:09	293910066	MTX
File	GSM8225034_jurkat_15_barcodes.tsv.gz	04/19/2024 17:47:09	56559	TSV
File	GSM8225034_jurkat_15_features.tsv.gz	04/19/2024 17:47:09	406895	TSV
File	GSM8225034_jurkat_15_matrix.mtx.gz	04/19/2024 17:47:15	148279008	MTX
File	GSM8225035_jurkat_16_barcodes.tsv.gz	04/19/2024 17:47:15	66711	TSV
File	GSM8225035_jurkat_16_features.tsv.gz	04/19/2024 17:47:15	406895	TSV
File	GSM8225035_jurkat_16_matrix.mtx.gz	04/19/2024 17:47:23	217287338	MTX
File	GSM8225036_jurkat_17_barcodes.tsv.gz	04/19/2024 17:47:23	51174	TSV
File	GSM8225036_jurkat_17_features.tsv.gz	04/19/2024 17:47:23	406895	TSV
File	GSM8225036_jurkat_17_matrix.mtx.gz	04/19/2024 17:47:27	115938210	MTX
File	GSM8225037_jurkat_18_barcodes.tsv.gz	04/19/2024 17:47:27	49865	TSV
File	GSM8225037_jurkat_18_features.tsv.gz	04/19/2024 17:47:27	406895	TSV
File	GSM8225037_jurkat_18_matrix.mtx.gz	04/19/2024 17:47:32	121492429	MTX
File	GSM8225038_jurkat_19_barcodes.tsv.gz	04/19/2024 17:47:32	54197	TSV
File	GSM8225038_jurkat_19_features.tsv.gz	04/19/2024 17:47:32	406895	TSV
File	GSM8225038_jurkat_19_matrix.mtx.gz	04/19/2024 17:47:38	153645422	MTX
File	GSM8225039_jurkat_20_barcodes.tsv.gz	04/19/2024 17:47:43	65025	TSV
File	GSM8225039_jurkat_20_features.tsv.gz	04/19/2024 17:47:43	406895	TSV
File	GSM8225039_jurkat_20_matrix.mtx.gz	04/19/2024 17:47:49	158342836	MTX
File	GSM8225040_jurkat_21_barcodes.tsv.gz	04/19/2024 17:47:49	57782	TSV
File	GSM8225040_jurkat_21_features.tsv.gz	04/19/2024 17:47:49	406895	TSV
File	GSM8225040_jurkat_21_matrix.mtx.gz	04/19/2024 17:47:55	160358009	MTX
File	GSM8225041_jurkat_22_barcodes.tsv.gz	04/19/2024 17:47:55	56282	TSV
File	GSM8225041_jurkat_22_features.tsv.gz	04/19/2024 17:47:55	406895	TSV
File	GSM8225041_jurkat_22_matrix.mtx.gz	04/19/2024 17:47:59	130785843	MTX
File	GSM8225042_jurkat_23_barcodes.tsv.gz	04/19/2024 17:48:00	47899	TSV
File	GSM8225042_jurkat_23_features.tsv.gz	04/19/2024 17:48:00	406895	TSV
File	GSM8225042_jurkat_23_matrix.mtx.gz	04/19/2024 17:48:04	115504114	MTX
File	GSM8225043_jurkat_24_barcodes.tsv.gz	04/19/2024 17:48:04	61575	TSV
File	GSM8225043_jurkat_24_features.tsv.gz	04/19/2024 17:48:05	406895	TSV
File	GSM8225043_jurkat_24_matrix.mtx.gz	04/19/2024 17:48:10	151731333	MTX
File	GSM8225044_jurkat_25_barcodes.tsv.gz	04/19/2024 17:48:10	54737	TSV
File	GSM8225044_jurkat_25_features.tsv.gz	04/19/2024 17:48:11	406895	TSV
File	GSM8225044_jurkat_25_matrix.mtx.gz	04/19/2024 17:48:16	133745933	MTX
File	GSM8225045_jurkat_26_barcodes.tsv.gz	04/19/2024 17:48:16	51371	TSV
File	GSM8225045_jurkat_26_features.tsv.gz	04/19/2024 17:48:16	406895	TSV
File	GSM8225045_jurkat_26_matrix.mtx.gz	04/19/2024 17:48:21	129882288	MTX
File	GSM8225046_jurkat_27_barcodes.tsv.gz	04/19/2024 17:48:21	51101	TSV
File	GSM8225046_jurkat_27_features.tsv.gz	04/19/2024 17:48:21	406895	TSV
File	GSM8225046_jurkat_27_matrix.mtx.gz	04/19/2024 17:48:28	153592494	MTX
File	GSM8225047_jurkat_28_barcodes.tsv.gz	04/19/2024 17:48:28	54706	TSV
File	GSM8225047_jurkat_28_features.tsv.gz	04/19/2024 17:48:29	406895	TSV
File	GSM8225047_jurkat_28_matrix.mtx.gz	04/19/2024 17:48:34	137989497	MTX
File	GSM8225048_jurkat_29_barcodes.tsv.gz	04/19/2024 17:48:34	59660	TSV
File	GSM8225048_jurkat_29_features.tsv.gz	04/19/2024 17:48:34	406895	TSV
File	GSM8225048_jurkat_29_matrix.mtx.gz	04/19/2024 17:48:39	136390238	MTX
File	GSM8225049_jurkat_30_barcodes.tsv.gz	04/19/2024 17:48:45	58919	TSV
File	GSM8225049_jurkat_30_features.tsv.gz	04/19/2024 17:48:45	406895	TSV
