target_gene,cd4_library,orion_library,cd4_D1_Rest_cells,orion_HCT116_Batch1_cells,jurkat_cells,hepg2_cells,rpe1_cells,H1_Test,H1_Training,H1_Validation
ABCD1,True,True,0,1,0,0,0,False,False,False
ACLY,True,True,133,0,0,0,0,False,False,True
ADNP,True,True,149,4,0,0,0,True,False,False
AGO1,True,True,73,0,0,0,0,False,False,False
AKAP1,True,True,203,0,0,0,0,False,False,False
AKIRIN1,True,True,50,1,0,0,0,False,False,False
AKT2,True,True,187,0,0,0,0,False,True,False
ALG12,True,True,50,0,0,0,0,False,False,False
ANKRD52,True,True,21,0,0,0,0,False,False,False
ANKZF1,True,True,24,1,0,0,0,True,False,False
ANP32B,True,True,116,0,0,0,0,False,False,False
AP2A2,True,True,155,2,0,0,0,False,False,False
API5,True,True,70,0,0,0,0,False,False,False
ARL14EP,True,True,115,1,0,0,0,False,False,False
ASCC2,True,True,29,0,0,0,0,False,False,False
BCKDK,True,True,19,0,0,0,0,False,False,False
BCL6,True,True,204,1,0,0,0,False,False,False
BCL7C,True,True,22,3,0,0,0,False,False,False
BRD1,True,True,31,0,0,0,0,False,False,False
BRPF1,True,True,90,0,0,0,0,True,False,False
C5orf22,True,True,2,0,0,0,0,False,False,False
CAND1,True,True,238,0,0,0,0,False,False,False
CAPRIN2,True,True,16,1,0,0,0,False,False,False
CARM1,True,True,123,0,0,0,0,False,False,False
CAT,True,True,44,5,0,0,0,False,False,False
CCDC112,True,True,198,0,0,0,0,False,False,False
CDK8,True,True,210,0,0,0,0,False,False,False
CHD3,True,True,130,2,0,0,0,False,False,False
CHD6,True,True,110,3,0,0,0,False,False,False
CHKB,True,True,101,0,0,0,0,False,False,False
CLCN6,True,True,181,2,0,0,0,False,False,False
COIL,True,True,130,1,0,0,0,False,False,False
COMMD8,True,True,57,0,0,0,0,False,False,False
COQ10B,True,True,49,2,0,0,0,False,False,False
CSNK2A1,True,True,120,0,0,0,0,False,False,False
CYTH2,True,True,334,2,0,0,0,False,False,False
DBF4B,True,True,238,3,0,0,0,False,False,False
DBN1,True,True,46,2,0,0,0,False,False,False
DCAF16,True,True,30,2,0,0,0,False,False,False
DCP2,True,True,24,0,0,0,0,False,False,False
DDHD1,True,True,98,3,0,0,0,False,False,False
DEAF1,True,True,31,3,0,0,0,False,False,False
DEK,True,True,132,2,0,0,0,False,False,False
DHRS1,True,True,34,0,0,0,0,False,False,False
DHX35,True,True,5,1,0,0,0,False,False,False
DLAT,True,True,91,0,0,0,0,False,False,False
DMTF1,True,True,142,0,0,0,0,False,False,False
DNTTIP1,True,True,316,2,0,0,0,False,False,False
DRG2,True,True,81,0,0,0,0,False,False,False
DTNBP1,True,True,41,0,0,0,0,False,False,False
DVL3,True,True,167,1,0,0,0,False,False,False
E2F1,True,True,79,0,0,0,0,False,False,False
E2F4,True,True,38,0,0,0,0,False,False,False
EAPP,True,True,7,0,0,0,0,False,False,False
EEF1A2,False,True,0,1,0,0,0,False,False,False
ELK1,True,True,154,1,0,0,0,False,False,False
EPC2,True,True,188,0,0,0,0,False,False,False
EPHB2,False,True,0,1,0,0,0,False,False,False
EPM2AIP1,True,True,54,2,0,0,0,False,False,False
EZH2,True,True,5,0,0,0,0,False,False,False
FAM120A,True,True,218,1,0,0,0,False,False,False
FCGRT,True,True,73,0,0,0,0,False,False,False
FHL3,True,True,367,1,0,0,0,False,False,False
FOXN2,True,True,354,0,0,0,0,False,False,False
FOXO4,True,True,147,3,0,0,0,False,False,False
FUBP3,True,True,19,0,0,0,0,False,False,False
FXYD5,True,True,235,1,0,0,0,False,False,False
FZD2,False,True,0,1,0,0,0,False,False,False
GIGYF2,True,True,165,0,0,0,0,False,False,False
GLI3,True,True,678,2,0,0,0,False,False,False
GLYR1,True,True,142,0,0,0,0,False,False,False
GMEB2,True,True,25,0,0,0,0,False,False,False
GPATCH8,True,True,356,2,0,0,0,False,False,False
GRAMD1A,True,True,19,5,0,0,0,False,False,False
GTF2IRD1,True,True,171,1,0,0,0,False,False,False
HDAC1,True,True,192,1,0,0,0,False,False,False
HDAC8,True,True,136,0,0,0,0,False,False,True
HEATR6,True,True,23,1,0,0,0,False,False,False
HMGN3,True,True,115,0,0,0,0,False,False,False
HMGN4,True,True,64,0,0,0,0,False,False,False
HMGXB3,True,True,17,1,0,0,0,False,False,False
HOMEZ,True,True,219,0,0,0,0,False,False,False
HSBP1,True,True,207,1,0,0,0,False,True,False
HSP90AB1,True,True,150,0,0,0,0,False,False,False
IFI27L2,True,True,155,0,0,0,0,False,False,False
IFNAR2,True,True,56,1,0,0,0,False,False,False
IFNGR2,True,True,101,1,0,0,0,False,False,False
IL10RB,True,True,122,0,0,0,0,False,False,False
IREB2,True,True,19,1,0,0,0,False,False,False
KDM5A,True,True,29,1,0,0,0,False,False,False
KHDRBS1,True,True,10,1,0,0,0,False,False,False
KHSRP,True,True,22,0,0,0,0,False,False,False
KIF21B,True,True,0,1,0,0,0,False,False,False
KIF2A,True,True,105,0,0,0,0,False,False,False
KMT2A,True,True,5,1,0,0,0,False,False,False
LDLR,True,True,37,1,0,0,0,False,False,False
LENG1,True,True,1,0,0,0,0,False,False,False
LMAN1,True,True,167,0,0,0,0,False,False,False
LMBRD2,True,True,21,0,0,0,0,False,False,False
LPCAT3,True,True,17,1,0,0,0,False,False,False
MAN2A1,True,True,133,0,0,0,0,False,False,False
MAP2K2,True,True,182,0,0,0,0,False,False,False
MAPK12,True,True,148,0,0,0,0,False,False,False
MAPK7,True,True,255,1,0,0,0,False,False,False
MARCKSL1,True,True,97,1,0,0,0,False,False,False
