target,rows,guides,donors,conditions,cells
ABCD1,10,2,4,3,33.0
ACLY,24,2,4,3,1111.0
ADNP,23,2,4,3,3670.0
AGO1,21,2,4,3,927.0
AKAP1,24,2,4,3,3637.0
AKIRIN1,22,2,4,3,1550.0
AKT2,20,2,4,3,1528.0
ALG12,24,2,4,3,1645.0
ANKRD52,13,2,4,3,154.0
ANKZF1,22,2,4,3,671.0
ANP32B,24,2,4,3,1027.0
AP2A2,20,2,4,3,1111.0
API5,24,2,4,3,679.0
ARL14EP,22,2,4,3,874.0
ASCC2,21,2,4,3,1248.0
BCKDK,20,2,4,3,1442.0
BCL6,18,2,3,3,1488.0
BCL7C,24,2,4,3,864.0
BRD1,23,2,4,3,576.0
BRPF1,24,2,4,3,2054.0
C5orf22,9,2,4,2,16.0
CAND1,24,2,4,3,2624.0
CAPRIN2,18,2,4,3,309.0
CARM1,21,2,4,3,1744.0
CAT,23,2,4,3,1559.0
CCDC112,22,2,4,3,2548.0
CDK8,22,2,4,3,1929.0
CHD3,24,2,4,3,1066.0
CHD6,18,2,3,3,858.0
CHKB,24,2,4,3,1692.0
CLCN6,23,2,4,3,881.0
COIL,24,2,4,3,2248.0
COMMD8,24,2,4,3,1009.0
COQ10B,22,2,4,3,1543.0
CSNK2A1,21,2,4,3,1589.0
CYTH2,12,1,4,3,1905.0
DBF4B,24,2,4,3,2247.0
DBN1,24,2,4,3,1224.0
DCAF16,22,2,4,3,703.0
DCP2,19,2,4,3,394.0
DDHD1,24,2,4,3,800.0
DEAF1,15,2,4,3,1963.0
DEK,23,2,4,3,2110.0
DHRS1,24,2,4,3,1146.0
DHX35,18,2,3,3,337.0
DLAT,24,2,4,3,1279.0
DMTF1,24,2,4,3,1478.0
DNTTIP1,24,2,4,3,4450.0
DRG2,24,2,4,3,2137.0
DTNBP1,24,2,4,3,1315.0
DVL3,23,2,4,3,2131.0
E2F1,22,2,4,3,452.0
E2F4,23,2,4,3,498.0
EAPP,18,2,4,3,122.0
ELK1,24,2,4,3,2118.0
EPC2,24,2,4,3,1592.0
EPM2AIP1,23,2,4,3,900.0
EZH2,22,2,4,3,358.0
FAM120A,24,2,4,3,1275.0
FCGRT,23,2,4,3,1793.0
FHL3,24,2,4,3,2162.0
FOXN2,23,2,4,3,3273.0
FOXO4,20,2,4,3,2061.0
FUBP3,13,2,4,3,760.0
FXYD5,20,2,4,3,3906.0
GIGYF2,22,2,4,3,1185.0
GLI3,23,2,4,3,3363.0
GLYR1,24,2,4,3,3432.0
GMEB2,18,2,4,3,900.0
