target,gene,dist,k562_log2fc,hepg2_log2fc,hepg2_cells
AAMP,PNKD,1238,0.18567775442301,-0.0926387219183946,19
ABCE1,ANAPC10,575,0.32633793786593096,0.43738474069038613,27
ACIN1,C14orf119,922,-0.46173637888301033,-0.6086218128289114,78
ADAT3,SCAMP4,0,-1.8168209444167442,-2.529661607748357,119
ALG2,SEC61B,72,-1.3618447721834959,-0.84167155064768,42
ALYREF,ANAPC11,1166,0.11844902630206301,0.1549528743816567,28
ANAPC10,ABCE1,575,-0.3362827023453406,-0.12385467787260362,37
ANAPC11,ALYREF,1166,-0.2437726030268752,-0.5784099835953939,80
ANAPC13,CEP63,1017,-1.702457966594591,-1.5637439390186139,56
ANAPC2,SSNA1,388,-0.26672606783348674,-0.07686597844929055,56
ANAPC5,RNF34,182,-0.31332899695163835,-0.28036864695960806,61
ANKRD11,SPG7,13,0.6537560559539025,0.39790989814520383,102
ARL6IP6,PRPF40A,1429,-0.4924417082465395,-0.45407424661485224,48
ARPC4,TADA3,527,-2.7026281511117625,-2.9530917586260657,66
ATP5F1A,HAUS1,8,-0.2057211712423014,-2.9607317519681344,26
ATP5F1C,KIN,91,-1.1145134337818605,-1.3260094714735922,19
ATP5MD,PDCD11,110,-0.7290388543358589,-1.3791625778092493,23
ATP6V0B,B4GALT2,4456,0.2434713681562429,-1.3059908550711368,53
ATP6V0B,DPH2,4512,-0.16121462905593048,-1.0112036552471126,53
ATP6V1A,NAA50,490,-0.2095369212152179,-1.0279547440785664,45
ATP6V1D,EIF2S1,272,-0.28134915046070724,-0.12040997100088069,36
AURKA,CSTF1,198,0.09895605966295833,-0.781197671243559,114
BOP1,HSF1,68,0.39247515114427867,0.2369813265528221,126
BORA,MZT1,80,-0.8879680735139498,-0.856348257594101,56
BTF3L4,TXNDC12,11,-2.168774725223256,-1.0251722736121616,81
C12orf60,WBP11,646,-0.9218937915456344,-0.8233172926891833,34
C14orf178,SNW1,373,-0.6086993368141397,-2.64862294729363,125
C1orf109,CDCA8,177,-0.37161410190577027,0.2269147047180223,80
C1orf131,GNPAT,3,0.5313170776650404,0.0963611458706502,43
CAD,SLC5A6,4387,-0.9730574350643537,-0.6721950275872768,28
CALR,FARSA,4541,-0.09905821048516272,-0.06177028226432422,86
CAPZB,MICOS10,1247,0.07742230505520031,-0.24471704245822207,13
CCDC115,IMP4,296,-0.792363030137691,-0.8546730570149449,69
CCDC137,OXLD1,63,-0.9542409445235512,-0.5967264370517704,25
CCP110,GDE1,1676,-1.181097681073669,-0.5910312477295709,44
CCT6A,PSPH,76,0.19545453224501386,-0.6399827313661738,96
CDC123,NUDT5,245,-1.5246225301396672,-2.125466448156237,52
CDC26,PRPF4,35,-0.742277700611735,-0.8473234669153993,30
CDC45,UFD1,238,-0.20977813651494367,-0.8026719901616592,32
CDCA5,ZFPL1,46,-0.04212822257392799,0.1790210680736911,93
CEBPZ,NDUFAF7,16,-0.42847876920020783,-2.877777683375209,132
CENPA,SLC35F6,49,0.2288688963880678,-0.81779348162746,44
CENPP,NOL8,11,-1.4045456440960382,-3.209896047599408,59
CENPT,NUTF2,3442,-0.16827096251985912,0.07057673999047501,70
CHAF1A,SH3GL1,1949,-0.6227552790472313,-0.07992232864845444,28
CHCHD4,TMEM43,122,-0.41146831071685247,-0.8668233618378729,63
CHMP1A,SPATA33,2,-0.7828903994057963,-0.45088033447325754,13
CHMP2A,UBE2M,3857,-0.056391510438396,0.11428125079918745,15
CHMP5,BAG1,703,-0.13050907047623347,-0.1273466959283947,30
CHTF18,RPUSD1,360,-0.10822334885307573,-0.5714370618524544,95
CHTF8,UTP4,1558,-0.9307596808795102,-4.118035692451403,14
CHTOP,S100A13,460,-0.8580839120893023,-0.9138271431967272,41
CIAPIN1,COQ9,5,-1.5316378079348303,-2.2166075646438936,99
CMC4,BRCC3,113,-0.2936473547031888,-0.07450463066649288,28
CNN2,TMEM259,5000,-0.011346126244042638,0.09289848139670873,75
CNOT9,USP37,193,-1.3288020118884318,-1.0893246917510804,56
COA5,UNC50,368,-0.41009918529277856,-0.5365954105901508,47
COG4,SF3B3,200,-0.31007878144522966,-0.7114660667473612,39
COG8,NIP7,1924,-0.6594120113975142,-1.0780826879941097,29
COPA,NCSTN,272,-0.059512169189355105,-8.231913966122656,17
COPE,DDX49,260,-0.577829966666819,-2.41795629299579,7
COQ4,TRUB2,258,-1.4453852164161565,-2.4051554900171346,48
COQ5,RNF10,954,-0.35377783257526374,0.20153364235346793,32
COX7B,MAGT1,3544,-0.5960954968976137,-0.39631661234182564,26
CPNE1,RBM12,6,-2.219983471352679,-9.104713944744251,19
CPSF2,NDUFB1,466,0.468887068400521,-0.032351217917902096,6
CPSF3,ITGB1BP1,268,-0.5262314674135679,-2.141265110401273,200
CSNK2B,GPANK1,1056,-1.1422702557956752,-1.5143158379601616,111
CSTF1,AURKA,198,-0.3171280938649155,-2.8495508661170534,265
CUL2,CREM,215,-0.2934138856521491,0.5071512827118393,70
DCAF6,MPC2,1732,-2.79932193993774,-1.7183220085003676,44
DDX19B,AARS,44,-0.22236116620593782,-0.03627362541480729,145
DDX42,CCDC47,2748,-0.004851118513339688,0.06976734031960558,27
DDX49,COPE,260,-0.01089948842062823,-0.10019694591981528,16
DDX5,CEP95,1446,-1.6337449912265314,-1.5373087866284632,99
DDX51,NOC4L,54,-1.097912244830468,-2.293011347582487,147
DDX54,RITA1,463,-1.070539906349629,-1.354739756023206,88
DEPDC5,PRR14L,3660,-0.49449379634674673,-1.181822578203148,41
DESI1,XRCC6,303,-1.0764055365897436,-0.8104047426627669,55
DHFR,MSH3,389,-0.1623309868203857,-1.7284806102419432,21
DHX29,MTREX,14,-1.5653863143784204,-1.7677125558508962,34
DHX37,BRI3BP,4477,-0.14970112899137045,0.08383034271438554,124
DNAJA1,APTX,27,-0.00300069455659506,-0.18416963279236798,65
DNAJC8,ATP5IF1,2985,-0.11167129527131156,-0.18619094417086146,84
DOLK,NUP188,78,-0.2663508454483081,0.008639991728669723,73
DPH2,ATP6V0B,4512,0.051248327044167076,0.012784221168922055,52
DTYMK,ING5,104,-0.47932528179595746,-0.5134822820532746,25
EARS2,UBFD1,174,-0.40534695956000527,0.0033337691804940337,51
EEF1B2,NDUFS1,51,-1.7627704177829597,-1.539370806405185,35
EEFSEC,RUVBL1,740,-0.12468478475783347,-0.496909235510703,56
EIF1AD,BANF1,640,-0.6601271153286769,-1.8100493376827131,40
EIF2B1,GTF2H3,27,-1.5164495827644988,-0.9967861224318882,189
EIF2B4,SNX17,30,-0.5264572386455384,-0.6459735044444895,63
EIF2S1,ATP6V1D,272,0.3034136450125011,0.9734267210286537,78
EIF3E,EMC2,105,-0.22779334738813126,-0.0808613909025559,33
EIF3L,ANKRD54,459,-0.8125611720059628,-0.5932884316681973,44
ELP4,IMMP1L,89,-2.7933722939624577,-2.028211067559896,25
ELP5,CTDNEP1,2023,-0.5183189588007225,-0.40735770910058267,46
EMC1,MRTO4,3,-1.552477994000516,-3.091098745628152,56
EMG1,PHB2,76,-0.6455876369111595,-0.6143519054970176,15
ENY2,NUDCD1,938,-2.165463785523988,-0.8459403527223155,77
ESF1,NDUFAF5,431,-0.6885387948554564,-0.9304429516854681,165
EXOSC4,GPAA1,3777,0.36359931094573006,0.13904910752095448,128
EXOSC5,BCKDHA,351,0.41470778334138403,-0.028709290946625072,134
EXOSC7,ZDHHC3,1041,0.11776328156211852,0.24915484170485327,55
EXOSC8,ALG5,1947,-0.00010025631644074796,-0.5013856080270735,84
FARS2,LYRM4,424,-0.7069681317946163,-1.0855307659690305,26
FARSA,CALR,4541,-0.6396854155321452,-1.198640770992461,47
FBXO42,SZRD1,81,-0.1378153530758853,-0.0570797649083665,276
FEN1,TMEM258,77,-2.375315376430089,-2.1557015988121475,30
FOLR3,ANAPC15,1181,-0.1174373420725413,-0.3795810584683988,105
FTSJ3,PSMC5,2930,-0.8570661316825152,-1.206537112391689,35
GABPA,ATP5PF,1151,-0.6126827793114882,-1.6147402863591866,83
GART,SON,1310,-0.0767660985779252,-0.19148776895483138,65
GEMIN6,SRSF7,36,-0.1332248517785216,0.01540693788775704,24
GET3,TRIR,2392,-0.17853646222579378,-0.2230508349308535,30
GGPS1,ARID4B,1450,-0.07214344332549101,0.04561429698429117,42
GIT2,ANKRD13A,2797,-0.48396243791330196,-0.15073731686856048,45
GLMN,RPAP2,1,-2.178291275657651,-2.592223134187025,26
GNL3,PBRM1,4823,-0.32743173271180986,-1.1224310992458553,116
GNPAT,C1orf131,3,-3.2843865698123897,-3.868335306835567,30
GOLT1B,RECQL,112,-2.2233393271465745,-3.9207076015482447,71
GTF2H3,EIF2B1,27,-0.2724926821074097,-0.31098382360842985,34
GUCD1,SNRPD3,524,-0.3654494979023445,-1.5874350100016386,46
H2AFZ,DNAJB14,3814,-0.1638080674282779,-0.46447485015905055,71
HARS2,HARS,115,-1.355416413574834,-3.43031887872098,16
HAUS1,ATP5F1A,8,-0.17735393671269592,0.3566100663600173,5
HIRA,C22orf39,264,-1.3830237290775733,-1.3825786101340287,129
HNRNPDL,ENOPH1,137,0.2489083927484237,-0.9225216989309074,43
HPS5,GTF2H1,269,-3.9548681174817113,-2.636898189567057,37
HSF1,BOP1,68,0.005641504066923212,-0.36893131672273444,34
HSPA5,GAPVD1,65,0.019154089715446444,0.33116934171155576,150
HSPD1,MOB4,1166,0.04812844977516293,-0.1557536666203268,33
IK,NDUFA2,765,-0.23404904115183933,-0.26453864786964776,176
IMP4,CCDC115,296,-1.1257606608203812,-1.4386190494840227,56
INO80E,HIRIP3,1143,-1.6939050581781685,-0.5747841590836612,26
INTS13,FGFR1OP2,70,-0.3512207985581559,-0.2755855729729044,157
INTS7,DTL,19,-2.5475573914697383,-2.9332236074907123,48
IPO11,DIMT1,425,0.11949783557709953,-0.22622336338512458,59
ISCA2,NPC2,456,-2.664113695938318,-1.6665793010060974,69
ISCU,SART3,1149,-0.07821834528650914,0.0441507554759431,128
ITGB1BP1,CPSF3,268,-1.9265085285174623,-1.9814978572210677,39
JMJD6,METTL23,803,-0.35998973888375985,-2.516528694763566,63
KARS,TERF2IP,938,-0.37195728364258146,-0.016589402311408204,21
KIAA0586,TIMM9,277,-1.7731679946516898,-2.3966767687821267,37
KIAA1143,KIF15,333,-0.7477618815859913,-0.9355555108527863,52
KIF11,IDE,9,0.07206696510087382,0.30474435614150547,96
