target,gene,dist,log2fc
AAAS,PFDN5,29573,-0.07599371048006523
AAMDC,RSF1,80,-0.2593133084671569
AAMP,PNKD,1238,0.18567775442301
AAMP,TMBIM1,21700,0.16682056798586545
AARS,EXOSC6,37767,-0.18496787866394163
AASDH,PAICS,47535,-0.06422533201235586
AASDH,PPAT,48515,0.005075198570734947
ABCA7,CNN2,13727,-0.10846671458698584
ABCA7,TMEM259,18727,0.02647612295854298
ABCB6,STK16,26200,-0.28310033910228416
ABCB6,RETREG2,42787,0.16829132069424296
ABCB6,ANKZF1,10757,-0.14118694749302665
ABCB8,CDK5,29530,0.20476547682027152
ABCB8,SLC4A2,28788,0.18324422347101318
ABCB9,ARL6IP4,1604,-0.7578995427607063
ABCE1,ANAPC10,575,0.32633793786593096
ABCF1,PPP1R10,47229,-0.023252805117520058
ABCF1,PRR3,14679,-0.31458827709573517
ABCF1,GNL1,14780,0.06790034749022986
ABCF3,DVL3,30936,-0.06583004235268368
ABCF3,AP2M1,11406,-0.17246797798980915
ABHD14A,RRP9,29480,-0.05732906839303363
ABHD14A,ABHD14B,11983,-0.6718128121916238
ABHD14A,ACY1,11621,-0.19572732387811756
ABHD14B,RRP9,41463,-0.12160243875134973
ABHD14B,ACY1,362,-1.2290003876336404
ABHD14B,ABHD14A,11983,-0.8649004154707409
ABHD16A,MPIG6B,15203,0.3138550630367701
ABHD16A,CSNK2B,38164,0.03547417206084103
ABHD16A,GPANK1,37108,0.009854213681430567
ABHD16A,CLIC1,37167,0.07579063829069141
ABHD17A,REXO1,37125,-0.02745149002209267
ABHD17A,KLF16,21699,-0.04648651913664601
ABHD17A,SCAMP4,19596,-0.24867342582432994
ABHD3,MIB1,79,-0.34366051533853825
ABHD8,BABAM1,42893,-0.18693230276140171
ABHD8,GTPBP3,24684,0.08499708412083772
ABHD8,DDA1,718,-0.12437853030236348
ABITRAM,ELP1,284,-1.2962656691417753
ABL1,EXOSC2,19322,0.20390923912800082
ABRACL,REPS1,25015,0.1284270576057138
ABRAXAS2,EEF1AKMT2,9869,-0.06010337052509301
ACAA1,OXSR1,27442,-0.0016893502935669878
ACAD10,BRAP,32,-0.1417692508231651
ACAD8,THYN1,137,-3.2659629542876925
ACAD8,VPS26B,28897,-0.056442138314763184
ACAD8,NCAPD3,28006,-0.1241607876783892
ACADS,MLEC,38974,-0.07304108062348293
ACADVL,PHF23,22597,0.18587225317615144
ACADVL,ELP5,33693,0.010689231214713006
ACADVL,GABARAP,25361,0.047689403400982947
ACADVL,CTDNEP1,35716,-0.002073715775000872
ACAP3,INTS11,15079,0.02793711958758296
ACAP3,UBE2J2,35132,0.09132385519586256
ACAP3,PUSL1,1062,-0.27592847338533255
ACAT2,SOD2,1084,0.07187958799928652
ACAT2,TCP1,28262,-0.13723861991683972
ACAT2,WTAP,45067,-0.05057179268197833
ACIN1,C14orf119,922,-0.46173637888301033
ACLY,CNP,36178,-0.12286843681478056
ACO2,PHF5A,20883,-0.21958904027663292
ACOT13,TDP2,151,-2.036027610232956
ACOT8,CTSA,32709,-0.010060573129453226
ACOT9,SAT1,16696,0.3007292202943284
ACOX1,TEN1,247,-0.5845886594567248
ACP2,MADD,19873,0.22903842528211396
ACP5,ECSIT,39856,-0.13330261984490074
ACP5,ELOF1,20668,-0.024505560324367938
ACTB,FSCN1,28904,0.3105579524390351
ACTL6A,NDUFB5,41804,0.2426078671182515
ACTN4,EIF3K,28460,0.13974317941228775
ACTR10,PSMA3,44743,-0.21908672077086774
ACTR1B,COX5B,18080,-0.4729959777599045
ACTR3C,LRRC61,663,-4.325597707346591
ACTR3C,REPIN1,44141,-0.16232815937395667
ACTR8,SELENOK,9683,-0.4130148427767547
ACY1,RRP9,41101,0.060619256127308535
ACY1,ABHD14B,362,-0.05841325625196873
ACY1,ABHD14A,11621,-0.19246382842278556
ACYP2,PSME4,202,-0.3187600727386294
ADAL,TUBGCP4,39567,0.034282122074470414
ADAM10,MINDY2,21246,0.7090467499130557
ADAM9,TM2D2,70,-1.3414737851615595
ADAMTSL4,MCL1,30369,-0.13821893371198885
ADAT1,KARS,25362,-0.08236844078928746
ADAT1,TERF2IP,24424,-0.1270578108499552
ADAT3,KLF16,41295,-0.015560618730494302
ADAT3,ABHD17A,19596,-0.11156731751305417
ADAT3,CSNK1G2,35701,-0.0498944491744584
ADAT3,SCAMP4,0,-1.8168209444167442
ADCK2,NDUFB2,17892,-0.023941360424105267
ADCK5,CPSF1,36763,0.01679880776251145
ADCK5,DGAT1,46185,0.3266138059419428
ADCK5,SLC52A2,39144,0.09281858402279661
ADCK5,SLC39A4,43793,-0.22362192808859893
ADI1,RNASEH1,38787,-0.2190191590250413
