target,kd_log2,cells,r_raw,r_partial,mean_abs_eff
AARS,-5.472243161368481,53.0,-0.11179583364989701,-0.0010612074519191835,0.45653319419800736
AATF,-9.058983454941217,51.0,-0.3955581412045988,0.016153406941242187,0.40224217975429005
ABT1,-3.5878511983430474,108.0,-0.09184133612121345,-0.01522398609626167,0.23417742544997705
ANAPC1,-3.173798353115547,78.0,-0.020423880609496667,0.0018854384114638826,0.1770083435551451
ANAPC15,-0.713409184445903,200.0,-0.015872126051038386,-0.03059760343517556,0.10204558041597549
ARL2,-4.967658049037865,75.0,-0.12130990000211929,0.005139775229814138,0.18649614961936578
ARPC4,-2.661665070871377,66.0,-0.0940977066541718,0.0010432427987305537,0.23743307235986735
ATF5,-3.6734527986405796,52.0,0.028855766952221175,0.014739773165622175,0.4098503610521894
ATP5MF,-3.440550381649562,60.0,-0.047457506883736296,-0.016843713311766473,0.30404684859078684
ATP6AP2,-5.106216223917842,128.0,0.09598341321207224,0.01872998107205296,0.3305330520840296
BCAR1,-0.2778982417377802,346.0,-0.01040621109324266,0.010738837871193268,0.08253230690764257
BPTF,-3.562591519332656,242.0,0.019974940685646557,0.0046202256763782715,0.15774984839288986
BRIP1,-7.657854711809649,58.0,-0.07613028949319922,-0.0017535211500039152,0.19801431510501757
BTF3,-2.4712525844048727,212.0,-0.12758318127976132,0.006048052671450411,0.1419797465156004
BUB1,-3.1205608421087274,67.0,-0.21870888131417188,0.01537230785567709,0.19071325355024912
BUB1B,-3.4780814455363362,103.0,-0.06940789945184574,0.007060250506464989,0.14808939944081528
C9orf16,-6.621729202303255,72.0,0.055202462784684686,0.017331893888277567,0.1751687176201813
CA5A,-4.247875991391815,62.0,0.04335395173811422,-0.017355501893771,0.18849154876248278
CABIN1,-2.686561841153776,61.0,0.07232520876985477,0.022947846964130065,0.20411802159999257
CCDC115,-4.004040627188422,69.0,0.015167421103199068,-0.004552232525441164,0.176278207448621
CCNC,-2.6766665145381103,52.0,0.04020957054909184,0.0008934790985847422,0.23323310802700356
CCNH,-3.090126364300848,98.0,-0.02783630023112463,0.01297648711228328,0.19828917504915552
CCT6A,-3.384804223689272,96.0,-0.2133314016999635,0.014167333441129285,0.3650797800622688
CD3EAP,-5.670873356267088,91.0,-0.542510429334603,-0.014856518933723585,0.35139652112978087
CDK6,-0.2667485351732554,71.0,0.06780654448681893,0.02002069408720144,0.17594894609858044
CFDP1,-0.8142741564154279,52.0,-0.004838725313407669,-0.020655420497916844,0.22261115629133346
CHEK1,-2.656011866700482,65.0,-0.3883443831687784,0.012412344133356871,0.2576679640207944
CIAPIN1,-5.228128725178187,99.0,-0.16002947386003227,0.005929749171380099,0.2633107022831016
CKAP5,-0.6917081701269386,60.0,-0.042386860865359595,0.020162548974776734,0.18541444523447692
CMPK1,-3.009020919378465,64.0,-0.028748119347196264,-0.004043906631628159,0.1887629150216094
CNOT11,-1.665821993798221,57.0,0.012459502575771183,0.01373808908204178,0.20786671787241343
COPZ1,-0.4293238900553346,55.0,-0.1295897248762967,-0.0384947614973836,0.24154086982601838
CPSF4,-4.491694337033093,65.0,-0.18482316724488201,0.026127590133457394,0.33961236146327195
CUL2,-8.80459091125755,70.0,-0.139294601824193,0.023691686233268956,0.27005134544388126
DAP3,-2.858804964584308,60.0,-0.06708112315481872,-0.032815460228481044,0.21200358528687913
DCTN3,-5.667984836663406,80.0,-0.09831446339049328,0.02233942656313497,0.19731753164840976
DDX19B,-1.1201158996949785,145.0,0.014164340562439514,-0.021238881278084508,0.11578607954264458
DDX5,-3.258168271156671,99.0,0.010006233485645995,-0.016178427285079667,0.21214175862382495
DDX52,-4.212167736454318,95.0,-0.10044908354764862,-0.03506951584137523,0.2911990475337139
