source,line,stimulus,targets,genes,pds
A549,BXPC3,IFNB,61,483,0.6437158469945355
A549,BXPC3,IFNG,59,985,0.5891291642314435
A549,BXPC3,INS,44,1044,0.5428118393234672
A549,BXPC3,TGFB1,52,163,0.5041478129713424
A549,HAP1,IFNB,61,472,0.6560109289617485
A549,HAP1,IFNG,59,1185,0.516364699006429
A549,HAP1,INS,44,1038,0.5491543340380549
A549,HAP1,TGFB1,52,148,0.5365761689291101
A549,HT29,IFNB,61,456,0.6404371584699454
A549,HT29,IFNG,59,1174,0.6545879602571595
A549,HT29,INS,44,1016,0.6379492600422834
A549,HT29,TGFB1,52,135,0.5822021116138764
A549,K562,IFNB,61,425,0.6254098360655739
A549,K562,IFNG,59,1072,0.635593220338983
A549,K562,INS,44,1001,0.589323467230444
A549,K562,TGFB1,52,117,0.5203619909502263
A549,MCF7,IFNB,61,479,0.623224043715847
A549,MCF7,IFNG,59,1226,0.6160140268848626
A549,MCF7,INS,44,1061,0.572938689217759
A549,MCF7,TGFB1,52,154,0.523001508295626
BXPC3,A549,IFNB,61,483,0.6450819672131147
BXPC3,A549,IFNG,59,985,0.6008182349503215
BXPC3,A549,INS,44,1044,0.5406976744186046
BXPC3,A549,TGFB1,52,163,0.5256410256410255
BXPC3,HAP1,IFNB,61,547,0.6027322404371585
BXPC3,HAP1,IFNG,59,961,0.5622443015780247
BXPC3,HAP1,INS,44,1157,0.5322410147991544
BXPC3,HAP1,TGFB1,52,176,0.6346153846153846
BXPC3,HT29,IFNB,61,560,0.6193989071038251
BXPC3,HT29,IFNG,59,1001,0.597895967270602
BXPC3,HT29,INS,44,1293,0.545983086680761
BXPC3,HT29,TGFB1,52,183,0.5784313725490196
BXPC3,K562,IFNB,61,489,0.6273224043715848
BXPC3,K562,IFNG,59,879,0.46142606662770314
BXPC3,K562,INS,44,1239,0.48995771670190275
BXPC3,K562,TGFB1,52,145,0.5343137254901962
BXPC3,MCF7,IFNB,61,598,0.6494535519125685
BXPC3,MCF7,IFNG,59,1003,0.554646405610754
BXPC3,MCF7,INS,44,1315,0.5607822410147992
BXPC3,MCF7,TGFB1,52,194,0.5546757164404224
HAP1,A549,IFNB,61,472,0.6540983606557376
HAP1,A549,IFNG,59,1185,0.5333138515488018
HAP1,A549,INS,44,1038,0.5396405919661734
HAP1,A549,TGFB1,52,148,0.5143288084464556
HAP1,BXPC3,IFNB,61,547,0.6270491803278688
HAP1,BXPC3,IFNG,59,961,0.5473407364114552
HAP1,BXPC3,INS,44,1157,0.5121564482029599
HAP1,BXPC3,TGFB1,52,176,0.5614630467571644
HAP1,HT29,IFNB,61,523,0.7117486338797814
HAP1,HT29,IFNG,59,1273,0.6385154880187025
HAP1,HT29,INS,44,1159,0.5634249471458774
HAP1,HT29,TGFB1,52,151,0.5976621417797887
HAP1,K562,IFNB,61,503,0.6543715846994537
HAP1,K562,IFNG,59,1208,0.5151957919345412
HAP1,K562,INS,44,1181,0.5428118393234672
HAP1,K562,TGFB1,52,152,0.5294117647058824
HAP1,MCF7,IFNB,61,592,0.6489071038251365
HAP1,MCF7,IFNG,59,1348,0.5207481005260082
HAP1,MCF7,INS,44,1221,0.5406976744186047
HAP1,MCF7,TGFB1,52,172,0.530920060331825
HT29,A549,IFNB,61,456,0.6155737704918033
HT29,A549,IFNG,59,1174,0.6385154880187025
HT29,A549,INS,44,1016,0.5549682875264271
HT29,A549,TGFB1,52,135,0.5916289592760181
HT29,BXPC3,IFNB,61,560,0.5745901639344263
HT29,BXPC3,IFNG,59,1001,0.614845119812975
HT29,BXPC3,INS,44,1293,0.5406976744186047
HT29,BXPC3,TGFB1,52,183,0.5946455505279034
