held_out,group,same_group_sources,arm,targets,pds_proxy,reach_proxy,pds_minus_equal,pds_ci95,reach_minus_equal,reach_ci95
k562,low,orion_hek293t,equal,271,0.779363126964603,0.10578354221180611,,,,
k562,low,orion_hek293t,p53match_2.0,271,0.7804291376247096,0.10217054556184378,0.0010660106601066014,"[-0.006985103184365176, 0.009594437611042778]",-0.003612996649962316,"[-0.01076412662427783, 0.0027363424719972222]"
k562,low,orion_hek293t,p53match_4.0,271,0.7730080634139674,0.10259931485680211,-0.006355063550635507,"[-0.021129902965696324, 0.0095414787481208]",-0.0031842273550039915,"[-0.013423074930357676, 0.007444181025826785]"
k562,low,orion_hek293t,p53match_only,271,0.7300806341396747,0.08453348949666799,-0.04928249282492825,"[-0.08165129151291513, -0.017615142818094853]",-0.021250052715138103,"[-0.035957943937632596, -0.006865536183753702]"
cd4_mix,high,orion_hct116,equal,292,0.6922633338040767,0.007029767725631394,,,,
cd4_mix,high,orion_hct116,p53match_2.0,292,0.6935343407240033,0.007241012664931117,0.0012710069199265634,"[-0.007226203925999151, 0.010287800687285208]",0.0002112449392997239,"[-0.0008001718246709532, 0.0012444481899810806]"
cd4_mix,high,orion_hct116,p53match_4.0,292,0.6878030410017418,0.006172738838289933,-0.004460292802334889,"[-0.020818916819658244, 0.012286988655086371]",-0.0008570288873414617,"[-0.0019665141987866663, 0.00018901642348051367]"
cd4_mix,high,orion_hct116,p53match_only,292,0.6542213905757189,0.00532852517754244,-0.03804194322835757,"[-0.06843063008991196, -0.007860971849550431]",-0.0017012425480889546,"[-0.0035302729201665763, -7.713764487135472e-05]"
orion_hct116,high,cd4_mix,equal,265,0.7084048027444254,0.04771864576279752,,,,
orion_hct116,high,cd4_mix,p53match_2.0,265,0.6923956546598057,0.043987232862909106,-0.016009148084619784,"[-0.022398870783304745, -0.009762721555174391]",-0.003731412899888413,"[-0.007199241749718848, -0.00024095589412167316]"
orion_hct116,high,cd4_mix,p53match_4.0,265,0.6770011435105775,0.040311650458653335,-0.03140365923384791,"[-0.042395654659805604, -0.020983061749571187]",-0.007406995304144181,"[-0.012208583228527881, -0.0030491389353354994]"
orion_hct116,high,cd4_mix,p53match_only,265,0.6519439679817037,0.03827676079692888,-0.05646083476272156,"[-0.07484491137793026, -0.03892116923956546]",-0.009441884965868648,"[-0.015764314867928647, -0.0032463523082766343]"
orion_hek293t,low,k562,equal,278,0.676583642833026,0.042099754524293834,,,,
orion_hek293t,low,k562,p53match_2.0,278,0.6924655221671039,0.04519835713203909,0.015881879334077868,"[0.008985988104822998, 0.022647910552424485]",0.0030986026077452554,"[-0.00015444769292426858, 0.0069669116178667796]"
orion_hek293t,low,k562,p53match_4.0,278,0.7023608549983119,0.04611719618451229,0.025777212165285814,"[0.01403591927901721, 0.037971067189569635]",0.0040174416602184555,"[0.00014037385707240424, 0.008219786111786883]"
orion_hek293t,low,k562,p53match_only,278,0.7449419525751241,0.04572537159060667,0.06835830974209801,"[0.030665792275926553, 0.10526598576734277]",0.0036256170663128452,"[-0.004381826212246286, 0.01127968099006141]"
