lineage,gene,found,cpm_A,det_A,cpm_B,det_B,cpm_C,det_C
"pluripotency (iPSC / hESC, e.g. KOLF2.1J, H1)",POU5F1,True,0.07457753261462588,0.0015217391304347826,2.286476196910068,0.043967391304347826,5.903201854556881,0.11130434782608696
"pluripotency (iPSC / hESC, e.g. KOLF2.1J, H1)",NANOG,True,0.010286556222707018,0.0002173913043478261,0.0,0.0,0.05908339541114373,0.00125
"pluripotency (iPSC / hESC, e.g. KOLF2.1J, H1)",SOX2,True,0.007714917167030264,0.00016304347826086958,0.0,0.0,142.49373667200618,0.8241304347826087
"pluripotency (iPSC / hESC, e.g. KOLF2.1J, H1)",LIN28A,True,0.6814843497543399,0.013858695652173913,0.8536902804158877,0.016793478260869566,0.2954169770557186,0.006195652173913043
"pluripotency (iPSC / hESC, e.g. KOLF2.1J, H1)",DNMT3B,True,19.940489237717554,0.27907608695652175,1.8106933973152266,0.03326086956521739,5.356038236184117,0.10277173913043479
"pluripotency (iPSC / hESC, e.g. KOLF2.1J, H1)",TDGF1,True,0.0,0.0,0.0,0.0,0.03853264918118069,0.0008152173913043478
"pluripotency (iPSC / hESC, e.g. KOLF2.1J, H1)",SALL4,True,0.07972081072597939,0.0016304347826086956,1.1636287898662419,0.022228260869565218,3.763355403361981,0.07402173913043478
"pluripotency (iPSC / hESC, e.g. KOLF2.1J, H1)",ZFP42,True,0.0,0.0,0.005437517709655336,0.00010869565217391305,0.020550746229963033,0.0004347826086956522
"pluripotency (iPSC / hESC, e.g. KOLF2.1J, H1)",L1TD1,True,0.01800147338973728,0.00032608695652173916,0.0,0.0,0.03853264918118069,0.0008152173913043478
"pluripotency (iPSC / hESC, e.g. KOLF2.1J, H1)",UTF1,True,0.0,0.0,0.0,0.0,0.0,0.0
erythroid / myeloid leukaemia (K562),HBG1,True,0.0,0.0,0.0,0.0,0.0,0.0
erythroid / myeloid leukaemia (K562),HBG2,True,0.010286556222707018,0.0002173913043478261,0.22565698495069642,0.004402173913043478,0.002568843278745379,5.4347826086956524e-05
erythroid / myeloid leukaemia (K562),HBZ,True,0.0,0.0,0.0,0.0,0.0,0.0
erythroid / myeloid leukaemia (K562),GATA1,True,0.01800147338973728,0.00038043478260869565,0.008156276564483003,0.00016304347826086958,0.0,0.0
erythroid / myeloid leukaemia (K562),GYPA,True,0.0025716390556767546,5.4347826086956524e-05,0.0,0.0,0.0,0.0
erythroid / myeloid leukaemia (K562),KLF1,True,0.29059521329147325,0.00608695652173913,0.08156276564483003,0.0016304347826086956,0.007706529836236139,0.00016304347826086958
erythroid / myeloid leukaemia (K562),TFRC,True,658.4630369279216,0.9931521739130434,575.0909042851321,0.975108695652174,308.104494009442,0.9501086956521739
hepatocyte (HepG2),ALB,True,0.06686261544759563,0.0011956521739130434,0.005437517709655336,0.00010869565217391305,0.17981902951217654,0.00375
hepatocyte (HepG2),APOA1,True,1.7590011140829,0.03369565217391304,0.11418787190276206,0.002173913043478261,0.11559794754354207,0.0024456521739130437
hepatocyte (HepG2),APOB,True,0.0,0.0,0.0,0.0,0.002568843278745379,5.4347826086956524e-05
hepatocyte (HepG2),AFP,True,0.0,0.0,0.4186888636434608,0.00826086956521739,0.030826119344944555,0.0006521739130434783
hepatocyte (HepG2),TTR,True,0.0,0.0,0.002718758854827668,5.4347826086956524e-05,0.005137686557490758,0.00010869565217391305
hepatocyte (HepG2),SERPINA1,True,0.0,0.0,0.03806262396758735,0.0007608695652173913,1.3974507436374863,0.027880434782608696
hepatocyte (HepG2),HNF4A,True,0.0848640888373329,0.0016847826086956522,0.21478194953138574,0.004021739130434783,0.11559794754354207,0.0024456521739130437
T lymphocyte (Jurkat),CD3D,True,943.4366472436855,0.9983152173913044,0.0,0.0,0.0,0.0
T lymphocyte (Jurkat),CD3E,True,758.6052333950302,0.9978260869565218,0.0,0.0,0.023119589508708415,0.0004891304347826087
T lymphocyte (Jurkat),CD2,True,247.78256629256666,0.9328804347826087,0.0,0.0,0.010275373114981516,0.00016304347826086958
T lymphocyte (Jurkat),LCK,True,428.7462350014842,0.99,0.010875035419310671,0.0002173913043478261,0.025688432787453794,0.0005434782608695652
T lymphocyte (Jurkat),TRAC,True,391.1000108654322,0.9060326086956522,0.02990634740310435,0.0004891304347826087,2.8719667856373343,0.05570652173913043
T lymphocyte (Jurkat),PTPRC,True,20.70426603725355,0.32114130434782606,0.0,0.0,0.002568843278745379,5.4347826086956524e-05
"epithelial (RPE1, HEK293)",KRT8,True,3.41513666593873,0.06793478260869565,2532.6299048673104,0.9977173913043478,1400.9263885936289,0.9998369565217391
"epithelial (RPE1, HEK293)",KRT18,True,0.10543720128274693,0.001956521739130435,848.3968569255381,0.9777717391304348,671.6549013473244,0.9880434782608696
"epithelial (RPE1, HEK293)",CDH1,True,0.0025716390556767546,5.4347826086956524e-05,0.005437517709655336,0.00010869565217391305,128.280326810708,0.852445652173913
"epithelial (RPE1, HEK293)",EPCAM,True,0.0,0.0,2.444164210490073,0.043097826086956524,312.2506070613371,0.9701630434782609
"epithelial (RPE1, HEK293)",RPE65,True,0.0,0.0,0.0,0.0,0.002568843278745379,5.4347826086956524e-05
neural,MAP2,True,0.3986040536298969,0.007717391304347826,27.01902549927736,0.3397282608695652,7.750200171974809,0.14054347826086958
neural,TUBB3,True,4.497796708378644,0.07989130434782608,1.767193255637984,0.03353260869565217,1.042950371170624,0.02125
neural,NEFL,True,0.7457753261462587,0.01342391304347826,0.002718758854827668,5.4347826086956524e-05,0.2363335816445749,0.004402173913043478
neural,SOX1,True,1.6304191612990624,0.03309782608695652,0.0,0.0,0.0,0.0
neural,PAX6,True,11.811538182723334,0.16777173913043478,35.458052984662444,0.44679347826086957,0.13357985049475973,0.0026630434782608696
neural,NES,True,0.6403381248635118,0.01,41.24629058659055,0.40195652173913043,1.1636860052716569,0.022010869565217393
fibroblast / mesenchymal,COL1A1,True,3.9654674238535557,0.06798913043478261,369.0552019897269,0.866304347826087,9.943992332023365,0.17739130434782607
fibroblast / mesenchymal,COL1A2,True,0.0,0.0,0.18487560212828139,0.001358695652173913,0.0,0.0
fibroblast / mesenchymal,FN1,True,0.020573112445414037,0.00038043478260869565,91.73636127959517,0.6794021739130435,0.06678992524737987,0.0014130434782608696
fibroblast / mesenchymal,THY1,True,78.80016394404711,0.6976630434782609,2.5882584297959395,0.04054347826086956,0.002568843278745379,5.4347826086956524e-05
fibroblast / mesenchymal,VIM,True,1625.9136496735166,0.9994565217391305,6132.201378446627,0.9996195652173913,2.024248503651359,0.02673913043478261
monocyte / macrophage (THP-1),CD14,True,0.282880296124443,0.005489130434782608,0.2990634740310435,0.0050543478260869565,19.582292313876025,0.2930978260869565
monocyte / macrophage (THP-1),SPI1,True,0.020573112445414037,0.0004347826086956522,0.040781382822415016,0.0007608695652173913,0.09504720131357904,0.0020108695652173913
monocyte / macrophage (THP-1),LYZ,True,0.04886114205785833,0.0009782608695652175,0.07340648908034704,0.0011956521739130434,0.08990951475608827,0.0017934782608695651
monocyte / macrophage (THP-1),ITGAM,True,0.16201326050763554,0.003315217391304348,0.0,0.0,0.15669944000346814,0.0031521739130434784
housekeeping (scale check),ACTB,True,41.85342563113918,0.4954891304347826,64.22795918644883,0.6623369565217392,5669.943178316966,1.0
housekeeping (scale check),GAPDH,False,,,,,,
housekeeping (scale check),TUBB,True,434.3421215866368,0.9765760869565218,39.326846835082215,0.4597282608695652,18.839896606318614,0.2832065217391304
housekeeping (scale check),RPL13A,False,,,,,,
proliferation,MKI67,True,431.13271604515216,0.9467391304347826,406.459886314446,0.7716304347826087,321.0103626418589,0.7611413043478261
proliferation,TOP2A,True,697.9351247935041,0.9018478260869566,466.4628942404926,0.8091304347826087,334.8487213844602,0.7666847826086957
proliferation,CCNB1,True,357.14408877427627,0.7602717391304348,396.6478856073729,0.8173369565217391,410.0593148995674,0.7923369565217391
