target_gene,k562_gwps,k562_essential,rpe1,missing_all_local_sources,A_mean_cpm,A_detection_rate,B_mean_cpm,B_detection_rate,C_mean_cpm,C_detection_rate
ABCD1,False,False,False,True,17.234306752663162,0.2709782608695652,121.9338000674229,0.8347282608695652,21.756246364742477,0.33043478260869563
CAPRIN2,False,False,False,True,36.06091962222689,0.4755978260869565,46.91553653019337,0.5566304347826087,31.745553495915164,0.44429347826086957
EPHB2,False,False,False,True,13.939528275764845,0.17608695652173914,12.308612221758754,0.20190217391304346,25.875602596892026,0.3977173913043478
HEATR6,False,False,False,True,11.536044014448871,0.20478260869565218,6.369119955808098,0.11847826086956521,5.460401944797501,0.10684782608695652
KIF21B,False,False,False,True,101.21803941786897,0.7416304347826087,0.1941707403763658,0.004239130434782609,1.9137880690562645,0.03798913043478261
MAPK7,False,False,False,True,42.90735294947278,0.5201630434782609,33.49897161003484,0.4484782608695652,27.54897376644801,0.40608695652173915
MLKL,False,False,False,True,42.04870481400651,0.5098369565217391,39.563845909891924,0.49418478260869564,17.559967103840105,0.28875
NICN1,False,False,False,True,25.632371086916187,0.3923369565217391,5.953769684052462,0.10771739130434782,33.8760005369062,0.4633152173913043
PARP3,False,False,False,True,10.522241312228624,0.18641304347826088,5.5774325026918,0.10396739130434783,5.029579647479863,0.09467391304347826
PBLD,False,False,False,True,9.606748689650354,0.16483695652173913,9.964669331441643,0.17125,13.959720133641117,0.24619565217391304
PDK3,False,False,False,True,29.57523575633895,0.42527173913043476,11.411975918217054,0.1961413043478261,26.217080240267133,0.39842391304347824
PHF11,False,False,False,True,51.11011689667479,0.5991304347826087,4.411825442459526,0.08309782608695652,46.26144232548051,0.5622282608695652
PSMB9,False,False,False,True,192.29909535366718,0.9049456521739131,0.8557345677518658,0.014945652173913044,218.42896771964425,0.9369021739130434
RAB11FIP5,False,False,False,True,29.32315069092287,0.39163043478260867,44.192009551443725,0.5413043478260869,51.83293597904767,0.6092934782608695
SEMA4F,False,False,False,True,17.024023068098938,0.2768478260869565,9.398549205619219,0.1617391304347826,13.353836932668797,0.22907608695652174
SLC44A1,False,False,False,True,88.12557407797136,0.7467391304347826,10.9675993039141,0.19434782608695653,20.73906267792006,0.33510869565217394
SNN,False,False,False,True,19.87408128430319,0.3042391304347826,5.3494683760416075,0.09614130434782608,20.306473993789055,0.32603260869565215
SOCS5,False,False,False,True,16.009951038966463,0.26413043478260867,28.178479724628296,0.40456521739130435,42.07808154945563,0.5459239130434783
SPATA20,False,False,False,True,17.981159238482725,0.27918478260869567,81.27668199850699,0.7183695652173913,54.12262772212333,0.6265760869565218
TAF4,False,False,False,True,63.98845460609973,0.6760326086956522,80.33614926825669,0.7470652173913044,115.02409651247764,0.8386956521739131
TBC1D19,False,False,False,True,54.56916801257579,0.6051630434782609,30.306562116168635,0.42429347826086955,11.59686319089819,0.20152173913043478
TDRD7,False,False,False,True,55.84034213780731,0.6216304347826087,21.699345330309157,0.30918478260869564,122.25985546798549,0.8411413043478261
TESK2,False,False,False,True,13.960035399130552,0.22793478260869565,7.751824666819948,0.1316304347826087,16.492516819703443,0.2718478260869565
TMEM104,False,False,False,True,15.015452826699025,0.2565217391304348,18.25915037230317,0.2985326086956522,5.843743991186192,0.11565217391304349
TMEM79,False,False,False,True,22.78758288802666,0.3329891304347826,8.034382170044996,0.13853260869565218,10.064619711034293,0.17440217391304347
TTBK2,False,False,False,True,25.618956754186414,0.3833695652173913,11.981481474727259,0.2033695652173913,16.906440357240715,0.28168478260869567
TXNDC16,False,False,False,True,23.57436039732629,0.35,29.52173817150112,0.41885869565217393,7.526284108685027,0.14570652173913043
ZC2HC1A,False,False,False,True,8.423728526057932,0.14771739130434783,22.94815293361077,0.3527173913043478,7.758100217272364,0.14483695652173914
