target_gene,Cell_Line,Batch,n_cells,source
ABCD1,eipl_1,GenomeWideScreen_FitnessGenes_Pool3_Day3_Inlet12,1,GenomeWideScreen_FitnessGenes
ABCD1,eipl_1,GenomeWideScreen_FitnessGenes_Pool4_Day5_Inlet18,1,GenomeWideScreen_FitnessGenes
ABCD1,eipl_1,GenomeWideScreen_FitnessGenes_Pool4_Day5_Inlet30,1,GenomeWideScreen_FitnessGenes
ABCD1,eipl_1,GenomeWideScreen_FitnessGenes_Pool4_Day5_Inlet31,1,GenomeWideScreen_FitnessGenes
ABCD1,fiaj_1,GenomeWideScreen_FitnessGenes_Pool3_Day3_Inlet1,1,GenomeWideScreen_FitnessGenes
ABCD1,fiaj_1,GenomeWideScreen_FitnessGenes_Pool3_Day3_Inlet3,1,GenomeWideScreen_FitnessGenes
ABCD1,fiaj_1,GenomeWideScreen_FitnessGenes_Pool4_Day5_Inlet19,1,GenomeWideScreen_FitnessGenes
ABCD1,fiaj_1,GenomeWideScreen_FitnessGenes_Pool4_Day5_Inlet23,1,GenomeWideScreen_FitnessGenes
ABCD1,fiaj_1,GenomeWideScreen_FitnessGenes_Pool4_Day5_Inlet24,1,GenomeWideScreen_FitnessGenes
ABCD1,fiaj_1,GenomeWideScreen_FitnessGenes_Pool4_Day5_Inlet26,1,GenomeWideScreen_FitnessGenes
ABCD1,hecn_3,GenomeWideScreen_FitnessGenes_Pool8_Day5_Inlet24,1,GenomeWideScreen_FitnessGenes
ABCD1,kolf_2,GenomeWideScreen_FitnessGenes_Pool3_Day3_Inlet16,1,GenomeWideScreen_FitnessGenes
ABCD1,kolf_2,GenomeWideScreen_FitnessGenes_Pool4_Day5_Inlet20,1,GenomeWideScreen_FitnessGenes
ABCD1,kolf_2,GenomeWideScreen_FitnessGenes_Pool4_Day5_Inlet27,1,GenomeWideScreen_FitnessGenes
ABCD1,kolf_2,GenomeWideScreen_FitnessGenes_Pool4_Day5_Inlet31,2,GenomeWideScreen_FitnessGenes
ABCD1,kolf_3,GenomeWideScreen_FitnessGenes_Pool7_Day3_Inlet2,1,GenomeWideScreen_FitnessGenes
ABCD1,kolf_3,GenomeWideScreen_FitnessGenes_Pool7_Day3_Inlet3,1,GenomeWideScreen_FitnessGenes
ABCD1,kolf_3,GenomeWideScreen_FitnessGenes_Pool7_Day5_Inlet17,1,GenomeWideScreen_FitnessGenes
ABCD1,kute_4,GenomeWideScreen_FitnessGenes_Pool4_Day5_Inlet20,1,GenomeWideScreen_FitnessGenes
ABCD1,kute_4,GenomeWideScreen_FitnessGenes_Pool4_Day5_Inlet24,1,GenomeWideScreen_FitnessGenes
ABCD1,melw_2,GenomeWideScreen_FitnessGenes_Pool8_Day5_Inlet22,1,GenomeWideScreen_FitnessGenes
ABCD1,melw_2,GenomeWideScreen_FitnessGenes_Pool8_Day5_Inlet24,1,GenomeWideScreen_FitnessGenes
ABCD1,nufh_4,GenomeWideScreen_FitnessGenes_Pool7_Day4_Inlet11,1,GenomeWideScreen_FitnessGenes
ABCD1,oupf_6,GenomeWideScreen_FitnessGenes_Pool4_Day5_Inlet21,1,GenomeWideScreen_FitnessGenes
ABCD1,pipw_4,GenomeWideScreen_FitnessGenes_Pool3_Day3_Inlet1,1,GenomeWideScreen_FitnessGenes
ABCD1,pipw_4,GenomeWideScreen_FitnessGenes_Pool3_Day3_Inlet6,1,GenomeWideScreen_FitnessGenes
ABCD1,pipw_4,GenomeWideScreen_FitnessGenes_Pool4_Day5_Inlet28,1,GenomeWideScreen_FitnessGenes
ABCD1,pipw_4,GenomeWideScreen_FitnessGenes_Pool4_Day5_Inlet32,1,GenomeWideScreen_FitnessGenes
ABCD1,rejf_2,GenomeWideScreen_FitnessGenes_Pool3_Day3_Inlet8,1,GenomeWideScreen_FitnessGenes
ABCD1,rejf_2,GenomeWideScreen_FitnessGenes_Pool4_Day5_Inlet29,1,GenomeWideScreen_FitnessGenes
ABCD1,siqu_4,GenomeWideScreen_FitnessGenes_Pool3_Day3_Inlet11,1,GenomeWideScreen_FitnessGenes
ABCD1,siqu_4,GenomeWideScreen_FitnessGenes_Pool4_Day5_Inlet18,1,GenomeWideScreen_FitnessGenes
ABCD1,siqu_4,GenomeWideScreen_FitnessGenes_Pool4_Day5_Inlet25,1,GenomeWideScreen_FitnessGenes
ABCD1,siqu_4,GenomeWideScreen_FitnessGenes_Pool4_Day5_Inlet31,1,GenomeWideScreen_FitnessGenes
ABCD1,siqu_4,GenomeWideScreen_FitnessGenes_Pool4_Day5_Inlet32,1,GenomeWideScreen_FitnessGenes
ABCD1,suop_5,GenomeWideScreen_FitnessGenes_Pool7_Day3_Inlet2,1,GenomeWideScreen_FitnessGenes
ABCD1,wahn_1,GenomeWideScreen_FitnessGenes_Pool3_Day3_Inlet12,1,GenomeWideScreen_FitnessGenes
