pathway,held_out,genes,pearson,cosine,blind_pearson,blind_cosine,sign_top100,blind_sign_same100
IFNB,A549,3798.0,0.031013765515248818,0.28199861917475133,0.03818263149737115,0.23736621982909606,0.65,0.62
IFNB,BXPC3,3798.0,0.03757342361554192,0.3970015434528966,0.008060902381334919,0.3297671668216993,0.77,0.66
IFNB,HAP1,3798.0,0.02634863674859976,0.37690750501067627,0.013457396119318059,0.29256010864827997,0.71,0.68
IFNB,HT29,3798.0,0.017151869454045787,0.7010587742644149,0.015796779387052866,0.7616432668435543,0.9,0.86
IFNB,K562,3798.0,0.02660556094392614,0.5974515251641452,0.012290896877978996,0.595261193576189,0.8,0.76
IFNB,MCF7,3798.0,0.027352196339348753,0.6952888670344864,0.044048755457646555,0.8159801714400919,0.94,0.93
IFNG,A549,3808.0,0.018272718050526878,0.017462463568480788,0.024568136346205336,-0.056485287250589794,0.54,0.52
IFNG,BXPC3,3808.0,0.020507926991042872,0.04181085433060241,0.03232732744263505,0.03893862860014786,0.54,0.54
IFNG,HAP1,3808.0,0.00025282451720479474,0.020312305539736477,-0.011163655922162296,0.15700406179657067,0.52,0.53
IFNG,HT29,3808.0,0.02219440252526255,0.06537249172732706,0.028690031467965935,0.0699794783136087,0.57,0.53
IFNG,K562,3808.0,0.0045552829777650685,-0.006617381317479542,-0.004005237339174015,-0.009747551833560198,0.5,0.5
IFNG,MCF7,3808.0,0.014939904975854104,0.013745595915144638,0.013907012347226452,-0.0813319143748485,0.53,0.5
INS,A549,3884.0,0.026502375677844286,0.5007072841521298,0.01832401044062182,0.5801206549281919,0.805,0.805
INS,BXPC3,3882.0,0.03438955768486804,0.22639319403957303,0.017765729971157135,0.24677295585483705,0.61,0.635
INS,HAP1,3882.0,0.02009344683942703,0.659894234142042,0.006052493354323547,0.7663289412789723,0.87,0.885
INS,HT29,3882.0,0.05915036311117723,0.6323709688637682,0.026265248591536283,0.6512464255105495,0.835,0.84
INS,K562,3882.0,0.026579820711550153,0.5832542507851053,6.94901936357401e-05,0.7342323798133756,0.855,0.86
INS,MCF7,3882.0,0.028133407457323775,0.3256993043757644,0.029723140658415085,0.31649334828500364,0.66,0.65
TGFB1,A549,3483.0,0.0413826919626102,0.001518293479061281,0.012738603325136797,0.011752874237581347,0.52,0.53
TGFB1,BXPC3,3483.0,0.03359831250234571,0.04376029484591289,0.017194396175605094,-0.040139761909426266,0.54,0.52
TGFB1,HAP1,3483.0,0.03290832835192098,0.05682707259071609,0.020518802770839038,0.018243464915379225,0.545,0.53
TGFB1,HT29,3483.0,0.04013980372102447,0.07209525011355734,0.024401850952946596,0.04299150262640672,0.55,0.545
TGFB1,K562,3483.5,0.024868054652196964,0.028007113716749153,0.004710309052132147,0.013628133762418452,0.505,0.52
TGFB1,MCF7,3483.0,0.025737764393183073,0.028812775372268853,0.015370722233862745,0.013997919975813334,0.515,0.5
TNFA,A549,3539.0,0.029338049397497307,0.13747986505306187,-0.00674323629706997,0.13092298275202385,0.58,0.56
TNFA,BXPC3,3539.0,0.04681702160007099,0.13468423807309618,0.022046403507078684,0.1636280867407403,0.59,0.55
TNFA,HAP1,3539.0,0.026946876148169676,0.09153645723492912,-0.0044406001592014665,0.1903826819513791,0.6,0.55
TNFA,HT29,3539.0,0.06571433089357354,0.18292230305308152,0.017547929699974058,0.15149911594748025,0.65,0.59
TNFA,K562,3539.0,0.040606499933668334,0.04220746912616567,0.008305937357274445,-0.022247369476051056,0.54,0.53
TNFA,MCF7,3539.0,0.026114111542317114,0.02121772875953239,0.01692806142798475,-0.02569552178380052,0.5,0.5
