target,pathway,held_out,genes,pearson,cosine,blind_pearson,blind_cosine,sign_top100,blind_sign_same100
CEBPG,IFNB,A549,3815,0.02670586827644238,0.2965592004266309,0.03303715518176273,0.30029142199198927,0.6,0.61
CEBPG,IFNB,BXPC3,3815,0.022693853757223784,0.6741390081695544,-0.018956747314747398,0.6741296455552943,0.77,0.76
CEBPG,IFNB,HAP1,3815,0.09252168645797657,0.8162659925514861,0.09875733782718547,0.8353166749636338,0.99,0.99
CEBPG,IFNB,HT29,3815,0.04334748987842693,0.8056528237803366,-0.05168441999111292,0.7915117678800704,0.96,0.95
CEBPG,IFNB,K562,3815,0.045983118569002536,0.2886256494315605,0.029624229541599413,0.27996865475565375,0.63,0.62
CEBPG,IFNB,MCF7,3815,0.000672959501769423,0.8310134251298921,0.06995049594531358,0.8677563502336001,1.0,0.99
ID1,IFNB,A549,3829,-0.01224858140887686,-0.1443632890085472,0.027594504800246247,0.23736621982909606,0.37,0.62
ID1,IFNB,BXPC3,3823,-0.05258798006457576,-0.11276849769451054,-0.033998810192793084,-0.5688388870815916,0.49,0.15
ID1,IFNB,HAP1,3823,0.00033463471471804006,0.2805594552966719,0.0014106087714247236,-0.5769623890219996,0.76,0.25
ID1,IFNB,HT29,3824,-0.0036687798310440153,-0.33070492193895357,0.016492243342511356,0.5096505032750396,0.3,0.66
ID1,IFNB,K562,3824,0.02711837100618938,0.11789669647777731,0.02286018766334001,-0.17005526417213768,0.62,0.36
ID1,IFNB,MCF7,3824,-0.048299719372571596,-0.04488327840466254,0.0663977409062523,0.034587532481641634,0.48,0.48
ZNFX1,IFNB,A549,4006,0.045318723118551146,0.6901031840852699,0.04564852222229159,0.6897478876717367,0.82,0.82
ZNFX1,IFNB,BXPC3,4003,0.03321043773250787,0.8423748752847526,-0.0030960052077868335,0.8385369403308102,0.95,0.95
ZNFX1,IFNB,HAP1,4003,0.024405005328399603,0.432889126707265,0.03501119313402935,0.43092731148216984,0.67,0.67
ZNFX1,IFNB,HT29,4004,-0.004099055022617769,0.6953737743516593,-0.022801247627741533,0.6642854245063722,0.81,0.81
ZNFX1,IFNB,K562,4003,0.007322298648663226,0.7333988519728919,0.03172966436475278,0.7234145762203598,0.85,0.85
ZNFX1,IFNB,MCF7,4003,0.04098471652840101,0.8693245304602639,0.011418748022887048,0.8323267068029112,1.0,1.0
STAT1,IFNB,A549,3791,0.08149007689213814,0.0003126667565480177,0.028398483277255814,-0.05499176936581159,0.69,0.62
STAT1,IFNB,BXPC3,3791,0.25127797836082266,0.48263983034929786,0.18878692692388657,0.4800962319250092,0.87,0.73
STAT1,IFNB,HAP1,3791,0.4722239777793563,0.24493252482642403,0.31306031954417274,0.08626541280006116,0.83,0.8
STAT1,IFNB,HT29,3791,0.43375366675649324,0.7233182630581149,0.20929605157276554,0.8016089757176615,0.96,0.81
STAT1,IFNB,K562,3791,0.36695490042019585,0.6435828990610812,0.1865646244865959,0.6306147731812433,0.91,0.81
STAT1,IFNB,MCF7,3791,0.02706709772824082,0.5457661727320313,-0.01042156894683055,0.821449322930439,0.5,0.62
IFNAR1,IFNB,A549,3663,0.4948086087100535,0.5531545887973633,0.2473442178059031,0.4828861702587231,0.99,0.42
IFNAR1,IFNB,BXPC3,3661,0.5985500740876694,0.6452611499845774,0.2944997686965378,0.5564214067922391,1.0,0.45
IFNAR1,IFNB,HAP1,3661,0.6968870461981285,0.4441386208242401,0.27617425716484784,-0.1706377613529766,0.89,0.36
IFNAR1,IFNB,HT29,3661,0.7123943680715489,0.7406412438445137,0.2697743710046625,0.37032463987853875,0.97,0.53
IFNAR1,IFNB,K562,3661,0.578686140965413,0.6260418478122518,0.26683529470473183,0.40500470211861284,0.96,0.52
IFNAR1,IFNB,MCF7,3661,0.6078590948094236,0.656549166490577,0.26923722826117347,0.45838558697590115,0.96,0.66
SP110,IFNB,A549,3779,0.0259293753932833,0.33405030606716285,-0.008454303204603558,0.3604262531885654,0.74,0.74
SP110,IFNB,BXPC3,3779,0.06264509777023677,0.29628917748680733,0.004518546904195021,0.2959978988887722,0.62,0.61
SP110,IFNB,HAP1,3779,0.005504037370085739,0.31485402466878876,0.006640406970112643,0.35718157320371113,0.69,0.7
SP110,IFNB,HT29,3779,0.04153512347770242,0.5141796594870938,0.024568563348257945,0.5694810726562068,0.85,0.84
SP110,IFNB,K562,3779,-0.023673339362559356,0.33287507557567525,-0.028174754424296466,0.3772167086595641,0.57,0.55
SP110,IFNB,MCF7,3779,0.008863188903148531,0.6417371853501889,0.01284169543952986,0.8244153396646183,0.95,0.95
TYK2,IFNB,A549,3827,0.6111917666535877,0.7171665514393301,0.2813146342998183,0.5725022727904931,1.0,0.5
TYK2,IFNB,BXPC3,3824,0.7450643169748361,0.6488691345923373,0.30582151368508464,0.20739668356455507,0.99,0.57
TYK2,IFNB,HAP1,3824,0.6619428706848338,0.37690750501067627,0.24664756638684587,-0.10605159240398047,0.95,0.48
TYK2,IFNB,HT29,3824,0.6982429865340367,0.7010587742644149,0.22441120889785907,0.3282930832936622,0.95,0.58
TYK2,IFNB,K562,3824,0.5654132896258236,0.6859744255077823,0.23284601101039765,0.7110003791270098,0.91,0.55
TYK2,IFNB,MCF7,3824,0.6879060306309285,0.6946263746469483,0.26508824267415315,0.8091486243121433,0.97,0.66
CEBPB,IFNB,A549,3543,0.0046225745345927095,0.010904649617246145,-0.006312091095909911,-0.027988801805153236,0.46,0.5
