target,metric,matched,mismatched_median,discrimination
AGO1,raw_cosine,0.041475304383931766,-0.0007695266473654724,0.9833333333333333
AKT2,raw_cosine,-0.01391814084575674,0.0012121868198864555,0.26666666666666666
ALG12,raw_cosine,0.0034236937655179973,0.004634132639474939,0.48333333333333334
API5,raw_cosine,-0.009839456222652011,0.0006258378885199577,0.3333333333333333
BCL6,raw_cosine,-0.003569859464143106,-0.0012884334397082454,0.45
BRPF1,raw_cosine,0.08005360467012987,0.00926301860601703,0.95
C5orf22,raw_cosine,0.1251669296972341,0.003881784491487953,1.0
CARM1,raw_cosine,0.01895344975238313,0.006240288046034758,0.7
CHD3,raw_cosine,0.01678582739903371,0.007077085284921946,0.7
COIL,raw_cosine,0.04633821671841256,-0.007718497086782238,0.9333333333333333
CYTH2,raw_cosine,0.00022828228010563807,0.005872302218934474,0.4
DCP2,raw_cosine,-0.05343880472172874,0.006555019284156696,0.03333333333333333
DEK,raw_cosine,-0.0024267718827421965,-0.0004156032594652528,0.43333333333333335
DTNBP1,raw_cosine,0.019267789716341174,-0.005993006399486916,0.7666666666666667
ELK1,raw_cosine,0.028364278124621372,-0.0006301089269931193,0.8833333333333333
EPC2,raw_cosine,0.0801988522933271,0.002137731628912143,1.0
EZH2,raw_cosine,0.01694417543937186,0.0028571854921237067,0.6666666666666666
FCGRT,raw_cosine,-0.01760463340365225,0.006557929683110548,0.15
GTF2IRD1,raw_cosine,-0.00868693253521048,0.005162678417894147,0.36666666666666664
HMGXB3,raw_cosine,0.10445110167235504,-0.004179595093160294,1.0
KMT2A,raw_cosine,0.13315945834855045,0.006301280718089903,1.0
LDLR,raw_cosine,0.04507004073133431,-0.0002856145190881393,0.9666666666666667
LENG1,raw_cosine,0.05390692484889079,-0.0003957679854956595,0.9833333333333333
LPCAT3,raw_cosine,-0.030694569318009703,-0.004754247934977885,0.06666666666666667
MAP2K2,raw_cosine,0.007356743072973879,0.0005736502606214325,0.65
MSANTD4,raw_cosine,0.017493005707463358,0.0016755252735328736,0.65
MTF1,raw_cosine,0.22864513128640437,0.00510491537647136,1.0
MYPOP,raw_cosine,0.05169642945122351,0.0012218444472492348,0.95
NAIF1,raw_cosine,0.0472143209749751,0.004068524746101935,0.9
PAN2,raw_cosine,-0.006458191989659996,0.0034030588782223595,0.38333333333333336
PHF19,raw_cosine,-0.0728846405826428,-0.0013272781575813994,0.0
PHF23,raw_cosine,0.18554098784109008,-0.005581532152949088,1.0
PIN1,raw_cosine,0.02455711768009887,-0.006716761836853427,0.85
PPIF,raw_cosine,-0.0012624403784676859,0.001297380099055923,0.45
PRMT7,raw_cosine,0.054435773729900334,0.0009384593634280021,1.0
PRNP,raw_cosine,-0.027234678301990712,0.0008338608492152968,0.11666666666666667
PSKH1,raw_cosine,-0.006197461523466165,-0.0013463423880922876,0.38333333333333336
RABEP2,raw_cosine,-0.029204680488628714,-0.007552614337438456,0.16666666666666666
RBM26,raw_cosine,0.1496445296588648,0.0074858509973803715,1.0
RFK,raw_cosine,0.009421113721526665,0.010313598400632791,0.5
RNF141,raw_cosine,-0.005104164574008286,0.0010571639985885064,0.36666666666666664
SH2D3A,raw_cosine,-0.025676236769137738,-0.010626867557919886,0.2
SMARCA5,raw_cosine,0.02784740884990386,0.008531406794146093,0.7166666666666667
STT3A,raw_cosine,0.032069659496480996,-0.002538733725489752,0.9166666666666666
TARBP2,raw_cosine,-0.004782626637805642,-0.0013019386732902464,0.38333333333333336
THAP7,raw_cosine,0.05242042341467805,-0.0028271808819592885,1.0
TRIM35,raw_cosine,0.03287924361010234,0.006446620048207884,0.9
UPF3B,raw_cosine,0.0721062435541062,0.0014911622122241444,1.0
UROS,raw_cosine,0.05570931257575444,-0.0010101893772303128,1.0
ZBTB34,raw_cosine,-0.0010948496285604222,-0.008633303817866589,0.5666666666666667
ZC3HAV1,raw_cosine,0.005977879184259853,-0.003444953991153627,0.6166666666666667
ZHX3,raw_cosine,0.10172587701664122,0.0013390553404399833,1.0
ZKSCAN2,raw_cosine,-0.030419119666346296,-0.0065361726771198,0.15
ZKSCAN3,raw_cosine,-0.02491031384437668,0.004232338328311426,0.08333333333333333
ZNF219,raw_cosine,0.027055462583504743,0.0049643025321728955,0.8166666666666667
ZNF25,raw_cosine,0.00288872801996643,0.008630148712708435,0.43333333333333335
ZNF251,raw_cosine,0.005296630271191523,-0.006252311605255327,0.6833333333333333
ZNF324,raw_cosine,0.05566794706452426,0.008539431933766696,0.9333333333333333
ZNF410,raw_cosine,0.008879393321713764,-0.0013796901227305554,0.65
ZNF821,raw_cosine,0.019967117964050166,0.005092719735263601,0.8
ZRANB3,raw_cosine,0.025127740026622217,0.0012220762706773663,0.8833333333333333
AGO1,raw_pearson,0.04219005475085082,-0.0010376685800205592,0.9833333333333333
AKT2,raw_pearson,-0.015985386120671755,0.003789403832771177,0.21666666666666667
ALG12,raw_pearson,0.0034532525745860597,0.005487925375126976,0.4666666666666667
API5,raw_pearson,-0.009063954731928855,0.0006295425870970488,0.35
BCL6,raw_pearson,-0.006806973393647962,-0.0009742067450245035,0.38333333333333336
BRPF1,raw_pearson,0.0782966534674266,0.010054757386836762,0.95
