query,match,symbol,ensembl_gene_id,uniprot_ids,locus_group,locus_type
ABCD1,approved,ABCD1,ENSG00000101986,P33897,protein-coding gene,gene with protein product
ACLY,approved,ACLY,ENSG00000131473,P53396,protein-coding gene,gene with protein product
ADNP,approved,ADNP,ENSG00000101126,Q9H2P0,protein-coding gene,gene with protein product
AGO1,approved,AGO1,ENSG00000092847,Q9UL18,protein-coding gene,gene with protein product
AKAP1,approved,AKAP1,ENSG00000121057,Q92667,protein-coding gene,gene with protein product
AKIRIN1,approved,AKIRIN1,ENSG00000174574,Q9H9L7,protein-coding gene,gene with protein product
AKT2,approved,AKT2,ENSG00000105221,P31751,protein-coding gene,gene with protein product
ALG12,approved,ALG12,ENSG00000182858,Q9BV10,protein-coding gene,gene with protein product
ANKRD52,approved,ANKRD52,ENSG00000139645,Q8NB46,protein-coding gene,gene with protein product
ANKZF1,approved,ANKZF1,ENSG00000163516,Q9H8Y5,protein-coding gene,gene with protein product
ANP32B,approved,ANP32B,ENSG00000136938,Q92688,protein-coding gene,gene with protein product
AP2A2,approved,AP2A2,ENSG00000183020,O94973,protein-coding gene,gene with protein product
API5,approved,API5,ENSG00000166181,Q9BZZ5,protein-coding gene,gene with protein product
ARL14EP,approved,ARL14EP,ENSG00000152219,Q8N8R7,protein-coding gene,gene with protein product
ASCC2,approved,ASCC2,ENSG00000100325,Q9H1I8,protein-coding gene,gene with protein product
BCKDK,approved,BCKDK,ENSG00000103507,O14874,protein-coding gene,gene with protein product
BCL6,approved,BCL6,ENSG00000113916,P41182,protein-coding gene,gene with protein product
BCL7C,approved,BCL7C,ENSG00000099385,Q8WUZ0,protein-coding gene,gene with protein product
BRD1,approved,BRD1,ENSG00000100425,O95696,protein-coding gene,gene with protein product
BRPF1,approved,BRPF1,ENSG00000156983,P55201,protein-coding gene,gene with protein product
C5orf22,approved,C5orf22,ENSG00000082213,Q49AR2,protein-coding gene,gene with protein product
CAND1,approved,CAND1,ENSG00000111530,Q86VP6,protein-coding gene,gene with protein product
CAPRIN2,approved,CAPRIN2,ENSG00000110888,Q6IMN6,protein-coding gene,gene with protein product
CARM1,approved,CARM1,ENSG00000142453,Q86X55,protein-coding gene,gene with protein product
CAT,approved,CAT,ENSG00000121691,P04040,protein-coding gene,gene with protein product
CCDC112,approved,CCDC112,ENSG00000164221,Q8NEF3,protein-coding gene,gene with protein product
CDK8,approved,CDK8,ENSG00000132964,P49336,protein-coding gene,gene with protein product
CHD3,approved,CHD3,ENSG00000170004,Q12873,protein-coding gene,gene with protein product
CHD6,approved,CHD6,ENSG00000124177,Q8TD26,protein-coding gene,gene with protein product
CHKB,approved,CHKB,ENSG00000100288,Q9Y259,protein-coding gene,gene with protein product
CLCN6,approved,CLCN6,ENSG00000011021,P51797,protein-coding gene,gene with protein product
COIL,approved,COIL,ENSG00000121058,P38432,protein-coding gene,gene with protein product
COMMD8,approved,COMMD8,ENSG00000169019,Q9NX08,protein-coding gene,gene with protein product
COQ10B,approved,COQ10B,ENSG00000115520,Q9H8M1,protein-coding gene,gene with protein product
CSNK2A1,approved,CSNK2A1,ENSG00000101266,P68400,protein-coding gene,gene with protein product
CYTH2,approved,CYTH2,ENSG00000105443,Q99418,protein-coding gene,gene with protein product
DBF4B,approved,DBF4B,ENSG00000161692,Q8NFT6,protein-coding gene,gene with protein product
DBN1,approved,DBN1,ENSG00000113758,Q16643,protein-coding gene,gene with protein product
DCAF16,approved,DCAF16,ENSG00000163257,Q9NXF7,protein-coding gene,gene with protein product
DCP2,approved,DCP2,ENSG00000172795,Q8IU60,protein-coding gene,gene with protein product
DDHD1,approved,DDHD1,ENSG00000100523,Q8NEL9,protein-coding gene,gene with protein product
DEAF1,approved,DEAF1,ENSG00000177030,O75398,protein-coding gene,gene with protein product
DEK,approved,DEK,ENSG00000124795,P35659,protein-coding gene,gene with protein product
DHRS1,approved,DHRS1,ENSG00000157379,Q96LJ7,protein-coding gene,gene with protein product
DHX35,approved,DHX35,ENSG00000101452,Q9H5Z1,protein-coding gene,gene with protein product
DLAT,approved,DLAT,ENSG00000150768,P10515,protein-coding gene,gene with protein product
DMTF1,approved,DMTF1,ENSG00000135164,Q9Y222,protein-coding gene,gene with protein product
DNTTIP1,approved,DNTTIP1,ENSG00000101457,Q9H147,protein-coding gene,gene with protein product
DRG2,approved,DRG2,ENSG00000108591,P55039,protein-coding gene,gene with protein product
DTNBP1,approved,DTNBP1,ENSG00000047579,Q96EV8,protein-coding gene,gene with protein product
DVL3,approved,DVL3,ENSG00000161202,Q92997,protein-coding gene,gene with protein product
E2F1,approved,E2F1,ENSG00000101412,Q01094,protein-coding gene,gene with protein product
E2F4,approved,E2F4,ENSG00000205250,Q16254,protein-coding gene,gene with protein product
EAPP,approved,EAPP,ENSG00000129518,Q56P03,protein-coding gene,gene with protein product
EEF1A2,approved,EEF1A2,ENSG00000101210,Q05639,protein-coding gene,gene with protein product
ELK1,approved,ELK1,ENSG00000126767,P19419,protein-coding gene,gene with protein product
EPC2,approved,EPC2,ENSG00000135999,Q52LR7,protein-coding gene,gene with protein product
EPHB2,approved,EPHB2,ENSG00000133216,P29323,protein-coding gene,gene with protein product
EPM2AIP1,approved,EPM2AIP1,ENSG00000178567,Q7L775,protein-coding gene,gene with protein product
EZH2,approved,EZH2,ENSG00000106462,Q15910,protein-coding gene,gene with protein product
FAM120A,approved,FAM120A,ENSG00000048828,Q9NZB2,protein-coding gene,gene with protein product
FCGRT,approved,FCGRT,ENSG00000104870,P55899,protein-coding gene,gene with protein product
FHL3,approved,FHL3,ENSG00000183386,Q13643,protein-coding gene,gene with protein product
FOXN2,approved,FOXN2,ENSG00000170802,P32314,protein-coding gene,gene with protein product
FOXO4,approved,FOXO4,ENSG00000184481,P98177,protein-coding gene,gene with protein product
FUBP3,approved,FUBP3,ENSG00000107164,Q96I24,protein-coding gene,gene with protein product
FXYD5,approved,FXYD5,ENSG00000089327,Q96DB9,protein-coding gene,gene with protein product
FZD2,approved,FZD2,ENSG00000180340,Q14332,protein-coding gene,gene with protein product
GIGYF2,approved,GIGYF2,ENSG00000204120,Q6Y7W6,protein-coding gene,gene with protein product
GLI3,approved,GLI3,ENSG00000106571,P10071,protein-coding gene,gene with protein product
GLYR1,approved,GLYR1,ENSG00000140632,Q49A26,protein-coding gene,gene with protein product
GMEB2,approved,GMEB2,ENSG00000101216,Q9UKD1,protein-coding gene,gene with protein product
GPATCH8,approved,GPATCH8,ENSG00000186566,Q9UKJ3,protein-coding gene,gene with protein product
GRAMD1A,approved,GRAMD1A,ENSG00000089351,Q96CP6,protein-coding gene,gene with protein product
GTF2IRD1,approved,GTF2IRD1,ENSG00000006704,Q9UHL9,protein-coding gene,gene with protein product
HDAC1,approved,HDAC1,ENSG00000116478,Q13547,protein-coding gene,gene with protein product
HDAC8,approved,HDAC8,ENSG00000147099,Q9BY41,protein-coding gene,gene with protein product
HEATR6,approved,HEATR6,ENSG00000068097,Q6AI08,protein-coding gene,gene with protein product
HMGN3,approved,HMGN3,ENSG00000118418,Q15651,protein-coding gene,gene with protein product
HMGN4,approved,HMGN4,ENSG00000182952,O00479,protein-coding gene,gene with protein product
HMGXB3,approved,HMGXB3,ENSG00000113716,Q12766,protein-coding gene,gene with protein product
HOMEZ,approved,HOMEZ,ENSG00000290292,Q8IX15,protein-coding gene,gene with protein product
HSBP1,approved,HSBP1,ENSG00000230989,O75506,protein-coding gene,gene with protein product
HSP90AB1,approved,HSP90AB1,ENSG00000096384,P08238,protein-coding gene,gene with protein product
IFI27L2,approved,IFI27L2,ENSG00000119632,Q9H2X8,protein-coding gene,gene with protein product
IFNAR2,approved,IFNAR2,ENSG00000159110,P48551,protein-coding gene,gene with protein product
IFNGR2,approved,IFNGR2,ENSG00000159128,P38484,protein-coding gene,gene with protein product
IL10RB,approved,IL10RB,ENSG00000243646,Q08334,protein-coding gene,gene with protein product
IREB2,approved,IREB2,ENSG00000136381,P48200,protein-coding gene,gene with protein product
KDM5A,approved,KDM5A,ENSG00000073614,P29375,protein-coding gene,gene with protein product
KHDRBS1,approved,KHDRBS1,ENSG00000121774,Q07666,protein-coding gene,gene with protein product
KHSRP,approved,KHSRP,ENSG00000088247,Q92945,protein-coding gene,gene with protein product
KIF21B,approved,KIF21B,ENSG00000116852,O75037,protein-coding gene,gene with protein product
KIF2A,approved,KIF2A,ENSG00000068796,O00139,protein-coding gene,gene with protein product
KMT2A,approved,KMT2A,ENSG00000118058,Q03164,protein-coding gene,gene with protein product
LDLR,approved,LDLR,ENSG00000130164,P01130,protein-coding gene,gene with protein product
LENG1,approved,LENG1,ENSG00000105617,Q96BZ8,protein-coding gene,gene with protein product
LMAN1,approved,LMAN1,ENSG00000074695,P49257,protein-coding gene,gene with protein product
LMBRD2,approved,LMBRD2,ENSG00000164187,Q68DH5,protein-coding gene,gene with protein product
LPCAT3,approved,LPCAT3,ENSG00000111684,Q6P1A2,protein-coding gene,gene with protein product
MAN2A1,approved,MAN2A1,ENSG00000112893,Q16706,protein-coding gene,gene with protein product
MAP2K2,approved,MAP2K2,ENSG00000126934,P36507,protein-coding gene,gene with protein product
MAPK12,approved,MAPK12,ENSG00000188130,P53778,protein-coding gene,gene with protein product
MAPK7,approved,MAPK7,ENSG00000166484,Q13164,protein-coding gene,gene with protein product
MARCKSL1,approved,MARCKSL1,ENSG00000175130,P49006,protein-coding gene,gene with protein product
MBD4,approved,MBD4,ENSG00000129071,O95243,protein-coding gene,gene with protein product
MED13,approved,MED13,ENSG00000108510,Q9UHV7,protein-coding gene,gene with protein product
MED15,approved,MED15,ENSG00000099917,Q96RN5,protein-coding gene,gene with protein product
MED25,approved,MED25,ENSG00000104973,Q71SY5,protein-coding gene,gene with protein product
MLKL,approved,MLKL,ENSG00000168404,Q8NB16,protein-coding gene,gene with protein product
MLLT10,approved,MLLT10,ENSG00000078403,P55197,protein-coding gene,gene with protein product
MSANTD4,approved,MSANTD4,ENSG00000170903,Q8NCY6,protein-coding gene,gene with protein product
MSI2,approved,MSI2,ENSG00000153944,Q96DH6,protein-coding gene,gene with protein product
MTA1,approved,MTA1,ENSG00000182979,Q13330,protein-coding gene,gene with protein product
MTF1,approved,MTF1,ENSG00000188786,Q14872,protein-coding gene,gene with protein product
MTHFSD,approved,MTHFSD,ENSG00000103248,Q2M296,protein-coding gene,gene with protein product
MTM1,approved,MTM1,ENSG00000171100,Q13496,protein-coding gene,gene with protein product
MYD88,approved,MYD88,ENSG00000172936,Q99836,protein-coding gene,gene with protein product
MYPOP,approved,MYPOP,ENSG00000176182,Q86VE0,protein-coding gene,gene with protein product
MYRF,approved,MYRF,ENSG00000124920,Q9Y2G1,protein-coding gene,gene with protein product
NABP2,approved,NABP2,ENSG00000139579,Q9BQ15,protein-coding gene,gene with protein product
NAIF1,approved,NAIF1,ENSG00000171169,Q69YI7,protein-coding gene,gene with protein product
NCLN,approved,NCLN,ENSG00000125912,Q969V3,protein-coding gene,gene with protein product
NFE2L1,approved,NFE2L1,ENSG00000082641,Q14494,protein-coding gene,gene with protein product
NGLY1,approved,NGLY1,ENSG00000151092,Q96IV0,protein-coding gene,gene with protein product
NICN1,approved,NICN1,ENSG00000145029,Q9BSH3,protein-coding gene,gene with protein product
NIPAL3,approved,NIPAL3,ENSG00000001461,Q6P499,protein-coding gene,gene with protein product
NIPSNAP3A,approved,NIPSNAP3A,ENSG00000136783,Q9UFN0,protein-coding gene,gene with protein product
NT5DC1,approved,NT5DC1,ENSG00000178425,Q5TFE4,protein-coding gene,gene with protein product
NUP37,approved,NUP37,ENSG00000075188,Q8NFH4,protein-coding gene,gene with protein product
PAN2,approved,PAN2,ENSG00000135473,Q504Q3,protein-coding gene,gene with protein product
PAPOLA,approved,PAPOLA,ENSG00000090060,P51003,protein-coding gene,gene with protein product
PARP3,approved,PARP3,ENSG00000041880,Q9Y6F1,protein-coding gene,gene with protein product
PATL1,approved,PATL1,ENSG00000166889,Q86TB9,protein-coding gene,gene with protein product
PBLD,approved,PBLD,ENSG00000108187,P30039,protein-coding gene,gene with protein product
PCGF1,approved,PCGF1,ENSG00000115289,Q9BSM1,protein-coding gene,gene with protein product
PCGF6,approved,PCGF6,ENSG00000156374,Q9BYE7,protein-coding gene,gene with protein product
PDCD4,approved,PDCD4,ENSG00000150593,Q53EL6,protein-coding gene,gene with protein product
PDE6D,approved,PDE6D,ENSG00000156973,O43924,protein-coding gene,gene with protein product
PDK1,approved,PDK1,ENSG00000152256,Q15118,protein-coding gene,gene with protein product
PDK3,approved,PDK3,ENSG00000067992,Q15120,protein-coding gene,gene with protein product
PGLS,approved,PGLS,ENSG00000130313,O95336,protein-coding gene,gene with protein product
PHF11,approved,PHF11,ENSG00000136147,Q9UIL8,protein-coding gene,gene with protein product
PHF19,approved,PHF19,ENSG00000119403,Q5T6S3,protein-coding gene,gene with protein product
PHF23,approved,PHF23,ENSG00000040633,Q9BUL5,protein-coding gene,gene with protein product
PHF8,approved,PHF8,ENSG00000172943,Q9UPP1,protein-coding gene,gene with protein product
PI4KB,approved,PI4KB,ENSG00000143393,Q9UBF8,protein-coding gene,gene with protein product
PIM2,approved,PIM2,ENSG00000102096,Q9P1W9,protein-coding gene,gene with protein product
PIN1,approved,PIN1,ENSG00000127445,Q13526,protein-coding gene,gene with protein product
PINK1,approved,PINK1,ENSG00000158828,Q9BXM7,protein-coding gene,gene with protein product
PKN3,approved,PKN3,ENSG00000160447,Q6P5Z2,protein-coding gene,gene with protein product
PLAGL2,approved,PLAGL2,ENSG00000126003,Q9UPG8,protein-coding gene,gene with protein product
PLCG1,approved,PLCG1,ENSG00000124181,P19174,protein-coding gene,gene with protein product
PNP,approved,PNP,ENSG00000198805,P00491,protein-coding gene,gene with protein product
POLD4,approved,POLD4,ENSG00000175482,Q9HCU8,protein-coding gene,gene with protein product
POR,approved,POR,ENSG00000127948,P16435,protein-coding gene,gene with protein product
PPIF,approved,PPIF,ENSG00000108179,P30405,protein-coding gene,gene with protein product
PPIP5K2,approved,PPIP5K2,ENSG00000145725,O43314,protein-coding gene,gene with protein product
PQBP1,approved,PQBP1,ENSG00000102103,O60828,protein-coding gene,gene with protein product
PRDX3,approved,PRDX3,ENSG00000165672,P30048,protein-coding gene,gene with protein product
PRKAB2,approved,PRKAB2,ENSG00000131791,O43741,protein-coding gene,gene with protein product
PRKACA,approved,PRKACA,ENSG00000072062,P17612,protein-coding gene,gene with protein product
PRMT2,approved,PRMT2,ENSG00000160310,P55345,protein-coding gene,gene with protein product
PRMT6,approved,PRMT6,ENSG00000198890,Q96LA8,protein-coding gene,gene with protein product
PRMT7,approved,PRMT7,ENSG00000132600,Q9NVM4,protein-coding gene,gene with protein product
PRNP,approved,PRNP,ENSG00000171867,F7VJQ1|P04156,protein-coding gene,gene with protein product
PSKH1,approved,PSKH1,ENSG00000159792,P11801,protein-coding gene,gene with protein product
PSMB9,approved,PSMB9,ENSG00000240065,P28065,protein-coding gene,gene with protein product
PTMS,approved,PTMS,ENSG00000159335,P20962,protein-coding gene,gene with protein product
PTOV1,approved,PTOV1,ENSG00000104960,Q86YD1,protein-coding gene,gene with protein product
PYCR1,approved,PYCR1,ENSG00000183010,P32322,protein-coding gene,gene with protein product
R3HCC1L,approved,R3HCC1L,ENSG00000166024,Q7Z5L2,protein-coding gene,gene with protein product
RAB11FIP5,approved,RAB11FIP5,ENSG00000135631,Q9BXF6,protein-coding gene,gene with protein product
RAB5A,approved,RAB5A,ENSG00000144566,P20339,protein-coding gene,gene with protein product
RABEP2,approved,RABEP2,ENSG00000177548,Q9H5N1,protein-coding gene,gene with protein product
RBM18,approved,RBM18,ENSG00000119446,Q96H35,protein-coding gene,gene with protein product
RBM26,approved,RBM26,ENSG00000139746,Q5T8P6,protein-coding gene,gene with protein product
RBM4B,approved,RBM4B,ENSG00000173914,Q9BQ04,protein-coding gene,gene with protein product
RBM5,approved,RBM5,ENSG00000003756,P52756,protein-coding gene,gene with protein product
RC3H2,approved,RC3H2,ENSG00000056586,Q9HBD1,protein-coding gene,gene with protein product
REV1,approved,REV1,ENSG00000135945,Q9UBZ9,protein-coding gene,gene with protein product
RFK,approved,RFK,ENSG00000135002,Q969G6,protein-coding gene,gene with protein product
RNF10,approved,RNF10,ENSG00000022840,Q8N5U6,protein-coding gene,gene with protein product
RNF141,approved,RNF141,ENSG00000110315,Q8WVD5,protein-coding gene,gene with protein product
RNF2,approved,RNF2,ENSG00000121481,Q99496,protein-coding gene,gene with protein product
RSRC1,approved,RSRC1,ENSG00000174891,Q96IZ7,protein-coding gene,gene with protein product
S100A11,approved,S100A11,ENSG00000163191,P31949,protein-coding gene,gene with protein product
SAP30L,approved,SAP30L,ENSG00000164576,Q9HAJ7,protein-coding gene,gene with protein product
SCAF8,approved,SCAF8,ENSG00000213079,Q9UPN6,protein-coding gene,gene with protein product
SEMA4F,approved,SEMA4F,ENSG00000135622,O95754,protein-coding gene,gene with protein product
SFXN4,approved,SFXN4,ENSG00000183605,Q6P4A7,protein-coding gene,gene with protein product
SH2D3A,approved,SH2D3A,ENSG00000125731,Q9BRG2,protein-coding gene,gene with protein product
SHPRH,approved,SHPRH,ENSG00000146414,Q149N8,protein-coding gene,gene with protein product
SIN3B,approved,SIN3B,ENSG00000127511,O75182,protein-coding gene,gene with protein product
SLC25A13,approved,SLC25A13,ENSG00000004864,Q9UJS0,protein-coding gene,gene with protein product
SLC39A1,approved,SLC39A1,ENSG00000143570,Q9NY26,protein-coding gene,gene with protein product
SLC44A1,approved,SLC44A1,ENSG00000070214,Q8WWI5,protein-coding gene,gene with protein product
SLIRP,approved,SLIRP,ENSG00000119705,Q9GZT3,protein-coding gene,gene with protein product
SMARCA5,approved,SMARCA5,ENSG00000153147,O60264,protein-coding gene,gene with protein product
SMARCC2,approved,SMARCC2,ENSG00000139613,Q8TAQ2,protein-coding gene,gene with protein product
SMYD2,approved,SMYD2,ENSG00000143499,Q9NRG4,protein-coding gene,gene with protein product
SND1,approved,SND1,ENSG00000197157,Q7KZF4,protein-coding gene,gene with protein product
SNN,approved,SNN,ENSG00000184602,O75324,protein-coding gene,gene with protein product
SNRK,approved,SNRK,ENSG00000163788,Q9NRH2,protein-coding gene,gene with protein product
SNX4,approved,SNX4,ENSG00000114520,O95219,protein-coding gene,gene with protein product
SOCS5,approved,SOCS5,ENSG00000171150,O75159,protein-coding gene,gene with protein product
SPATA20,approved,SPATA20,ENSG00000006282,Q8TB22,protein-coding gene,gene with protein product
SRSF5,approved,SRSF5,ENSG00000100650,Q13243,protein-coding gene,gene with protein product
SSR4,approved,SSR4,ENSG00000180879,P51571,protein-coding gene,gene with protein product
STAT6,approved,STAT6,ENSG00000166888,P42226,protein-coding gene,gene with protein product
STK3,approved,STK3,ENSG00000104375,Q13188,protein-coding gene,gene with protein product
STT3A,approved,STT3A,ENSG00000134910,P46977,protein-coding gene,gene with protein product
SUPT7L,approved,SUPT7L,ENSG00000119760,O94864,protein-coding gene,gene with protein product
SYVN1,approved,SYVN1,ENSG00000162298,Q86TM6,protein-coding gene,gene with protein product
TAF15,approved,TAF15,ENSG00000270647,Q92804,protein-coding gene,gene with protein product
TAF4,approved,TAF4,ENSG00000130699,O00268,protein-coding gene,gene with protein product
TARBP2,approved,TARBP2,ENSG00000139546,Q15633,protein-coding gene,gene with protein product
TBC1D13,approved,TBC1D13,ENSG00000107021,Q9NVG8,protein-coding gene,gene with protein product
TBC1D19,approved,TBC1D19,ENSG00000109680,Q8N5T2,protein-coding gene,gene with protein product
TBCK,approved,TBCK,ENSG00000145348,Q8TEA7,protein-coding gene,gene with protein product
TDRD7,approved,TDRD7,ENSG00000196116,Q8NHU6,protein-coding gene,gene with protein product
TEAD4,approved,TEAD4,ENSG00000197905,Q15561,protein-coding gene,gene with protein product
TESK2,approved,TESK2,ENSG00000070759,Q96S53,protein-coding gene,gene with protein product
TEX2,approved,TEX2,ENSG00000136478,Q8IWB9,protein-coding gene,gene with protein product
TFCP2,approved,TFCP2,ENSG00000135457,Q12800,protein-coding gene,gene with protein product
THAP3,approved,THAP3,ENSG00000041988,Q8WTV1,protein-coding gene,gene with protein product
THAP7,approved,THAP7,ENSG00000184436,Q9BT49,protein-coding gene,gene with protein product
TIMM17B,approved,TIMM17B,ENSG00000126768,O60830,protein-coding gene,gene with protein product
TIMM50,approved,TIMM50,ENSG00000105197,Q3ZCQ8,protein-coding gene,gene with protein product
TMCO6,approved,TMCO6,ENSG00000113119,Q96DC7,protein-coding gene,gene with protein product
TMED3,approved,TMED3,ENSG00000166557,Q9Y3Q3,protein-coding gene,gene with protein product
TMEM104,unique_alias_or_previous,SLC38A12,ENSG00000109066,Q8NE00,protein-coding gene,gene with protein product
TMEM147,approved,TMEM147,ENSG00000105677,Q9BVK8,protein-coding gene,gene with protein product
TMEM186,approved,TMEM186,ENSG00000184857,Q96B77,protein-coding gene,gene with protein product
TMEM209,approved,TMEM209,ENSG00000146842,Q96SK2,protein-coding gene,gene with protein product
TMEM41B,approved,TMEM41B,ENSG00000166471,Q5BJD5,protein-coding gene,gene with protein product
TMEM79,approved,TMEM79,ENSG00000163472,Q9BSE2,protein-coding gene,gene with protein product
TMF1,approved,TMF1,ENSG00000144747,P82094,protein-coding gene,gene with protein product
TRAPPC6A,approved,TRAPPC6A,ENSG00000007255,O75865,protein-coding gene,gene with protein product
TRIB3,approved,TRIB3,ENSG00000101255,Q96RU7,protein-coding gene,gene with protein product
TRIM35,approved,TRIM35,ENSG00000104228,Q9UPQ4,protein-coding gene,gene with protein product
TRIP4,approved,TRIP4,ENSG00000103671,Q15650,protein-coding gene,gene with protein product
TRMT1,approved,TRMT1,ENSG00000104907,Q9NXH9,protein-coding gene,gene with protein product
TRPC4AP,approved,TRPC4AP,ENSG00000100991,Q8TEL6,protein-coding gene,gene with protein product
TTBK2,approved,TTBK2,ENSG00000128881,Q6IQ55,protein-coding gene,gene with protein product
TWF2,approved,TWF2,ENSG00000247596,Q6IBS0,protein-coding gene,gene with protein product
TXNDC16,approved,TXNDC16,ENSG00000087301,Q9P2K2,protein-coding gene,gene with protein product
UNK,approved,UNK,ENSG00000132478,Q9C0B0,protein-coding gene,gene with protein product
UPF3B,approved,UPF3B,ENSG00000125351,Q9BZI7,protein-coding gene,gene with protein product
UROS,approved,UROS,ENSG00000188690,P10746,protein-coding gene,gene with protein product
USP28,approved,USP28,ENSG00000048028,Q96RU2,protein-coding gene,gene with protein product
VAPB,approved,VAPB,ENSG00000124164,O95292,protein-coding gene,gene with protein product
VIM,approved,VIM,ENSG00000026025,P08670,protein-coding gene,gene with protein product
WBP4,approved,WBP4,ENSG00000120688,O75554,protein-coding gene,gene with protein product
YIPF6,approved,YIPF6,ENSG00000181704,Q96EC8,protein-coding gene,gene with protein product
ZBTB34,approved,ZBTB34,ENSG00000177125,Q8NCN2,protein-coding gene,gene with protein product
ZBTB41,approved,ZBTB41,ENSG00000177888,Q5SVQ8,protein-coding gene,gene with protein product
ZBTB48,approved,ZBTB48,ENSG00000204859,P10074,protein-coding gene,gene with protein product
ZC2HC1A,approved,ZC2HC1A,ENSG00000104427,Q96GY0,protein-coding gene,gene with protein product
ZC3HAV1,approved,ZC3HAV1,ENSG00000105939,Q7Z2W4,protein-coding gene,gene with protein product
ZDHHC12,approved,ZDHHC12,ENSG00000160446,Q96GR4,protein-coding gene,gene with protein product
ZDHHC4,approved,ZDHHC4,ENSG00000136247,Q9NPG8,protein-coding gene,gene with protein product
ZFP62,approved,ZFP62,ENSG00000196670,Q8NB50,protein-coding gene,gene with protein product
ZHX3,approved,ZHX3,ENSG00000174306,Q9H4I2,protein-coding gene,gene with protein product
ZKSCAN1,approved,ZKSCAN1,ENSG00000106261,P17029,protein-coding gene,gene with protein product
ZKSCAN2,approved,ZKSCAN2,ENSG00000155592,Q63HK3,protein-coding gene,gene with protein product
ZKSCAN3,approved,ZKSCAN3,ENSG00000189298,Q9BRR0,protein-coding gene,gene with protein product
ZNF16,approved,ZNF16,ENSG00000170631,P17020,protein-coding gene,gene with protein product
ZNF174,approved,ZNF174,ENSG00000103343,Q15697,protein-coding gene,gene with protein product
ZNF219,approved,ZNF219,ENSG00000165804,Q9P2Y4,protein-coding gene,gene with protein product
ZNF22,approved,ZNF22,ENSG00000165512,P17026,protein-coding gene,gene with protein product
ZNF25,approved,ZNF25,ENSG00000175395,P17030,protein-coding gene,gene with protein product
ZNF251,approved,ZNF251,ENSG00000198169,Q9BRH9,protein-coding gene,gene with protein product
ZNF280C,approved,ZNF280C,ENSG00000056277,Q8ND82,protein-coding gene,gene with protein product
ZNF282,approved,ZNF282,ENSG00000170265,Q9UDV7,protein-coding gene,gene with protein product
ZNF32,approved,ZNF32,ENSG00000169740,P17041,protein-coding gene,gene with protein product
ZNF324,approved,ZNF324,ENSG00000083812,O75467,protein-coding gene,gene with protein product
ZNF397,approved,ZNF397,ENSG00000186812,Q8NF99,protein-coding gene,gene with protein product
ZNF410,approved,ZNF410,ENSG00000119725,Q86VK4,protein-coding gene,gene with protein product
ZNF444,approved,ZNF444,ENSG00000167685,Q8N0Y2,protein-coding gene,gene with protein product
ZNF462,approved,ZNF462,ENSG00000148143,Q96JM2,protein-coding gene,gene with protein product
ZNF496,approved,ZNF496,ENSG00000162714,Q96IT1,protein-coding gene,gene with protein product
ZNF507,approved,ZNF507,ENSG00000168813,Q8TCN5,protein-coding gene,gene with protein product
ZNF514,approved,ZNF514,ENSG00000144026,Q96K75,protein-coding gene,gene with protein product
ZNF526,approved,ZNF526,ENSG00000167625,Q8TF50,protein-coding gene,gene with protein product
ZNF530,approved,ZNF530,ENSG00000183647,Q6P9A1,protein-coding gene,gene with protein product
ZNF543,approved,ZNF543,ENSG00000178229,Q08ER8,protein-coding gene,gene with protein product
ZNF627,approved,ZNF627,ENSG00000198551,Q7L945,protein-coding gene,gene with protein product
ZNF628,approved,ZNF628,ENSG00000197483,Q5EBL2,protein-coding gene,gene with protein product
ZNF641,approved,ZNF641,ENSG00000167528,Q96N77,protein-coding gene,gene with protein product
ZNF670,approved,ZNF670,ENSG00000277462,Q9BS34,protein-coding gene,gene with protein product
ZNF714,approved,ZNF714,ENSG00000160352,Q96N38,protein-coding gene,gene with protein product
ZNF740,approved,ZNF740,ENSG00000139651,Q8NDX6,protein-coding gene,gene with protein product
ZNF768,approved,ZNF768,ENSG00000169957,Q9H5H4,protein-coding gene,gene with protein product
ZNF777,approved,ZNF777,ENSG00000196453,Q9ULD5,protein-coding gene,gene with protein product
ZNF783,approved,ZNF783,ENSG00000204946,Q6ZMS7,protein-coding gene,gene with protein product
ZNF784,approved,ZNF784,ENSG00000179922,Q8NCA9,protein-coding gene,gene with protein product
ZNF786,approved,ZNF786,ENSG00000197362,Q8N393,protein-coding gene,gene with protein product
ZNF821,approved,ZNF821,ENSG00000102984,O75541,protein-coding gene,gene with protein product
ZRANB3,approved,ZRANB3,ENSG00000121988,Q5FWF4,protein-coding gene,gene with protein product
