model,uses_context,protocol,direction_id,seed,pooled_mse_vs_null,pearson_median,coverage_targets,n_total_params,n_trainable_params,train_seconds,infer_seconds,peak_rss_bytes,artifact_bytes,calibration_label,context_identifiable,verdict_eligible
shrunk_transfer,False,new_context_seen_target,k562_rpe1_to_hepg2,2026,0.9521217309184575,0.13075044831238058,1.0,2,2,4.626353400002699,0.34987809997983277,541700096,3770,cross_context_within_training,True,False
lowrank_linear,True,new_context_seen_target,k562_rpe1_to_hepg2,2026,1.4869308704452873,0.16748472852831559,1.0,58824,531,5.389005900011398,0.06362540001282468,541700096,450086,cross_context_within_training,True,False
lowrank_linear_noctx,False,new_context_seen_target,k562_rpe1_to_hepg2,2026,1.3327704413623558,0.14019901315858224,1.0,58491,198,2.624657100008335,0.05305490002501756,541700096,447594,cross_context_within_training,True,False
compact_mlp,True,new_context_seen_target,k562_rpe1_to_hepg2,2026,10.007891409101346,0.14708786153762388,1.0,163365,163365,2.7026342999888584,0.05797939997864887,541700096,1257728,cross_context_within_training,True,False
compact_mlp_noctx,False,new_context_seen_target,k562_rpe1_to_hepg2,2026,1.3865176383734328,0.13556114183390078,1.0,162477,162477,4.587407800019719,0.05884680000599474,541700096,1250267,cross_context_within_training,True,False
modular_frozen,True,new_context_seen_target,k562_rpe1_to_hepg2,2026,1.0825336734231124,0.15811809121854703,1.0,110733,624,4.966424499987625,0.08885339996777475,541700096,849602,cross_context_within_training,True,False
modular_frozen_noctx,False,new_context_seen_target,k562_rpe1_to_hepg2,2026,1.2110918177269367,0.16970413593188519,1.0,58549,256,5.950742799963336,0.06569479999598116,541700096,448977,cross_context_within_training,True,False
modular_joint,True,new_context_seen_target,k562_rpe1_to_hepg2,2026,2.3650427592162933,0.14783190055651618,1.0,110733,110733,5.631465999991633,0.06747989996802062,541700096,849077,cross_context_within_training,True,False
modular_joint_noctx,False,new_context_seen_target,k562_rpe1_to_hepg2,2026,1.2027916302633246,0.17846733096212297,1.0,110437,110437,3.210224000038579,0.059113600000273436,541700096,846862,cross_context_within_training,True,False
gate_G1,True,new_context_seen_target,k562_rpe1_to_hepg2,2026,0.9521217309184575,0.13075044831238058,1.0,4,4,0.9405078999698162,0.6251541000092402,541700096,5370,cross_context_within_training,True,False
gate_G1_perm,True,new_context_seen_target,k562_rpe1_to_hepg2,2026,0.9521217309184575,0.13075044831238058,1.0,4,4,1.1176909999921918,0.7514220000011846,541700096,5379,cross_context_within_training,True,False
gate_G1_src,False,new_context_seen_target,k562_rpe1_to_hepg2,2026,0.9525189811891112,0.13186349446669768,1.0,4,4,0.6374277999857441,0.23203419998753816,541700096,5373,cross_context_within_training,True,False
gate_G2,True,new_context_seen_target,k562_rpe1_to_hepg2,2026,0.9521217309184575,0.13075044831238058,1.0,5,5,0.7521224000374787,0.48101259995019063,541700096,5370,cross_context_within_training,True,False
gate_G2_perm,True,new_context_seen_target,k562_rpe1_to_hepg2,2026,0.9521217309184575,0.13075044831238058,1.0,5,5,0.5332251999643631,0.3073312999913469,541700096,5379,cross_context_within_training,True,False
gate_G2_src,False,new_context_seen_target,k562_rpe1_to_hepg2,2026,0.9521217309184575,0.13075044831238058,1.0,5,5,1.0011973999789916,0.4611827000044286,541700096,5373,cross_context_within_training,True,False
gate_G3,True,new_context_seen_target,k562_rpe1_to_hepg2,2026,0.9521217309184575,0.13075044831238058,1.0,4,4,0.5379704000079073,0.24471190001349896,541700096,5370,cross_context_within_training,True,False
gate_G3_perm,True,new_context_seen_target,k562_rpe1_to_hepg2,2026,0.9521217309184575,0.13075044831238058,1.0,4,4,0.7594750999705866,0.38958760001696646,541700096,5379,cross_context_within_training,True,False
gate_G3_src,False,new_context_seen_target,k562_rpe1_to_hepg2,2026,0.9521217309184575,0.13075044831238058,1.0,4,4,0.3614151999936439,0.21665620000567287,541700096,5373,cross_context_within_training,True,False
shrunk_transfer,False,new_context_seen_target,k562_rpe1_to_hepg2,2027,0.9494025983398535,0.13299034891893285,1.0,2,2,2.7328462000004947,0.24258380004903302,655081472,3772,cross_context_within_training,True,False
lowrank_linear,True,new_context_seen_target,k562_rpe1_to_hepg2,2027,1.4869308704452873,0.16748472852831559,1.0,58824,531,1.2972679999656975,0.03660029999446124,655081472,450086,cross_context_within_training,True,False
lowrank_linear_noctx,False,new_context_seen_target,k562_rpe1_to_hepg2,2027,1.3327704413623558,0.14019901315858224,1.0,58491,198,1.2176915999734774,0.03439540002727881,655081472,447594,cross_context_within_training,True,False
compact_mlp,True,new_context_seen_target,k562_rpe1_to_hepg2,2027,7.053534124576641,0.034368831313018516,1.0,163365,163365,2.956261800020002,0.03535160003229976,655081472,1257296,cross_context_within_training,True,False
compact_mlp_noctx,False,new_context_seen_target,k562_rpe1_to_hepg2,2027,1.4723783763958436,0.1310884037218783,1.0,162477,162477,6.900979699974414,0.05253820004872978,655081472,1250170,cross_context_within_training,True,False
modular_frozen,True,new_context_seen_target,k562_rpe1_to_hepg2,2027,1.1020556641416428,0.1549724385073361,1.0,110733,624,2.5913542000344023,0.04606130003230646,655081472,849615,cross_context_within_training,True,False
modular_frozen_noctx,False,new_context_seen_target,k562_rpe1_to_hepg2,2027,1.1927900622524268,0.15582420128403396,1.0,58549,256,2.70527720003156,0.03568860003724694,655081472,448969,cross_context_within_training,True,False
modular_joint,True,new_context_seen_target,k562_rpe1_to_hepg2,2027,3.0308323964539854,0.10856629211592807,1.0,110733,110733,2.8679949999786913,0.03522489999886602,655081472,849134,cross_context_within_training,True,False
modular_joint_noctx,False,new_context_seen_target,k562_rpe1_to_hepg2,2027,1.227660058561845,0.13504206493704046,1.0,110437,110437,2.7755227999878116,0.04289989999961108,655081472,846717,cross_context_within_training,True,False
gate_G1,True,new_context_seen_target,k562_rpe1_to_hepg2,2027,0.9546746780887515,0.13542811954042566,1.0,4,4,0.3797569999587722,0.1973308000015095,655081472,5372,cross_context_within_training,True,False
gate_G1_perm,True,new_context_seen_target,k562_rpe1_to_hepg2,2027,0.9535193502816846,0.13347670578378612,1.0,4,4,0.6783123000059277,0.41422189999138936,655081472,5380,cross_context_within_training,True,False
gate_G1_src,False,new_context_seen_target,k562_rpe1_to_hepg2,2027,0.9529168030088295,0.13901061379456386,1.0,4,4,0.4267059999983758,0.1960634000133723,655081472,5375,cross_context_within_training,True,False
gate_G2,True,new_context_seen_target,k562_rpe1_to_hepg2,2027,0.9494025983398535,0.13299034891893285,1.0,5,5,0.4017905999789946,0.18710410001222044,655081472,5372,cross_context_within_training,True,False
gate_G2_perm,True,new_context_seen_target,k562_rpe1_to_hepg2,2027,0.9494025983398535,0.13299034891893285,1.0,5,5,0.8241706000408158,0.23610049998387694,655081472,5381,cross_context_within_training,True,False
gate_G2_src,False,new_context_seen_target,k562_rpe1_to_hepg2,2027,0.9498284908975568,0.13393081293587655,1.0,5,5,0.41448690003016964,0.19051699998090044,655081472,5375,cross_context_within_training,True,False
gate_G3,True,new_context_seen_target,k562_rpe1_to_hepg2,2027,0.9494025983398535,0.13299034891893285,1.0,4,4,0.39247570000588894,0.389587500016205,655081472,5372,cross_context_within_training,True,False
gate_G3_perm,True,new_context_seen_target,k562_rpe1_to_hepg2,2027,0.9494025983398535,0.13299034891893285,1.0,4,4,0.6389741000020877,0.26380660000722855,655081472,5381,cross_context_within_training,True,False
gate_G3_src,False,new_context_seen_target,k562_rpe1_to_hepg2,2027,0.9494025983398535,0.13299034891893285,1.0,4,4,0.3496595000033267,0.1764252000139095,655081472,5375,cross_context_within_training,True,False
shrunk_transfer,False,new_context_seen_target,k562_hepg2_to_rpe1,2026,0.9708634451704068,0.16627115961346686,1.0,2,2,3.038139600015711,0.6464505000039935,661106688,3769,cross_context_within_training,True,False
lowrank_linear,True,new_context_seen_target,k562_hepg2_to_rpe1,2026,0.8740561376121536,0.25740385155328527,1.0,58824,531,2.5734413000172935,0.05418059998191893,661106688,449367,cross_context_within_training,True,False
lowrank_linear_noctx,False,new_context_seen_target,k562_hepg2_to_rpe1,2026,0.8959174416781749,0.22308991848680898,1.0,58491,198,2.2866822000360116,0.09257440001238137,661106688,446873,cross_context_within_training,True,False
compact_mlp,True,new_context_seen_target,k562_hepg2_to_rpe1,2026,7.8620636362638985,0.2126162758983469,1.0,163365,163365,6.961241199984215,0.059304800000973046,661106688,1257201,cross_context_within_training,True,False
compact_mlp_noctx,False,new_context_seen_target,k562_hepg2_to_rpe1,2026,0.9247961087745916,0.221848871425458,1.0,162477,162477,6.345741700031795,0.09659510001074523,661106688,1249993,cross_context_within_training,True,False
modular_frozen,True,new_context_seen_target,k562_hepg2_to_rpe1,2026,0.8865044221171956,0.32281922301193167,1.0,110733,624,2.275209100043867,0.05139070004224777,661106688,848871,cross_context_within_training,True,False
modular_frozen_noctx,False,new_context_seen_target,k562_hepg2_to_rpe1,2026,0.879106630019911,0.30936512176878045,1.0,110437,328,2.3250950000365265,0.04692130000330508,661106688,846023,cross_context_within_training,True,False
modular_joint,True,new_context_seen_target,k562_hepg2_to_rpe1,2026,0.9925846073464836,0.32856774908960645,1.0,110733,110733,3.492007500026375,0.06247200001962483,661106688,848541,cross_context_within_training,True,False
