context,ntc_id,n_cells,mean_library_size,rms_log1p_shift
A,non-targeting-11,400,20688.8325,0.11418122532029244
A,non-targeting-12,400,21334.0125,0.07318737845424816
A,non-targeting-13,400,21051.6425,0.07342585274450797
A,non-targeting-15,400,21372.31,0.07160524984879593
A,non-targeting-17,400,20724.9825,0.07284810216191269
A,non-targeting-20,400,21608.51,0.07609210970160357
A,non-targeting-21,400,21192.725,0.0731553795126632
A,non-targeting-22,400,21352.0975,0.07357762803554914
A,non-targeting-24,400,20781.465,0.0725024264433011
A,non-targeting-25,400,20970.22,0.07172003225671576
A,non-targeting-28,400,20326.075,0.07530145641811384
A,non-targeting-29,400,20822.21,0.07226602873270334
A,non-targeting-3,400,20402.21,0.07220845764759344
A,non-targeting-30,400,21816.165,0.08335959978369277
A,non-targeting-36,400,20709.07,0.07319656064403694
A,non-targeting-37,400,21160.6925,0.07256131071131863
A,non-targeting-39,400,19862.0825,0.08321930203351866
A,non-targeting-40,400,20636.9725,0.07522638648271375
A,non-targeting-44,400,21654.18,0.07299641416875512
A,non-targeting-45,400,21904.3475,0.07243338917472704
A,non-targeting-52,400,21212.8425,0.07419640568722134
A,non-targeting-53,400,21741.165,0.06919535129987144
A,non-targeting-55,400,20817.675,0.07448817048659201
A,non-targeting-58,400,21375.4,0.07142647415371182
A,non-targeting-59,400,20937.6675,0.07426461303946769
A,non-targeting-61,400,20829.9875,0.07615997118226932
A,non-targeting-65,400,20789.2525,0.07277328443532896
A,non-targeting-68,400,21451.545,0.07242465530814605
A,non-targeting-7,400,21913.935,0.07384278513669706
A,non-targeting-70,400,21326.0075,0.07378141613831937
A,non-targeting-71,400,21064.62,0.0723608609397388
A,non-targeting-72,400,21849.47,0.07222321165902185
A,non-targeting-73,400,20724.14,0.07450682513717836
A,non-targeting-74,400,20983.01,0.07241707462226991
A,non-targeting-77,400,21461.125,0.07108221583763245
A,non-targeting-8,400,20757.185,0.07451017700072253
A,non-targeting-80,400,20997.4,0.0745952059969449
A,non-targeting-82,400,21155.4,0.07265015578340223
A,non-targeting-83,400,22023.0025,0.0725273073410784
A,non-targeting-85,400,21123.6075,0.07453096507796861
A,non-targeting-88,400,21421.2375,0.07185468220211484
A,non-targeting-89,400,20550.13,0.07645965325229288
A,non-targeting-91,400,21271.255,0.07094155489406524
A,non-targeting-93,400,20779.7625,0.07221396153785035
A,non-targeting-98,400,21227.9975,0.07062557598255258
A,non-targeting-99,400,21987.025,0.06840173475307633
B,non-targeting-11,400,20060.5975,0.09167409321814833
B,non-targeting-12,400,19206.3175,0.09248595152344358
B,non-targeting-13,400,19790.2675,0.08888517289006602
B,non-targeting-15,400,20364.9,0.08530279281784313
B,non-targeting-17,400,20131.8925,0.08812203694255923
B,non-targeting-20,400,20141.9975,0.08643670166154888
B,non-targeting-21,400,19359.9925,0.09642396669091588
B,non-targeting-22,400,20465.6225,0.08880858139831088
B,non-targeting-24,400,19315.115,0.08570943421407959
B,non-targeting-25,400,20642.5175,0.08563456277030847
B,non-targeting-28,400,19674.22,0.0931641200509291
B,non-targeting-29,400,20373.96,0.08958476589303319
B,non-targeting-3,400,20271.0425,0.09621929302074565
B,non-targeting-30,400,19730.5925,0.0927025543017774
B,non-targeting-36,400,20019.2425,0.08355487047942474
B,non-targeting-37,400,20309.685,0.09434760879496198
B,non-targeting-39,400,20360.385,0.08807596414290947
B,non-targeting-40,400,19940.775,0.08624663520917165
B,non-targeting-44,400,19916.785,0.09135330880653993
B,non-targeting-45,400,19996.8025,0.08734160986463112
B,non-targeting-52,400,19581.155,0.08912328450400155
B,non-targeting-53,400,19911.305,0.08738916010222801
B,non-targeting-55,400,19782.7975,0.0901495873135209
B,non-targeting-58,400,19977.2425,0.09278346035538412
B,non-targeting-59,400,19527.2925,0.09873791605738884
B,non-targeting-61,400,20043.825,0.09366258705767842
B,non-targeting-65,400,20482.52,0.08597832177363715
B,non-targeting-68,400,20266.6175,0.08987412390268532
B,non-targeting-7,400,19414.2,0.09741868251326644
B,non-targeting-70,400,20062.705,0.08986565846133461
B,non-targeting-71,400,19433.72,0.08681460758731524
B,non-targeting-72,400,19590.98,0.08730375549909557
B,non-targeting-73,400,19847.6175,0.08947812654232586
B,non-targeting-74,400,20329.335,0.08479024671469196
B,non-targeting-77,400,20142.085,0.08780003442997318
B,non-targeting-8,400,20090.6225,0.08921524228644767
B,non-targeting-80,400,20111.3725,0.09156367543281295
B,non-targeting-82,400,20344.3675,0.08633932186207134
B,non-targeting-83,400,20506.3125,0.0881836462300773
B,non-targeting-85,400,20196.89,0.08652258818878467
B,non-targeting-88,400,19401.0875,0.08914944252931208
B,non-targeting-89,400,20216.03,0.08992031301417647
B,non-targeting-91,400,19680.0725,0.09066651021816259
B,non-targeting-93,400,19473.1325,0.09010954521416327
B,non-targeting-98,400,20328.865,0.08521419048575152
B,non-targeting-99,400,20722.375,0.08974499641249495
C,non-targeting-11,400,20954.1,0.07588997349147181
C,non-targeting-12,400,21303.2425,0.07432818536865893
C,non-targeting-13,400,21379.185,0.07666686571427339
C,non-targeting-15,400,21341.845,0.07783651323248975
C,non-targeting-17,400,21677.405,0.0760419890749837
C,non-targeting-20,400,20520.965,0.07546414145679665
C,non-targeting-21,400,20383.51,0.07738712138786762
C,non-targeting-22,400,21009.2075,0.07681371569171494
C,non-targeting-24,400,21247.34,0.0758173572339786
C,non-targeting-25,400,21473.03,0.07329624774012723
C,non-targeting-28,400,21540.59,0.07352219981031476
C,non-targeting-29,400,21087.2375,0.07351110996193518
C,non-targeting-3,400,21102.605,0.07450560910974209
C,non-targeting-30,400,22053.7625,0.07621308032284937
C,non-targeting-36,400,21992.9075,0.07512608005605878
C,non-targeting-37,400,20769.18,0.077645721371145
C,non-targeting-39,400,21034.01,0.07928442854349409
C,non-targeting-40,400,21006.31,0.07607887562109857
C,non-targeting-44,400,21063.755,0.0746167419870415
C,non-targeting-45,400,20829.4625,0.08025922410654118
C,non-targeting-52,400,21271.3075,0.07675185338822058
C,non-targeting-53,400,21519.92,0.07404095475089487
C,non-targeting-55,400,20998.5375,0.07725768213559872
