model,uses_context,protocol,direction_id,seed,pooled_mse_vs_null,pearson_median,coverage_targets,n_total_params,n_trainable_params,train_seconds,infer_seconds,peak_rss_bytes,artifact_bytes,calibration_label,context_identifiable,verdict_eligible
lowrank_linear__B0,True,new_context_unseen_target,k562_rpe1_to_hepg2,2026,1.319803384703763,0.1510808327980921,1.0,58680,387,4.856478100002278,0.02351020000060089,361832448,447355,cross_context_within_training,True,False
lowrank_linear__B1,True,new_context_unseen_target,k562_rpe1_to_hepg2,2026,1.621394293526218,0.1491465876018917,1.0,59949,1656,5.752630000002682,0.03223650000290945,361832448,454197,cross_context_within_training,True,False
lowrank_linear__B2,False,new_context_unseen_target,k562_rpe1_to_hepg2,2026,1.4274101546960913,0.13578393263628363,1.0,59616,1323,6.567260599986184,0.027561599999899045,361832448,451689,cross_context_within_training,True,False
lowrank_linear__B3,True,new_context_unseen_target,k562_rpe1_to_hepg2,2026,1.3501310118933862,0.14110371764330953,1.0,59949,1656,4.939095900015673,0.019544099981430918,361832448,454226,cross_context_within_training,True,False
modular_frozen__B0,True,new_context_unseen_target,k562_rpe1_to_hepg2,2026,1.1012097108835663,0.14828151593588149,1.0,110605,496,2.5464334999851417,0.024563799990573898,361832448,846687,cross_context_within_training,True,False
modular_frozen__B1,True,new_context_unseen_target,k562_rpe1_to_hepg2,2026,1.116295011679393,0.15451728370541418,1.0,59845,1552,1.916863699996611,0.0163170000014361,361832448,458261,cross_context_within_training,True,False
modular_frozen__B2,False,new_context_unseen_target,k562_rpe1_to_hepg2,2026,1.4801972965075803,0.11781767728652454,1.0,111437,1328,5.476708300004248,0.0192770000139717,361832448,853215,cross_context_within_training,True,False
modular_frozen__B3,True,new_context_unseen_target,k562_rpe1_to_hepg2,2026,1.1165054288073586,0.15439972115100142,1.0,59845,1552,2.2400452999863774,0.01809649998904206,361832448,458289,cross_context_within_training,True,False
lowrank_linear__B0,True,new_context_unseen_target,k562_rpe1_to_hepg2,2027,1.3037410543854129,0.17155804563518823,1.0,58680,387,6.453057900012936,0.031226699997205287,361832448,447473,cross_context_within_training,True,False
lowrank_linear__B1,True,new_context_unseen_target,k562_rpe1_to_hepg2,2027,1.3375033791176505,0.16087403826847863,1.0,59949,1656,3.3699494999891613,0.019782000017585233,361832448,453984,cross_context_within_training,True,False
lowrank_linear__B2,False,new_context_unseen_target,k562_rpe1_to_hepg2,2027,1.1861288025255516,0.15925323173167286,1.0,59616,1323,4.289016499998979,0.02714280001237057,361832448,451453,cross_context_within_training,True,False
lowrank_linear__B3,True,new_context_unseen_target,k562_rpe1_to_hepg2,2027,1.4345012979093084,0.16408798457065815,1.0,59949,1656,5.425987200025702,0.07935820001875982,361832448,453915,cross_context_within_training,True,False
modular_frozen__B0,True,new_context_unseen_target,k562_rpe1_to_hepg2,2027,1.052398461750441,0.16939824264196024,1.0,58717,424,5.015881800005445,0.01871279999613762,361832448,449097,cross_context_within_training,True,False
modular_frozen__B1,True,new_context_unseen_target,k562_rpe1_to_hepg2,2027,1.0480092611128653,0.17362730194025133,1.0,111733,1624,2.8639661000052,0.020942900009686127,361832448,856148,cross_context_within_training,True,False
modular_frozen__B2,False,new_context_unseen_target,k562_rpe1_to_hepg2,2027,1.242739088703123,0.13763129747407832,1.0,111437,1328,3.108831499994267,0.0329626000020653,361832448,853380,cross_context_within_training,True,False
modular_frozen__B3,True,new_context_unseen_target,k562_rpe1_to_hepg2,2027,1.063156800808033,0.1722614205822349,1.0,111733,1624,3.4486098999914248,0.027838900015922263,361832448,856167,cross_context_within_training,True,False
lowrank_linear__B0,True,new_context_unseen_target,k562_hepg2_to_rpe1,2026,0.8824734284236118,0.34652630992695405,1.0,58680,387,3.674671799992211,0.024318000010680407,361832448,446870,cross_context_within_training,True,False
lowrank_linear__B1,True,new_context_unseen_target,k562_hepg2_to_rpe1,2026,0.9138702454192904,0.26999524174259776,1.0,59949,1656,4.740407199977199,0.017901400016853586,361832448,453683,cross_context_within_training,True,False
lowrank_linear__B2,False,new_context_unseen_target,k562_hepg2_to_rpe1,2026,0.9356317484561558,0.24776980527354048,1.0,59616,1323,4.010520799987717,0.03726849998929538,361832448,451180,cross_context_within_training,True,False
lowrank_linear__B3,True,new_context_unseen_target,k562_hepg2_to_rpe1,2026,0.9089477359178282,0.27989996719582066,1.0,59949,1656,4.4468809999816585,0.02150709999841638,361832448,453724,cross_context_within_training,True,False
modular_frozen__B0,True,new_context_unseen_target,k562_hepg2_to_rpe1,2026,0.8824588027298768,0.3146380259715662,1.0,110605,496,2.158186399989063,0.03484459998435341,361832448,846205,cross_context_within_training,True,False
modular_frozen__B1,True,new_context_unseen_target,k562_hepg2_to_rpe1,2026,0.875509167102625,0.3481459996082781,1.0,59845,1552,4.489430900022853,0.02427909997641109,361832448,457781,cross_context_within_training,True,False
modular_frozen__B2,False,new_context_unseen_target,k562_hepg2_to_rpe1,2026,0.9393144615788861,0.2397288704169972,1.0,59549,1256,2.837255799997365,0.019488299993099645,361832448,455015,cross_context_within_training,True,False
modular_frozen__B3,True,new_context_unseen_target,k562_hepg2_to_rpe1,2026,0.8781245805854849,0.3461578286531579,1.0,59845,1552,2.2617895000148565,0.020476700010476634,361832448,457800,cross_context_within_training,True,False
lowrank_linear__B0,True,new_context_unseen_target,k562_hepg2_to_rpe1,2027,0.8784656321136979,0.36231356952832394,1.0,58680,387,4.0044918000057805,0.02004640002269298,361832448,446811,cross_context_within_training,True,False
lowrank_linear__B1,True,new_context_unseen_target,k562_hepg2_to_rpe1,2027,0.9075745602949108,0.3040291591682993,1.0,59949,1656,3.5542986000073142,0.023487099999329075,361832448,453293,cross_context_within_training,True,False
lowrank_linear__B2,False,new_context_unseen_target,k562_hepg2_to_rpe1,2027,0.9257345048254454,0.2365925656402673,1.0,59616,1323,4.619929800013779,0.023355499986791983,361832448,450785,cross_context_within_training,True,False
lowrank_linear__B3,True,new_context_unseen_target,k562_hepg2_to_rpe1,2027,0.917990086663029,0.29878410205093364,1.0,59949,1656,3.477981699979864,0.021716200019000098,361832448,453252,cross_context_within_training,True,False
modular_frozen__B0,True,new_context_unseen_target,k562_hepg2_to_rpe1,2027,0.8819892206252734,0.3366002806936206,1.0,58717,424,2.727649099979317,0.03640859998995438,361832448,448411,cross_context_within_training,True,False
modular_frozen__B1,True,new_context_unseen_target,k562_hepg2_to_rpe1,2027,0.878948722481115,0.33492590725612614,1.0,111733,1624,1.9667964999971446,0.020633400010410696,361832448,855522,cross_context_within_training,True,False
modular_frozen__B2,False,new_context_unseen_target,k562_hepg2_to_rpe1,2027,0.9394791745789816,0.20313744142746087,1.0,111437,1328,1.6051699999952689,0.015213800012134016,361832448,852753,cross_context_within_training,True,False
modular_frozen__B3,True,new_context_unseen_target,k562_hepg2_to_rpe1,2027,0.8751574225053687,0.3407474471772883,1.0,111733,1624,1.4119465999829117,0.015439400012837723,361832448,855520,cross_context_within_training,True,False
lowrank_linear__B0,True,new_context_unseen_target,rpe1_hepg2_to_k562,2026,1.0773410997498039,0.1023220670612636,1.0,58680,387,4.22856600000523,0.020067300007212907,361832448,447500,cross_context_within_training,True,False
lowrank_linear__B1,True,new_context_unseen_target,rpe1_hepg2_to_k562,2026,1.2311930474278643,0.08879741008173549,1.0,59949,1656,3.8723149000143167,0.022162900015246123,361832448,454339,cross_context_within_training,True,False
lowrank_linear__B2,False,new_context_unseen_target,rpe1_hepg2_to_k562,2026,1.4761185759857833,0.09250724474742225,1.0,59616,1323,3.3735124000231735,0.02520779997576028,361832448,451830,cross_context_within_training,True,False
lowrank_linear__B3,True,new_context_unseen_target,rpe1_hepg2_to_k562,2026,1.1103100915480864,0.07076105685986928,1.0,59949,1656,3.72049799998058,0.02237990000867285,361832448,454373,cross_context_within_training,True,False
