symbol,how,n_uniprot,n_go_direct,n_slim_bits
AAAS,approved,1,14,11
AAMP,approved,1,9,4
AAR2,approved,1,6,4
AARS,alias->AARS1,1,25,12
AARS2,approved,1,16,10
AASDHPPT,approved,1,8,7
AATF,approved,1,14,8
ABCB10,approved,1,20,11
ABCB7,approved,1,24,8
ABCD1,approved,1,50,16
ABCE1,approved,1,21,10
ABCF1,approved,1,12,10
ABCG1,approved,1,48,17
ABHD11,approved,1,7,5
ABHD17A,approved,1,19,8
ABT1,approved,1,14,9
AC118549.1,unmapped,0,0,0
ACD,approved,1,23,8
ACIN1,approved,1,17,12
ACLY,approved,1,23,11
ACOT12,approved,1,13,7
ACSS2,approved,1,18,14
ACTB,approved,1,95,27
ACTL6A,approved,1,52,13
ACTR10,approved,1,12,11
ACTR1A,approved,1,13,8
ACTR1B,approved,1,14,8
ACTR2,approved,1,24,15
ACTR3,approved,1,22,12
ACTR5,approved,1,17,9
ACTR6,approved,1,12,9
ACTR8,approved,1,20,10
ADAM10,approved,1,64,18
ADAT2,approved,1,12,10
ADAT3,approved,1,9,8
ADNP,approved,1,34,15
ADNP2,approved,1,8,7
ADRM1,approved,1,21,12
ADSL,approved,1,19,6
AFG3L2,approved,1,24,11
AGBL5,approved,1,12,8
AGO1,approved,1,28,10
AHCTF1,approved,1,16,9
AHCY,approved,1,9,13
AIFM1,approved,1,35,12
AKAP1,approved,1,10,7
AKIRIN1,approved,1,12,8
AKIRIN2,approved,1,23,11
AKT2,approved,1,38,14
ALDOA,approved,1,35,18
ALG1,approved,1,10,6
ALG11,approved,1,8,6
ALG12,approved,1,11,8
ALG13,approved,1,8,6
ALG14,approved,1,7,5
ALG1L,alias->ALG1L1P,0,0,0
ALG2,approved,1,12,6
ALYREF,approved,1,21,11
ANAPC1,approved,1,13,7
ANAPC10,approved,1,14,9
ANAPC11,approved,1,25,10
ANAPC13,approved,1,10,3
ANAPC15,approved,1,12,5
ANAPC2,approved,1,19,6
ANAPC4,approved,1,16,8
ANAPC5,approved,1,14,6
ANKLE2,approved,1,14,7
ANKRD11,approved,1,8,5
ANKRD17,approved,1,18,7
ANKRD39,approved,1,3,0
ANKRD49,approved,1,3,3
ANKRD52,approved,1,1,0
ANKS6,approved,1,3,2
ANKZF1,approved,1,10,5
ANLN,approved,1,18,11
