#Archive/File	Name	Time	Size	Type
Archive	GSE247601_RAW.tar	08/22/2024 00:32:17	4628551680	TAR
File	GSM7897840_barcodes.tsv.gz	11/13/2023 13:01:06	7286480	TSV
File	GSM7897840_features.tsv.gz	11/13/2023 13:01:06	294596	TSV
File	GSM7897840_matrix.mtx.gz	11/13/2023 13:02:06	233118915	MTX
File	GSM7897841_JKLAT-LRA-Positive_barcodes.tsv.gz	11/12/2023 17:08:50	7789202	TSV
File	GSM7897841_JKLAT-LRA-Positive_features.tsv.gz	11/12/2023 17:09:02	294883	TSV
File	GSM7897841_JKLAT-LRA-Positive_matrix.mtx.gz	11/12/2023 17:14:41	178772978	MTX
File	GSM7897842_JKLAT-LRA-Negative_barcodes.tsv.gz	11/12/2023 17:12:52	8260887	TSV
File	GSM7897842_JKLAT-LRA-Negative_features.tsv.gz	11/12/2023 17:12:41	294883	TSV
File	GSM7897842_JKLAT-LRA-Negative_matrix.mtx.gz	11/12/2023 17:36:38	210257905	MTX
File	GSM7897843_JKLAT-NoDrug_barcodes.tsv.gz	11/12/2023 17:09:02	8387830	TSV
File	GSM7897843_JKLAT-NoDrug_features.tsv.gz	11/12/2023 17:09:03	294883	TSV
File	GSM7897843_JKLAT-NoDrug_matrix.mtx.gz	11/12/2023 17:12:41	219663436	MTX
File	GSM7951413_channel1_guides_barcode.tsv.gz	11/22/2023 21:01:13	18350144	TSV
File	GSM7951413_channel1_guides_features.tsv.gz	11/22/2023 21:01:14	425955	TSV
File	GSM7951413_channel1_guides_matrix.mtx.gz	11/22/2023 21:01:51	21910599	MTX
File	GSM7951413_channel1_labels_barcode.tsv.gz	11/22/2023 21:00:38	18350144	TSV
File	GSM7951413_channel1_labels_features.tsv.gz	11/22/2023 20:58:25	111	TSV
File	GSM7951413_channel1_labels_matrix.mtx.gz	11/22/2023 21:00:46	6566664	MTX
File	GSM7951413_channel1_transcriptome_barcode.tsv.gz	11/22/2023 21:02:53	18350144	TSV
File	GSM7951413_channel1_transcriptome_features.tsv.gz	11/22/2023 21:01:38	185493	TSV
File	GSM7951413_channel1_transcriptome_matrix.mtx.gz	11/22/2023 21:01:35	150091346	MTX
