context,source,target,n_cells,n_rows,n_control_cells,n_genes_measured,supported_ge_10,supported_ge_30,supported_ge_50
HepG2,nadig_hepg2,AAAS,39.0,1,96.82051282051283,9023,True,True,False
HepG2,nadig_hepg2,AAMP,19.0,1,90.42105263157896,9023,True,False,False
HepG2,nadig_hepg2,AAR2,38.0,1,95.49999999999999,9023,True,True,False
HepG2,nadig_hepg2,AARS,53.0,1,96.00000000000001,9023,True,True,True
HepG2,nadig_hepg2,AARS2,24.0,1,95.45833333333333,9023,True,False,False
HepG2,nadig_hepg2,AASDHPPT,26.0,1,96.26923076923077,9023,True,False,False
HepG2,nadig_hepg2,AATF,51.0,1,97.1372549019608,9023,True,True,True
HepG2,nadig_hepg2,ABCB10,22.0,1,92.0909090909091,9023,True,False,False
HepG2,nadig_hepg2,ABCB7,71.0,1,91.26760563380282,9023,True,True,True
HepG2,nadig_hepg2,ABCE1,27.0,1,88.33333333333333,9023,True,False,False
HepG2,nadig_hepg2,ABCF1,96.0,1,96.1875,9023,True,True,True
HepG2,nadig_hepg2,ABCG1,57.0,1,93.9298245614035,9023,True,True,True
HepG2,nadig_hepg2,ABHD11,33.0,1,94.60606060606058,9023,True,True,False
HepG2,nadig_hepg2,ABHD17A,45.0,1,96.95555555555555,9023,True,True,False
HepG2,nadig_hepg2,ABT1,108.0,1,92.7222222222222,9023,True,True,True
HepG2,nadig_hepg2,AC118549.1,27.0,1,97.59259259259258,9023,True,False,False
HepG2,nadig_hepg2,ACD,20.0,1,92.15,9023,True,False,False
HepG2,nadig_hepg2,ACIN1,78.0,1,95.12820512820514,9023,True,True,True
HepG2,nadig_hepg2,ACOT12,80.0,1,92.0875,9023,True,True,True
HepG2,nadig_hepg2,ACSS2,33.0,1,90.93939393939394,9023,True,True,False
HepG2,nadig_hepg2,ACTB,47.0,1,96.21276595744682,9023,True,True,False
HepG2,nadig_hepg2,ACTR10,25.0,1,92.44,9023,True,False,False
HepG2,nadig_hepg2,ACTR1A,39.0,1,91.76923076923077,9023,True,True,False
HepG2,nadig_hepg2,ACTR1B,42.0,1,93.16666666666667,9023,True,True,False
HepG2,nadig_hepg2,ACTR2,79.0,1,94.02531645569618,9023,True,True,True
HepG2,nadig_hepg2,ACTR3,32.0,1,95.125,9023,True,True,False
HepG2,nadig_hepg2,ACTR5,43.0,1,92.86046511627906,9023,True,True,False
HepG2,nadig_hepg2,ACTR6,51.0,1,92.70588235294117,9023,True,True,True
HepG2,nadig_hepg2,ACTR8,70.0,1,92.45714285714286,9023,True,True,True
HepG2,nadig_hepg2,ADAM10,161.0,1,92.36645962732919,9023,True,True,True
HepG2,nadig_hepg2,ADAT2,29.0,1,93.6896551724138,9023,True,False,False
HepG2,nadig_hepg2,ADAT3,119.0,1,92.67226890756304,9023,True,True,True
HepG2,nadig_hepg2,ADNP2,22.0,1,92.86363636363639,9023,True,False,False
HepG2,nadig_hepg2,ADRM1,49.0,1,96.59183673469386,9023,True,True,False
HepG2,nadig_hepg2,ADSL,26.0,1,92.92307692307693,9023,True,False,False
HepG2,nadig_hepg2,AFG3L2,36.0,1,94.19444444444444,9023,True,True,False
HepG2,nadig_hepg2,AGBL5,50.0,1,94.4,9023,True,True,True
HepG2,nadig_hepg2,AHCTF1,64.0,1,91.0,9023,True,True,True
HepG2,nadig_hepg2,AHCY,19.0,1,96.94736842105262,9023,True,False,False
HepG2,nadig_hepg2,AIFM1,39.0,1,95.56410256410257,9023,True,True,False
HepG2,nadig_hepg2,AKIRIN2,92.0,1,95.31521739130437,9023,True,True,True
HepG2,nadig_hepg2,ALDOA,98.0,1,93.70408163265306,9023,True,True,True
HepG2,nadig_hepg2,ALG1,28.0,1,95.85714285714286,9023,True,False,False
HepG2,nadig_hepg2,ALG11,32.0,1,92.15625,9023,True,True,False
HepG2,nadig_hepg2,ALG13,30.0,1,86.16666666666667,9023,True,True,False
HepG2,nadig_hepg2,ALG14,24.0,1,93.54166666666666,9023,True,False,False
HepG2,nadig_hepg2,ALG1L,70.0,1,91.68571428571428,9023,True,True,True
HepG2,nadig_hepg2,ALG2,42.0,1,95.4047619047619,9023,True,True,False
HepG2,nadig_hepg2,ALYREF,28.0,1,96.10714285714286,9023,True,False,False
HepG2,nadig_hepg2,ANAPC1,78.0,1,94.51282051282051,9023,True,True,True
HepG2,nadig_hepg2,ANAPC10,37.0,1,94.2972972972973,9023,True,True,False
HepG2,nadig_hepg2,ANAPC11,80.0,1,93.2375,9023,True,True,True
HepG2,nadig_hepg2,ANAPC13,56.0,1,96.30357142857143,9023,True,True,True
HepG2,nadig_hepg2,ANAPC15,200.0,1,93.69500000000004,9023,True,True,True
HepG2,nadig_hepg2,ANAPC2,56.0,1,94.57142857142856,9023,True,True,True
HepG2,nadig_hepg2,ANAPC4,22.0,1,86.13636363636363,9023,True,False,False
HepG2,nadig_hepg2,ANAPC5,61.0,1,92.16393442622952,9023,True,True,True
HepG2,nadig_hepg2,ANKLE2,102.0,1,95.42156862745098,9023,True,True,True
HepG2,nadig_hepg2,ANKRD11,102.0,1,94.57843137254902,9023,True,True,True
HepG2,nadig_hepg2,ANKRD17,31.0,1,94.64516129032256,9023,True,True,False
HepG2,nadig_hepg2,ANKRD39,32.0,1,91.3125,9023,True,True,False
HepG2,nadig_hepg2,ANKRD49,42.0,1,93.42857142857143,9023,True,True,False
HepG2,nadig_hepg2,ANKS6,63.0,1,94.76190476190474,9023,True,True,True
HepG2,nadig_hepg2,ANLN,12.0,1,98.83333333333333,9023,True,False,False
HepG2,nadig_hepg2,AP2A1,28.0,1,94.7857142857143,9023,True,False,False
HepG2,nadig_hepg2,AP2M1,44.0,1,93.29545454545455,9023,True,True,False
HepG2,nadig_hepg2,AP2S1,14.0,1,95.42857142857142,9023,True,False,False
HepG2,nadig_hepg2,AQP7,56.0,1,92.89285714285714,9023,True,True,True
HepG2,nadig_hepg2,AQR,12.0,1,94.24999999999999,9023,True,False,False
HepG2,nadig_hepg2,ARCN1,94.0,1,91.98936170212767,9023,True,True,True
HepG2,nadig_hepg2,ARF4,25.0,1,95.2,9023,True,False,False
HepG2,nadig_hepg2,ARFRP1,40.0,1,96.5,9023,True,True,False
HepG2,nadig_hepg2,ARGFX,48.0,1,93.49999999999999,9023,True,True,False
HepG2,nadig_hepg2,ARGLU1,48.0,1,94.60416666666666,9023,True,True,False
HepG2,nadig_hepg2,ARHGAP11B,27.0,1,96.62962962962962,9023,True,False,False
HepG2,nadig_hepg2,ARHGAP6,50.0,1,92.34,9023,True,True,True
HepG2,nadig_hepg2,ARID3A,32.0,1,90.53125,9023,True,True,False
HepG2,nadig_hepg2,ARID5B,42.0,1,91.33333333333333,9023,True,True,False
HepG2,nadig_hepg2,ARIH1,12.0,1,91.24999999999999,9023,True,False,False
