rank,model,overall,pds_sc,pds_raw,mse_sc,mse_raw,jac_sc,jac_raw,nmae_sc,nmae_raw,fid_sc,fid_raw,reach_sc,reach_raw,submissions,last_seen
1,PerturbationAI,0.2916,0.830,0.874,0.267,0.734,0.001,0.031,0.220,0.870,0.085,0.538,0.347,0.386,30,6h ago
2,m0916d,0.2741,0.824,0.871,0.354,0.652,0.017,0.037,0.211,0.873,-0.024,0.505,0.263,0.313,53,9h ago
3,CellWM-42,0.2540,0.802,0.861,0.284,0.718,0.046,0.048,0.179,0.894,-0.004,0.511,0.216,0.270,42,5h ago
4,nailong,0.2459,0.789,0.855,0.257,0.743,0.005,0.032,0.160,0.903,0.036,0.523,0.229,0.282,22,17h ago
5,Nocturne,0.2426,0.719,0.824,0.150,0.845,0.028,0.041,0.281,0.833,0.039,0.524,0.238,0.290,17,18h ago
6,GeroAI_v66,0.2379,0.760,0.843,0.218,0.780,-0.001,0.030,0.169,0.898,0.019,0.518,0.262,0.311,29,17h ago
7,pm-r15e,0.2277,0.748,0.838,0.250,0.751,-0.009,0.027,0.143,0.913,0.004,0.513,0.231,0.283,43,Now
8,v47,0.2267,0.740,0.834,0.247,0.753,0.012,0.035,0.133,0.919,0.011,0.516,0.217,0.272,44,1h ago
9,maple_45,0.2252,0.756,0.841,0.254,0.747,-0.009,0.027,0.120,0.927,-0.002,0.512,0.233,0.285,27,12h ago
10,dc-47,0.2246,0.762,0.844,0.219,0.779,0.011,0.034,0.140,0.915,0.012,0.516,0.203,0.259,43,1h ago
493,trial-01-transfer k01pack a=0.197 sd=4,0.0459,0.413,0.687,0.000,1.231,-0.003,0.029,0.027,0.985,-0.182,0.458,0.021,0.098,1,3d ago
