target,col,gene,dist,orient,prior_ln
ABCD1,14942,BCAP31,1462,convergent,-0.48907369723930433
ACLY,16723,TTC25,48,divergent,-0.49102841304985284
ALG12,14604,CRELD2,484,convergent,-0.5763821719579388
ANKRD52,6823,COQ10A,8181,divergent,-0.10151154928144687
ANKZF1,16445,ATG9A,614,convergent,-0.6096174038210658
AP2A2,13613,CHID1,9302,divergent,-0.10151154928144687
BCKDK,2742,KAT8,8382,tandem,-0.1894863426972551
BCL7C,8926,CTF1,2305,divergent,-0.19193340670806908
C5orf22,4037,DROSHA,908,convergent,-0.6096174038210658
CHD3,14386,NAA38,451,convergent,-0.5763821719579388
CHKB,222,MAPK8IP2,796,convergent,-0.6096174038210658
CLCN6,13483,MTHFR,359,convergent,-0.5763821719579388
DCAF16,3585,NCAPG,86,divergent,-0.49102841304985284
DHRS1,15893,NOP9,311,convergent,-0.5763821719579388
DHRS1,17081,LTB4R2,5598,divergent,-0.10151154928144687
DNTTIP1,5271,WFDC3,5,divergent,-0.49102841304985284
E2F4,15665,KIAA0895L,7889,divergent,-0.10151154928144687
E2F4,13794,EXOC3L1,1875,divergent,-0.4694946434253447
E2F4,2633,ELMO3,6988,tandem,-0.1894863426972551
ELK1,5640,UXT,8697,tandem,-0.1894863426972551
EPM2AIP1,1296,MLH1,297,convergent,-0.5763821719579388
FAM120A,15553,FAM120AOS,1952,convergent,-0.48907369723930433
FHL3,14479,UTP11,2731,divergent,-0.19193340670806908
GLYR1,4699,UBN1,678,convergent,-0.6096174038210658
HMGXB3,10855,TIGD6,1114,convergent,-0.48907369723930433
HOMEZ,5927,BCL2L2,1006,convergent,-0.48907369723930433
HOMEZ,17545,PPP1R3E,3154,tandem,-0.2872711493507153
KDM5A,4906,CCDC77,316,convergent,-0.5763821719579388
KHSRP,14099,SLC25A41,8955,tandem,-0.1894863426972551
LMBRD2,8389,SKP2,13,divergent,-0.49102841304985284
MAPK12,14855,MAPK11,8916,tandem,-0.1894863426972551
MAPK7,3449,B9D1,472,convergent,-0.5763821719579388
MAPK7,11388,MFAP4,9482,convergent,-0.1894863426972551
MED15,2067,KLHL22,980,convergent,-0.6096174038210658
MED25,256,FUZ,893,divergent,-0.6130928727315555
MLLT10,14007,SKIDA1,1784,convergent,-0.48907369723930433
MYD88,801,ACAA1,905,divergent,-0.6130928727315555
NABP2,14177,RNF41,2297,convergent,-0.2872711493507153
NABP2,7547,SLC39A5,8061,tandem,-0.1894863426972551
NAIF1,8727,SLC25A25,37,convergent,-0.5763821719579388
NFE2L1,86,COPZ2,9859,divergent,-0.10151154928144687
NGLY1,8997,OXSM,7122,convergent,-0.1894863426972551
NICN1,8324,AMT,6646,tandem,-0.1894863426972551
NIPAL3,10,STPG1,3419,convergent,-0.2872711493507153
NUP37,14869,PARPBP,136,convergent,-0.5763821719579388
PAN2,3711,IL23A,121,divergent,-0.49102841304985284
PARP3,4185,RRP9,306,divergent,-0.49102841304985284
PBLD,2004,HNRNPH3,2940,convergent,-0.2872711493507153
PCGF1,13862,LBX2,5045,tandem,-0.1894863426972551
PCGF1,4264,TLX2,5102,divergent,-0.10151154928144687
PDE6D,8255,COPS7B,4612,convergent,-0.2872711493507153
PHF23,69,DVL2,5184,tandem,-0.1894863426972551
PHF23,12240,GABARAP,2764,tandem,-0.2872711493507153
PIM2,2547,SLC35A2,7588,tandem,-0.1894863426972551
PIN1,5709,FBXL12,7441,divergent,-0.10151154928144687
PIN1,16225,UBL5,7370,tandem,-0.1894863426972551
PLAGL2,2427,POFUT1,85,divergent,-0.49102841304985284
PNP,2316,APEX1,7467,tandem,-0.1894863426972551
PNP,1898,OSGEP,6903,divergent,-0.10151154928144687
PNP,11208,PIP4P1,375,divergent,-0.49102841304985284
PPIP5K2,8405,GIN1,77,convergent,-0.5763821719579388
PQBP1,5643,TIMM17B,7946,convergent,-0.1894863426972551
PRMT7,2671,SLC7A6OS,52,convergent,-0.5763821719579388
PSKH1,15368,NRN1L,8376,tandem,-0.1894863426972551
PSMB9,16586,TAP2,5334,divergent,-0.10151154928144687
PSMB9,16585,PSMB8,543,convergent,-0.6096174038210658
PSMB9,11835,TAP1,9890,convergent,-0.1894863426972551
PTMS,1792,MLF2,3416,convergent,-0.2872711493507153
PTMS,1791,LAG3,6844,tandem,-0.1894863426972551
PYCR1,14796,MYADML2,4821,tandem,-0.2872711493507153
RAB5A,10610,EFHB,43,divergent,-0.49102841304985284
RABEP2,13549,CD19,4561,convergent,-0.2872711493507153
RBM18,8707,MRRF,714,convergent,-0.6096174038210658
RC3H2,15013,ZBTB6,7820,tandem,-0.1894863426972551
RNF10,3697,COQ5,954,convergent,-0.6096174038210658
RSRC1,11916,SHOX2,745,convergent,-0.6096174038210658
SEMA4F,9939,M1AP,5876,divergent,-0.10151154928144687
SH2D3A,7883,VAV1,4567,divergent,-0.19193340670806908
SLC39A1,8116,CREB3L4,4948,convergent,-0.2872711493507153
SLC39A1,8106,JTB,9344,tandem,-0.1894863426972551
SLIRP,2279,ALKBH1,7,divergent,-0.49102841304985284
SSR4,991,IDH3G,1019,convergent,-0.48907369723930433
STAT6,5199,LRP1,3663,convergent,-0.2872711493507153
STK3,11010,OSR2,2711,convergent,-0.2872711493507153
STT3A,8874,FEZ1,866,convergent,-0.6096174038210658
SUPT7L,10684,SLC4A1AP,421,convergent,-0.5763821719579388
TARBP2,7560,MAP3K12,858,divergent,-0.6130928727315555
TBCK,10750,AIMP1,1139,convergent,-0.48907369723930433
TESK2,18410,CCDC163,8960,tandem,-0.1894863426972551
TESK2,6401,MMACHC,8983,divergent,-0.10151154928144687
THAP7,2076,P2RX6,7612,divergent,-0.10151154928144687
TIMM17B,2548,PQBP1,7946,convergent,-0.1894863426972551
TMCO6,12279,CD14,5685,divergent,-0.10151154928144687
TMCO6,4008,IK,7662,tandem,-0.1894863426972551
TMCO6,6224,NDUFA2,8427,convergent,-0.1894863426972551
TMEM104,3505,NAT9,93,divergent,-0.49102841304985284
