held_out,shape,arm,target,pds,reach,has_neighbour_5kb
k562,t16,base,ACLY,0.9962962962962963,0.17391304347826086,True
k562,t16,base,ADNP,1.0,0.11650485436893204,False
k562,t16,base,AGO1,0.7037037037037037,0.025,False
k562,t16,base,AKAP1,0.9074074074074074,0.25,False
k562,t16,base,AKIRIN1,0.6851851851851851,0.018518518518518517,False
k562,t16,base,AKT2,1.0,0.08461538461538462,False
k562,t16,base,ALG12,0.8740740740740741,0.15151515151515152,True
k562,t16,base,ANKRD52,0.3407407407407408,0.0,False
k562,t16,base,ANKZF1,1.0,0.045454545454545456,True
k562,t16,base,ANP32B,1.0,0.01990049751243781,False
k562,t16,base,AP2A2,0.9666666666666667,0.09523809523809523,False
k562,t16,base,API5,1.0,0.06896551724137931,False
k562,t16,base,ARL14EP,0.9851851851851852,0.06382978723404255,False
k562,t16,base,ASCC2,0.8481481481481481,0.07407407407407407,False
k562,t16,base,BCKDK,0.8444444444444444,0.0,False
k562,t16,base,BCL6,0.8148148148148149,0.045454545454545456,False
k562,t16,base,BCL7C,0.9592592592592593,0.125,True
k562,t16,base,BRD1,0.9888888888888889,0.0,False
k562,t16,base,BRPF1,1.0,0.03278688524590164,False
k562,t16,base,CAND1,0.9037037037037037,0.21153846153846154,False
k562,t16,base,CARM1,1.0,0.11475409836065574,False
k562,t16,base,CAT,0.7407407407407407,0.0,False
k562,t16,base,CCDC112,0.9333333333333333,0.045454545454545456,False
k562,t16,base,CDK8,0.8962962962962963,0.07142857142857142,False
k562,t16,base,CHD3,0.7444444444444445,0.0625,True
k562,t16,base,CHD6,0.9740740740740741,0.046153846153846156,False
k562,t16,base,CHKB,0.962962962962963,0.014598540145985401,True
k562,t16,base,CLCN6,0.9555555555555556,0.03125,True
k562,t16,base,COIL,1.0,0.06666666666666667,False
k562,t16,base,COMMD8,0.5074074074074074,0.1111111111111111,False
k562,t16,base,COQ10B,0.9962962962962963,0.06896551724137931,False
k562,t16,base,CSNK2A1,1.0,0.043478260869565216,False
k562,t16,base,CYTH2,0.5407407407407407,0.12,False
k562,t16,base,DBF4B,0.3407407407407408,0.038461538461538464,False
k562,t16,base,DBN1,0.7703703703703704,0.014492753623188406,False
k562,t16,base,DCAF16,0.437037037037037,0.017543859649122806,True
k562,t16,base,DCP2,1.0,0.2578397212543554,False
k562,t16,base,DDHD1,0.9888888888888889,0.15555555555555556,False
k562,t16,base,DEAF1,0.09999999999999998,0.13636363636363635,False
k562,t16,base,DEK,0.9814814814814815,0.10256410256410256,False
k562,t16,base,DHRS1,0.9703703703703703,0.23076923076923078,True
k562,t16,base,DHX35,1.0,0.0,False
k562,t16,base,DLAT,0.7851851851851852,0.0,False
k562,t16,base,DMTF1,0.4925925925925926,0.03225806451612903,False
k562,t16,base,DNTTIP1,1.0,0.15714285714285714,True
k562,t16,base,DRG2,0.8296296296296296,0.4642857142857143,False
k562,t16,base,DTNBP1,0.6370370370370371,0.05555555555555555,False
k562,t16,base,DVL3,0.09999999999999998,0.0,False
k562,t16,base,E2F1,1.0,0.029411764705882353,False
k562,t16,base,E2F4,0.8111111111111111,0.07692307692307693,True
k562,t16,base,EAPP,0.9962962962962963,0.0,False
k562,t16,base,EEF1A2,0.8740740740740741,0.0625,False
k562,t16,base,ELK1,1.0,0.13636363636363635,False
k562,t16,base,EPC2,1.0,0.0,False
k562,t16,base,EPM2AIP1,1.0,0.13414634146341464,True
k562,t16,base,EZH2,1.0,0.211864406779661,False
