bin,divergent,n,mean_log2,median_log2,share_below_minus_half
"[0, 500)",True,318,-0.7084042564426003,-0.44350134394270274,0.46226415094339623
"[0, 500)",False,356,-0.8315437011405281,-0.5150260942658312,0.5056179775280899
"[500, 1000)",True,12,-0.969744757046945,-0.6328963502145062,0.5
"[500, 1000)",False,204,-0.8794920053322562,-0.509538432031588,0.5049019607843137
"[1000, 2000)",True,15,-0.3685080584468476,-0.2142170951502513,0.3333333333333333
"[1000, 2000)",False,164,-0.7055841976363747,-0.3490490912502743,0.4329268292682927
"[2000, 5000)",True,69,-0.2769013740386558,-0.1906317112304404,0.17391304347826086
"[2000, 5000)",False,127,-0.41444466255874973,-0.1240159417035635,0.2283464566929134
"[5000, 10000)",True,123,-0.14645020874129902,-0.1350142520284333,0.0975609756097561
"[5000, 10000)",False,287,-0.2733710069255166,-0.1160035245021078,0.17770034843205576
"[10000, 20000)",True,287,-0.06780883833643447,-0.0585665085654547,0.03832752613240418
"[10000, 20000)",False,717,-0.116747719345414,-0.050762574676779,0.0794979079497908
"[20000, 50000)",True,842,-0.05198791092820033,-0.0315333591297937,0.03681710213776722
"[20000, 50000)",False,2594,-0.054996722892291336,-0.03584182230406875,0.03970701619121048
