held_out,shape,arm,targets,pds_proxy,reach_proxy,prec_200,yield_200,mse_ratio,pds_minus_base,pds_minus_base_ci95,pds_minus_base_nb_targets,reach_minus_base,reach_minus_base_ci95,reach_minus_base_nb_targets
k562,t16,base,271,0.7558835588355884,0.09780703948428769,0.5288560885608856,0.5282457671147109,1.071458248084182,0.0,"[0.0, 0.0]",0.0,0.0,"[0.0, 0.0]",0.0
k562,t16,cis_replace_2kb,271,0.7544075440754408,0.0979260729326867,0.528929889298893,0.5283195678527183,1.0715563758323257,-0.0014760147601476019,"[-0.0048243815771491045, 0.0010250102501025006]",-0.005882352941176472,0.00011903344839900011,"[0.0, 0.00035710034519700033]",0.0004743833017077799
k562,t16,cis_min_2kb,271,0.7568949022823562,0.0979260729326867,0.528929889298893,0.5283195678527183,1.0714768116808489,0.0010113434467678003,"[9.56676233428996e-05, 0.002187030203635367]",0.004030501089324616,0.00011903344839900011,"[0.0, 0.00035710034519700033]",0.0004743833017077799
k562,t16,cis_fill_2kb,271,0.7559518928522618,0.09780703948428769,0.5288745387453874,0.5282642172992127,1.0714573164882932,6.833401667349996e-05,"[0.0, 0.0002050020500204999]",0.00027233115468409545,0.0,"[0.0, 0.0]",0.0
k562,t16,cis_add_2kb,271,0.7606259395927292,0.0979260729326867,0.528929889298893,0.5283195678527183,1.0714879853160406,0.004742380757140905,"[0.0018720103867705348, 0.008692086920869207]",0.018899782135076253,0.00011903344839900011,"[0.0, 0.00035710034519700033]",0.0004743833017077799
k562,t16,cis_shuffled_2kb,271,0.7557605576055761,0.09780703948428769,0.5288376383763838,0.528227316930209,1.0715837266199917,-0.00012300123001230133,"[-0.0009293426267596027, 0.0007926745934125995]",-0.0004901960784313773,0.0,"[0.0, 0.0]",0.0
k562,t16,cis_replace_5kb,271,0.7544622112887797,0.0979260729326867,0.5289852398523985,0.5283749184062237,1.0715718673783243,-0.001421347546808802,"[-0.004687713543802105, 0.0009703430367637001]",-0.005664488017429196,0.00011903344839900011,"[0.0, 0.00035710034519700033]",0.0004743833017077799
k562,t16,cis_min_5kb,271,0.7569495694956949,0.0979260729326867,0.5289852398523985,0.5283749184062237,1.071478074798649,0.0010660106601066005,"[9.566762334289997e-05, 0.0023506901735684013]",0.004248366013071893,0.00011903344839900011,"[0.0, 0.00035710034519700033]",0.0004743833017077799
k562,t16,cis_fill_5kb,271,0.7559518928522618,0.09780703948428769,0.5288745387453874,0.5282642172992127,1.0714573164882932,6.833401667349996e-05,"[0.0, 0.0002050020500204999]",0.00027233115468409545,0.0,"[0.0, 0.0]",0.0
k562,t16,cis_add_5kb,271,0.7607079404127375,0.09805785996484273,0.5289852398523985,0.5283749184062237,1.0714872321000106,0.0048243815771491045,"[0.0018573185731857317, 0.00861008610086101]",0.019226579520697167,0.00025082048055503594,"[0.0, 0.0006461815770231435]",0.0009995933857413933
k562,t16,cis_shuffled_5kb,271,0.7553368867022004,0.09780703948428769,0.5288745387453874,0.5282642172992127,1.071574919675853,-0.0005466721333880014,"[-0.0012300123001230013, 8.200082000819978e-05]",-0.00217864923747277,0.0,"[0.0, 0.0]",0.0
k562,t16,cis_replace_10kb,271,0.7544758780921142,0.0979260729326867,0.5290221402214023,0.5284118187752275,1.071564009265274,-0.0014076807434741016,"[-0.0045930709307093085, 0.0012033620336203321]",-0.005664488017429196,0.00011903344839900011,"[0.0, 0.00035710034519700033]",0.0004743833017077799
k562,t16,cis_min_10kb,271,0.7570315703157032,0.0979260729326867,0.5290221402214023,0.5284118187752275,1.0714768507888504,0.0011480114801148012,"[0.0001499931665983315, 0.0023373650403170697]",0.004248366013071893,0.00011903344839900011,"[0.0, 0.00035710034519700033]",0.0004743833017077799
k562,t16,cis_fill_10kb,271,0.7559518928522618,0.09780703948428769,0.5288745387453874,0.5282642172992127,1.0714573164882932,6.833401667349996e-05,"[0.0, 0.0002050020500204999]",0.00027233115468409545,0.0,"[0.0, 0.0]",0.0
k562,t16,cis_add_10kb,271,0.7608172748394151,0.09805785996484273,0.5290036900369003,0.5283933685907255,1.0714935525645664,0.004933716003826705,"[0.0018580019133524668, 0.008651428180948474]",0.019226579520697167,0.00025082048055503594,"[0.0, 0.0006461815770231435]",0.0009995933857413933
k562,t16,cis_shuffled_10kb,271,0.7561705617056171,0.09780703948428769,0.5288376383763838,0.528227316930209,1.0715757562037995,0.0002870028700287005,"[-0.00039633729670630034, 0.0010660106601066]",0.0006535947712418326,0.0,"[0.0, 0.0]",0.0
k562,t19,base,271,0.7768621019543529,0.10556594036801357,0.5341328413284133,0.5334712323657533,1.0820253935687574,0.0,"[0.0, 0.0]",0.0,0.0,"[0.0, 0.0]",0.0
k562,t19,cis_replace_2kb,271,0.7723520568539018,0.10560255468764515,0.5341328413284133,0.5334712323657533,1.0820422441578457,-0.004510045100451005,"[-0.00910209102091021, -0.0010113434467678008]",-0.017973856209150336,3.6614319631568404e-05,"[-0.00014760147601476016, 0.0002574444349094654]",0.00014591883264933878
k562,t19,cis_min_2kb,271,0.7771081044143775,0.10565175517965007,0.5341328413284133,0.5334712323657533,1.082049500899412,0.0002460024600245998,"[-0.00013666803334700116, 0.0007653409867432006]",0.0009803921568627433,8.581481163648846e-05,"[0.0, 0.0002574444349094654]",0.0003419972640218878
k562,t19,cis_fill_2kb,271,0.7768621019543529,0.10565175517965007,0.5341328413284133,0.5334712323657533,1.0820244619728687,0.0,"[0.0, 0.0]",0.0,8.581481163648846e-05,"[0.0, 0.0002574444349094654]",0.0003419972640218878
k562,t19,cis_add_2kb,271,0.7789531228645621,0.10565175517965007,0.5341328413284133,0.5334712323657533,1.0822621236480623,0.0020910209102091015,"[0.0007653409867432006, 0.003676711767117668]",0.008333333333333331,8.581481163648846e-05,"[0.0, 0.0002574444349094654]",0.0003419972640218878
k562,t19,cis_shuffled_2kb,271,0.7764384310509771,0.10556594036801357,0.5340405904059041,0.5333789814432441,1.0821503348306116,-0.00042367090337570043,"[-0.001161678283449501, 0.0004376793767937663]",-0.0016884531590413943,0.0,"[0.0, 0.0]",0.0
k562,t19,cis_replace_5kb,271,0.7724477244772447,0.10560255468764515,0.5341328413284133,0.5334712323657533,1.0820573561593598,-0.0044143774771081045,"[-0.008569085690856907, -0.0009153341533415349]",-0.017592592592592597,3.6614319631568404e-05,"[-0.00014760147601476016, 0.0002574444349094654]",0.00014591883264933878
k562,t19,cis_min_5kb,271,0.7772037720377204,0.10565175517965007,0.5341328413284133,0.5334712323657533,1.0820506864691777,0.0003416700833675002,"[-6.833401667349956e-05, 0.0008473418067514021]",0.0013616557734204787,8.581481163648846e-05,"[0.0, 0.0002574444349094654]",0.0003419972640218878
