held_out,shape,arm,targets,pds_proxy,reach_proxy,prec_200,yield_200,mse_ratio,pds_minus_base,pds_minus_base_ci95,pds_minus_base_nb_targets,reach_minus_base,reach_minus_base_ci95,reach_minus_base_nb_targets,pairs,pairs_measured,targets_with_pair
k562,t16,base,271,0.7558835588355884,0.09780703948428769,0.5288560885608856,0.5282457671147109,1.071458248084182,0.0,"[0.0, 0.0]",0.0,0.0,"[0.0, 0.0]",0.0,,,
k562,t16,cis_med_add1_2kb,271,0.7591499248325817,0.0979260729326867,0.528929889298893,0.5283195678527183,1.0714437842904636,0.0032663659969933024,"[0.001065668990023233, 0.00602740194068607]",0.013017429193899779,0.00011903344839900011,"[0.0, 0.00035710034519700033]",0.0004743833017077799,54.0,48.0,54.0
k562,t16,cis_med_add2_2kb,271,0.7613092797594644,0.0979260729326867,0.528929889298893,0.5283195678527183,1.0715164058883055,0.005425720923875904,"[0.001940686073527401, 0.009923124231242307]",0.021623093681917203,0.00011903344839900011,"[0.0, 0.00035710034519700033]",0.0004743833017077799,54.0,48.0,54.0
k562,t16,cis_med_add4_2kb,271,0.7639743064097309,0.09801188774432319,0.528929889298893,0.5283195678527183,1.0719229053297947,0.008090747574142408,"[0.003143023096897635, 0.01432315156484898]",0.03224400871459694,0.00020484826003548857,"[0.0, 0.0005484535340477167]",0.0008163805657296677,54.0,48.0,54.0
k562,t16,cis_mean_add1_2kb,271,0.7608172748394151,0.0979260729326867,0.528929889298893,0.5283195678527183,1.071488893125058,0.004933716003826705,"[0.0018993439934399344, 0.009252425857591909]",0.01966230936819172,0.00011903344839900011,"[0.0, 0.00035710034519700033]",0.0004743833017077799,54.0,48.0,54.0
k562,t16,cis_mean_add2_2kb,271,0.7635233018996858,0.09801188774432319,0.528929889298893,0.5283195678527183,1.071777185142204,0.007639743064097307,"[0.0027466858001913346, 0.013653819871532046]",0.03044662309368192,0.00020484826003548857,"[0.0, 0.0005287299684699773]",0.0008163805657296677,54.0,48.0,54.0
k562,t16,cis_meas_2kb,271,0.7574142408090748,0.0979260729326867,0.5288745387453874,0.5282642172992127,1.0714451967817311,0.0015306819734864012,"[0.0005876725433921004, 0.0028567035670356692]",0.006100217864923746,0.00011903344839900011,"[0.0, 0.00035710034519700033]",0.0004743833017077799,54.0,48.0,54.0
k562,t16,cis_shuffled_2kb,271,0.7556648899822331,0.09780703948428769,0.5288376383763838,0.528227316930209,1.0716271175822205,-0.00021866885335520094,"[-0.0011210195435287706, 0.0007793494601612669]",-0.0008714596949891097,0.0,"[0.0, 0.0]",0.0,54.0,48.0,54.0
k562,t16,cis_med_add1_5kb,271,0.759177258439251,0.0979260729326867,0.5289667896678967,0.5283564682217219,1.0714418429395796,0.003293699603662703,"[0.0011066694000273329, 0.006109402760694271]",0.01312636165577342,0.00011903344839900011,"[0.0, 0.00035710034519700033]",0.0004743833017077799,69.0,62.0,68.0
k562,t16,cis_med_add2_5kb,271,0.7613639469728032,0.09805785996484273,0.5289852398523985,0.5283749184062237,1.0715145894530957,0.005480388137214705,"[0.0018993439934399327, 0.010127442941096073]",0.021840958605664484,0.00025082048055503594,"[0.0, 0.0006461815770231435]",0.0009995933857413933,69.0,62.0,68.0
k562,t16,cis_med_add4_5kb,271,0.764097307639743,0.09817319507168218,0.5289852398523985,0.5283749184062237,1.0719275375228496,0.00821374880415471,"[0.0032390323903239036, 0.014625187918545843]",0.032734204793028326,0.0003661555873944765,"[2.952029520295203e-05, 0.0008014517335185135]",0.0014592377085868107,69.0,62.0,68.0
k562,t16,cis_mean_add1_5kb,271,0.7608719420527538,0.09805785996484273,0.5289852398523985,0.5283749184062237,1.0714875834369464,0.004988383217165504,"[0.001830668306683066, 0.009034098674320076]",0.019880174291938994,0.00025082048055503594,"[0.0, 0.0006334279932661078]",0.0009995933857413933,69.0,62.0,68.0
k562,t16,cis_mean_add2_5kb,271,0.7636736367363675,0.09817319507168218,0.5289852398523985,0.5283749184062237,1.07178584641094,0.007790077900779008,"[0.0029510045100451013, 0.013598810988109881]",0.03104575163398693,0.0003661555873944765,"[2.952029520295203e-05, 0.0008168827393986081]",0.0014592377085868107,69.0,62.0,68.0
k562,t16,cis_meas_5kb,271,0.7574142408090748,0.0979260729326867,0.5288745387453874,0.5282642172992127,1.0714426482127641,0.0015306819734864012,"[0.0005466721333880001, 0.0027750444171108354]",0.006100217864923746,0.00011903344839900011,"[0.0, 0.00047613379359600044]",0.0004743833017077799,69.0,62.0,68.0
k562,t16,cis_shuffled_5kb,271,0.7552275522755229,0.09780703948428769,0.5288929889298892,0.5282826674837146,1.0716166326524865,-0.0006560065600656008,"[-0.001421347546808802, -5.432554325543371e-05]",-0.002614379084967321,0.0,"[0.0, 0.0]",0.0,69.0,62.0,68.0
k562,t19,base,271,0.7768621019543529,0.10556594036801357,0.5341328413284133,0.5334712323657533,1.0820253935687574,0.0,"[0.0, 0.0]",0.0,0.0,"[0.0, 0.0]",0.0,,,
k562,t19,cis_med_add1_2kb,271,0.7783244499111658,0.10556594036801357,0.5341328413284133,0.5334712323657533,1.0821261727471563,0.0014623479568129018,"[0.0005189968566352318, 0.002651701517015168]",0.005827886710239653,0.0,"[0.0, 0.0]",0.0,54.0,48.0,54.0
k562,t19,cis_med_add2_2kb,271,0.7792401257345907,0.10565175517965007,0.5341328413284133,0.5334712323657533,1.082314037306743,0.002378023780237803,"[0.0007926745934126015, 0.004291376247095804]",0.009477124183006539,8.581481163648846e-05,"[0.0, 0.0002574444349094654]",0.0003419972640218878,54.0,48.0,54.0
k562,t19,cis_med_add4_2kb,271,0.780552138854722,0.10565175517965007,0.5341328413284133,0.5334712323657533,1.082951022694177,0.0036900369003690036,"[0.0010660106601066022, 0.006901735684023507]",0.014705882352941176,8.581481163648846e-05,"[0.0, 0.0002574444349094654]",0.0003419972640218878,54.0,48.0,54.0
k562,t19,cis_mean_add1_2kb,271,0.7790077900779008,0.10565175517965007,0.5341328413284133,0.5334712323657533,1.0822600822268742,0.0021456881235479026,"[0.0007243405767391015, 0.003786729533962003]",0.008551198257080611,8.581481163648846e-05,"[0.0, 0.0002574444349094654]",0.0003419972640218878,54.0,48.0,54.0
k562,t19,cis_mean_add2_2kb,271,0.7802924695913626,0.10565175517965007,0.5341328413284133,0.5334712323657533,1.082752417885984,0.0034303676370097025,"[0.0011750034167008316, 0.006164069974033071]",0.013671023965141608,8.581481163648846e-05,"[0.0, 0.0002574444349094654]",0.0003419972640218878,54.0,48.0,54.0
k562,t19,cis_meas_2kb,271,0.7751810851441848,0.10544690691961459,0.5341328413284133,0.5334712323657533,1.0819310651072511,-0.001681016810168102,"[-0.003252699193658603, -0.0006013393467268015]",-0.006699346405228759,-0.00011903344839900011,"[-0.00035710034519700033, 0.0]",-0.0004743833017077799,54.0,48.0,54.0
k562,t19,cis_shuffled_2kb,271,0.7763017630176302,0.10556594036801357,0.5340405904059041,0.5333789814432441,1.082190808520029,-0.0005603389367227008,"[-0.001421347546808801, 0.00035533688670220004]",-0.0022331154684095867,0.0,"[0.0, 0.0]",0.0,54.0,48.0,54.0
