held_out,shape,metric,targets,base,cis,cis_minus_base,ci95,minus_base_nb_targets,targets_with_neighbour
k562,t16,pds,271,0.7358510622143258,0.7407164442014792,0.004865381987153206,"[0.00217894401166234, 0.008208547826219]",0.019389978213507637,68.0
k562,t16,prec,271,0.5403833677574648,0.5403990611785722,1.5693421107514683e-05,"[-0.00023101278008231152, 0.00021198395918331923]",6.254289882553646e-05,68.0
k562,t16,head,271,0.6642066420664207,0.6654366543665436,0.0012300123001230013,"[0.0, 0.0036900369003690036]",0.004901960784313726,68.0
k562,t16,detectable_median,271,94.33333333333333,94.33333333333333,,,,
k562,t19,pds,271,0.7536892776335171,0.756497046451946,0.002807768818428924,"[0.0012451217104763649, 0.004743975217529953]",0.011189784555797624,68.0
k562,t19,prec,271,0.544750903509184,0.544691055492312,-5.984801687186645e-05,"[-0.00026916877402731335, 7.500545156762385e-05]",-0.0002385119495922913,68.0
k562,t19,head,271,0.7269372693726938,0.7281672816728167,0.0012300123001230013,"[0.0, 0.0036900369003690036]",0.004901960784313726,68.0
k562,t19,detectable_median,271,106.0,106.0,,,,
cd4_mix,t16,pds,292,0.6599677279312924,0.6654754245843075,0.00550769665301511,"[0.0033735295809861543, 0.00811146286096858]",0.021443298969072166,75.0
cd4_mix,t16,prec,292,0.5280514234520532,0.528157672220943,0.00010624876888984981,"[8.531526097931983e-06, 0.00020284412503506245]",0.00041366187354448193,75.0
cd4_mix,t16,head,292,0.5639269406392695,0.5970319634703196,0.03310502283105023,"[0.017123287671232876, 0.05251141552511416]",0.12888888888888891,75.0
cd4_mix,t16,detectable_median,292,247.16666666666666,247.16666666666666,,,,
cd4_mix,t19,pds,292,0.6668105048983456,0.6716552380653497,0.004844733167004036,"[0.0026499578946267265, 0.007346537683001461]",0.01886216113020238,75.0
cd4_mix,t19,prec,292,0.5309625997375378,0.5311202568999277,0.0001576571623898141,"[4.4020266428890264e-05, 0.0002774561457789807]",0.0006138118855710096,75.0
cd4_mix,t19,head,292,0.6073059360730593,0.6335616438356164,0.02625570776255708,"[0.012557077625570777, 0.042237442922374434]",0.10222222222222224,75.0
cd4_mix,t19,detectable_median,292,214.83333333333334,214.83333333333334,,,,
orion_hct116,t16,pds,265,0.6751111746394765,0.6776507210469475,0.0025395464074709343,"[0.0011927450606695918, 0.0042630312559557805]",0.010044474596713399,67.0
orion_hct116,t16,prec,265,0.5140361976598874,0.5140803884283648,4.419076847744848e-05,"[-1.6666144494356427e-05, 0.00011548525867372503]",0.00017478438278393802,67.0
orion_hct116,t16,head,265,0.6062893081761006,0.6125786163522012,0.00628930817610063,"[0.0, 0.01635220125786164]",0.024875621890547265,67.0
orion_hct116,t16,detectable_median,265,336.0,336.0,,,,
orion_hct116,t19,pds,265,0.6795915126103805,0.680955784257671,0.0013642716472905187,"[0.0006114208118925119, 0.00232041325201703]",0.005395999798984888,67.0
orion_hct116,t19,prec,265,0.5187067333194756,0.5187327511587978,2.6017839322222396e-05,"[-3.4255748540870865e-05, 8.900985357482017e-05]",0.00010290637940879008,67.0
orion_hct116,t19,head,265,0.6742138364779874,0.6767295597484276,0.002515723270440252,"[0.0, 0.007547169811320755]",0.009950248756218907,67.0
orion_hct116,t19,detectable_median,265,351.3333333333333,351.3333333333333,,,,
orion_hek293t,t16,pds,278,0.6508641462281438,0.65285244728405,0.0019883010559061816,"[0.0007802422322070139, 0.0034716991749560665]",0.007896395622027408,70.0
orion_hek293t,t16,prec,278,0.5199276106522127,0.5199671706923334,3.956004012073391e-05,"[-1.2470026195302893e-05, 9.346410933980265e-05]",0.00015710987362234323,70.0
orion_hek293t,t16,head,278,0.6546762589928058,0.6606714628297361,0.005995203836930456,"[0.0, 0.014388489208633094]",0.02380952380952381,70.0
orion_hek293t,t16,detectable_median,278,350.6666666666667,350.6666666666667,,,,
orion_hek293t,t19,pds,278,0.6640492660023607,0.6652944792180696,0.0012452132157090233,"[0.00037222929237837007, 0.0023664101210006767]",0.004945275342387264,70.0
orion_hek293t,t19,prec,278,0.5212018272220029,0.521238016964397,3.618974239409386e-05,"[-1.3379005576422425e-05, 8.952438168539335e-05]",0.0001437249769365442,70.0
orion_hek293t,t19,head,278,0.7026378896882494,0.7038369304556354,0.001199040767386091,"[0.0, 0.0035971223021582736]",0.0047619047619047615,70.0
orion_hek293t,t19,detectable_median,278,365.0,365.0,,,,
