target,pathway,mean_r,median_r,mean_delta_r,min_delta_r,positive_contexts,mean_delta_sign
USP18,IFNB,0.6385950821110056,0.6434057607202701,0.8815346751539188,0.7499789879309107,6,0.315
STAT2,IFNB,0.6992376035051208,0.7081553965083021,0.438054559508092,0.3366608056275065,6,0.6333333333333333
IFNGR2,IFNG,0.599019113419354,0.6009717690022602,0.4349828418324145,0.3778100777958184,6,0.3033333333333333
TYK2,IFNB,0.6616268768506745,0.6749244506578811,0.4022720140249813,0.32987713235376936,6,0.40499999999999997
IFNGR1,IFNG,0.539568028258854,0.5439546961891706,0.39195137992387125,0.33967715652229974,6,0.31999999999999995
IFNAR2,IFNB,0.6389014309844645,0.6724435778382278,0.37800125649297206,0.252072159410049,6,0.3283333333333333
JAK2,IFNG,0.4785266741919161,0.502194390275567,0.3446820009768839,0.2393322641925293,6,0.21166666666666667
IFNAR1,IFNB,0.6148642221403727,0.6032045844485465,0.3442200325340634,0.2474643909041504,6,0.4716666666666667
STAT1,IFNG,0.45858504818620854,0.494101803101485,0.3406075225929575,0.1759080937316997,6,0.17333333333333334
JAK1,IFNG,0.4318411302091083,0.43143418874556005,0.29758703633296746,0.14510501532797668,6,0.155
ADAR,IFNB,0.2661183316633733,0.3022808529305131,0.26065149559835044,-0.0174352550135329,5,0.044999999999999964
CREB1,TNFA,0.24734701528265626,0.24405617656952416,0.23465356045119964,0.11859244391192938,6,0.09333333333333334
TNFRSF1A,TNFA,0.24934379707588106,0.28406071467961,0.20838182449774936,0.05233219543133889,6,0.08666666666666671
MTF1,TNFA,0.21726593053610777,0.2095692044330013,0.20668122386485277,0.12293916669448489,6,0.07
JAK1,IFNB,0.4106217424093961,0.44044556790079276,0.2030856273321583,0.10349120230450429,6,0.065
MED15,TGFB1,0.1867241532758336,0.1842890273401403,0.19027200223473292,0.0635308425977499,6,0.08166666666666665
CHUK,TNFA,0.2127666346274921,0.223022749771015,0.18372668761559185,0.0667263177171698,6,0.09166666666666667
TSC1,INS,0.22709964965958582,0.2484062446279057,0.15893311007264915,0.0993122284071051,6,-0.001666666666666668
SREBF2,INS,0.11007107591425946,0.09281918122955124,0.158868309222563,0.012219976381071602,6,0.026666666666666682
MAPK14,TNFA,0.17798849938200534,0.158055257696433,0.1396747587283527,0.062127555357858404,6,0.15999999999999995
TRAF3,TNFA,0.13950156992025062,0.14200680175182234,0.1373940369570224,-0.1212500176700784,5,0.08666666666666667
MAP3K7,TNFA,0.1670265730651017,0.1583456581009913,0.12346367920336715,0.0466399017019745,6,0.05833333333333334
TSC2,INS,0.1597997877263232,0.14863836486623636,0.12032337547006434,0.030581346660774097,6,0.0050000000000000044
STAT1,IFNB,0.2721279496562078,0.3091164393905092,0.11951381017990015,0.0374886666750713,6,0.06166666666666663
ZC3H3,IFNG,0.1625483469379125,0.14568218443213998,0.11307265206107064,0.042136783691856194,6,0.065
KLF6,TNFA,0.15459833511535606,0.16239465102936265,0.11214702520328872,0.052653664851771906,6,0.13999999999999999
SOX4,TNFA,0.06253795855077933,0.0635512862758038,0.10729408066962343,0.006879142265792899,6,0.011666666666666678
SP1,INS,0.128201868455842,0.1363706774286672,0.10087877073919155,0.0570495402685091,6,0.003333333333333336
SREBF1,INS,0.08722268122433745,0.08863204844164554,0.09916380731897056,0.0629900299200723,6,0.00999999999999999
SRF,INS,0.16152220443528612,0.18304839695698838,0.09667105204391913,0.0022487637909702008,6,0.0050000000000000044
MAPK14,IFNB,0.10394730302276171,0.10960197330750385,0.09428071051920978,-0.010133022513176895,4,0.001666666666666668
MTOR,TNFA,0.08921020880212083,0.09704628538331264,0.09225772724277785,0.0014204997158205,6,0.16
DTX3L,IFNB,0.1113767637106876,0.10875509391804669,0.08971846219937141,0.010871611325333097,6,0.0016666666666666312
MAP2K3,TNFA,0.12038686663647696,0.07700795501696969,0.0886570677314108,-0.00032951908038170163,5,0.04666666666666663
IRF9,IFNB,0.22830227092746158,0.2108879634786151,0.08766255484770996,0.0344639683024553,6,0.03833333333333334
TGFBR1,TGFB1,0.0932731151121976,0.08278185667983426,0.08034024171866025,0.007316209963579399,6,0.03833333333333335
TGIF1,TGFB1,0.08211677070924166,0.0760972680557554,0.07844431392551185,0.0329163412729329,6,0.004999999999999972
IKBKB,TNFA,0.08678856990132083,0.08585620522066026,0.07689113299663282,0.015611286485496501,6,0.003333333333333327
NFKBIE,TNFA,0.07492846436515889,0.05836585277097775,0.07387411100392209,-0.0008590699874353007,5,0.02999999999999998
DRAP1,IFNB,0.08622031280837361,0.08032208555007155,0.07066728110514524,0.0020390586307022923,6,0.014999999999999994
TGFBR2,TGFB1,0.07423862119933221,0.07724004965761795,0.06649239999296963,-0.0196926422917312,5,0.04666666666666667
ZFP36L1,TNFA,0.061728514805962115,0.0566628624679278,0.06616252815417385,0.0220243841535216,6,0.010000000000000009
TAF3,INS,0.09360934609585932,0.0875367880111924,0.06607281297687577,-0.014785051696589203,5,0.0
KRAS,TGFB1,0.06663822696683801,0.06229165250091445,0.06606990367113845,0.00027357386808209844,6,0.014999999999999994
IRF1,IFNG,0.12121495009271939,0.1180349614496637,0.0653883102112033,0.005256080255592301,6,0.040000000000000015
IGF2,INS,0.05704620424365423,0.0549427449905103,0.0637382813771149,0.000844120069599906,6,-0.001666666666666668
DR1,INS,0.1160782201555171,0.14729414469881735,0.06294346000208671,0.0274296662759159,6,-0.003333333333333318
SP1,TGFB1,0.0855067779479066,0.1072445904502781,0.06253763658468849,0.0282244338126598,6,0.11499999999999998
PIK3CA,TNFA,0.07534351090742011,0.0637082785768102,0.06007105079982263,-0.021790380366751797,5,0.013333333333333364
JUN,TNFA,0.07613742408384198,0.08783008138873455,0.05788269222583243,-0.0228621328875089,5,-0.011666666666666686
TRAF2,TNFA,0.06268762573665408,0.0545419173253873,0.057703414390052436,-0.09547263758448091,5,0.053333333333333316
CREBBP,TGFB1,0.08038024287797477,0.0768686869040846,0.055447048178376306,0.015200360859872999,6,-0.011666666666666653
IRF1,TNFA,0.0711633367718335,0.07470410192080834,0.05494070050485373,-0.0370293760281368,5,0.010000000000000009
SOCS1,IFNB,0.014861304543621232,0.01636812603950125,0.0542030866563109,0.0013398763226506998,6,0.08
MAPK14,TGFB1,0.08536812421482065,0.08712007451453435,0.0537637696801799,0.010879823063247702,6,0.07000000000000002
MAP3K14,TNFA,0.062301094665869465,0.06535112632690984,0.04967346914963713,-0.00022626077647959833,5,0.013333333333333345
FADD,TNFA,0.04099394207126674,0.0345457201186168,0.046057815748855035,-0.21324619737470218,4,-0.06333333333333331
NFKB1,TNFA,0.06154526707025159,0.06467003780040101,0.04598260953581302,-0.0376746839958711,5,0.023333333333333355
PTGS2,TNFA,0.020841528103654184,0.02266154894748245,0.04510420196915573,-0.0079346855265223,5,0.024999999999999977
MAPK1,INS,0.07926344282436897,0.08456707135802645,0.04321160545946034,-0.0298891724082595,5,0.011666666666666695
IRF1,IFNB,0.12081691289839287,0.1252569728913694,0.04232741532015125,-0.006586876118292506,5,-0.004999999999999986
ELK1,INS,0.07226148270748645,0.06687132098160005,0.04217118288837358,0.0028900847635879995,6,0.01833333333333333
IRF2,IFNG,0.05595738726007584,0.0418442509865365,0.04205516936039216,-0.019619779865176098,4,0.02833333333333334
SMURF1,TGFB1,0.05639218898829906,0.07085264217802134,0.04093371341452435,-0.0056196523085654,4,0.023333333333333317
PTEN,INS,0.04483522684069252,0.053255596770259955,0.04039502122204618,-0.035919889777383,5,0.0
SMAD2,TGFB1,0.06067212190277734,0.0644662237991636,0.04008767360450199,0.014222499706426597,6,-9.25185853854297e-18
JUN,IFNB,0.057756783527192296,0.05464028887530195,0.0393802549598176,0.0032009234521683007,6,0.001666666666666668
NFKBIA,TNFA,0.041819326484641796,0.0347693018957952,0.03868781846998603,-0.026506530458581902,5,0.023333333333333327
MAP3K7,TGFB1,0.0828291380240705,0.08232621582655475,0.03852389622898352,0.007957325868272795,6,0.001666666666666668
ARID5B,TNFA,0.07693159617084305,0.06283145289270965,0.03801953387396122,-0.0104474925107177,5,-0.041666666666666664
RELB,TNFA,0.05098751529674992,0.056273407014488054,0.037714110045968884,-0.00014728822568309957,5,-0.001666666666666668
RUNX2,TGFB1,0.04895947861979299,0.04524646323029055,0.03764659908829419,0.0126175268018075,6,0.04666666666666666
PDCD5,TNFA,0.0506346525699617,0.06124255289422985,0.03741734364295858,0.012002317903783102,6,0.02166666666666665
MYC,TNFA,0.05305542149381907,0.05877826068165795,0.03717141718508372,-0.037630130828071394,5,0.01666666666666668
