model,uses_context,protocol,direction_id,seed,pooled_mse_vs_null,pearson_median,coverage_targets,n_total_params,n_trainable_params,train_seconds,infer_seconds,peak_rss_bytes,artifact_bytes,calibration_label,context_identifiable,verdict_eligible
lowrank_linear__with_ctx,True,new_context_seen_target,k562_rpe1_to_hepg2,2026,1.746865612486303,0.14532501362561168,1.0,432120,11115,4.03214670001762,0.08645629999227822,392306688,3310543,cross_context_within_training,True,False
lowrank_linear__no_ctx,False,new_context_seen_target,k562_rpe1_to_hepg2,2026,1.6796454559904068,0.12125950618703868,1.0,429715,8710,3.5272593999980018,0.07906000001821667,392306688,3292549,cross_context_within_training,True,False
modular_frozen__with_ctx,True,new_context_seen_target,k562_rpe1_to_hepg2,2026,1.0510211906023839,0.1591445072107954,1.0,838061,2528,9.057011500000954,0.08846339999581687,392306688,6425956,cross_context_within_training,True,False
modular_frozen__no_ctx,False,new_context_seen_target,k562_rpe1_to_hepg2,2026,1.1544619257281645,0.16506641253956542,1.0,837765,2232,8.725916099996539,0.1282096999930218,392306688,6423125,cross_context_within_training,True,False
lowrank_linear__with_ctx,True,new_context_seen_target,k562_hepg2_to_rpe1,2026,1.010612812984415,0.19635861984411285,1.0,432120,11115,4.114872300007846,0.11029789998428896,478015488,3309849,cross_context_within_training,True,False
lowrank_linear__no_ctx,False,new_context_seen_target,k562_hepg2_to_rpe1,2026,1.0391576739150372,0.1597523621940805,1.0,429715,8710,3.62375769999926,0.0825837999873329,478015488,3291850,cross_context_within_training,True,False
modular_frozen__with_ctx,True,new_context_seen_target,k562_hepg2_to_rpe1,2026,0.886966964158987,0.32619603720047713,1.0,838061,2528,8.82602519998909,0.08587850001640618,478015488,6425325,cross_context_within_training,True,False
modular_frozen__no_ctx,False,new_context_seen_target,k562_hepg2_to_rpe1,2026,0.8882348302122208,0.29771674098186546,1.0,111333,1224,7.696899600006873,0.0920336999988649,478015488,854080,cross_context_within_training,True,False
lowrank_linear__with_ctx,True,new_context_seen_target,rpe1_hepg2_to_k562,2026,1.3771784042005903,0.10393031128681793,1.0,432120,11115,4.25538570000208,0.07891539999400266,478773248,3310834,cross_context_within_training,True,False
lowrank_linear__no_ctx,False,new_context_seen_target,rpe1_hepg2_to_k562,2026,1.5556133472050828,0.1031102104455038,1.0,429715,8710,3.870294299995294,0.07147379999514669,478773248,3292833,cross_context_within_training,True,False
modular_frozen__with_ctx,True,new_context_seen_target,rpe1_hepg2_to_k562,2026,1.1082747627859444,0.08090462385973479,1.0,215405,1664,7.6106888000213075,0.07223459999659099,478773248,1653202,cross_context_within_training,True,False
modular_frozen__no_ctx,False,new_context_seen_target,rpe1_hepg2_to_k562,2026,1.2916485864686662,0.0869004495376921,1.0,215109,1368,9.88548460000311,0.11484929997823201,478773248,1650378,cross_context_within_training,True,False
lowrank_linear__with_ctx,True,new_context_unseen_target,k562_rpe1_to_hepg2,2026,1.271086615549357,0.1507986580569744,1.0,110840,731,2.7227292000025045,0.03911089999019168,478773248,847947,cross_context_within_training,True,False
lowrank_linear__no_ctx,False,new_context_unseen_target,k562_rpe1_to_hepg2,2026,1.1078589008164017,0.15153045341083154,1.0,110211,102,4.069109300005948,0.032582499989075586,478773248,843252,cross_context_within_training,True,False
modular_frozen__with_ctx,True,new_context_unseen_target,k562_rpe1_to_hepg2,2026,1.1012097108835663,0.14828151593588149,1.0,110605,496,4.777591699996265,0.04835759999696165,478773248,847572,cross_context_within_training,True,False
modular_frozen__no_ctx,False,new_context_unseen_target,k562_rpe1_to_hepg2,2026,1.0744488049079308,0.15530148209832595,1.0,110309,200,4.875181999988854,0.03230059999623336,478773248,844680,cross_context_within_training,True,False
lowrank_linear__with_ctx,True,new_context_unseen_target,k562_hepg2_to_rpe1,2026,0.8899831482062908,0.3452261783596574,1.0,110840,731,1.9538633000047412,0.026907999999821186,478773248,847468,cross_context_within_training,True,False
lowrank_linear__no_ctx,False,new_context_unseen_target,k562_hepg2_to_rpe1,2026,0.8978101883224789,0.3329776472144551,1.0,110211,102,1.8880444000242278,0.027718900004401803,478773248,842766,cross_context_within_training,True,False
modular_frozen__with_ctx,True,new_context_unseen_target,k562_hepg2_to_rpe1,2026,0.8824588027298768,0.3146380259715662,1.0,110605,496,3.844344400014961,0.030204899987438694,478773248,847090,cross_context_within_training,True,False
modular_frozen__no_ctx,False,new_context_unseen_target,k562_hepg2_to_rpe1,2026,0.8832647038776028,0.34476270488024674,1.0,214085,344,4.598908600019058,0.027481800003442913,478773248,1639634,cross_context_within_training,True,False
lowrank_linear__with_ctx,True,new_context_unseen_target,rpe1_hepg2_to_k562,2026,1.0759173203461057,0.10277247521454659,1.0,110840,731,2.0620423999789637,0.020401199988555163,478773248,848179,cross_context_within_training,True,False
lowrank_linear__no_ctx,False,new_context_unseen_target,rpe1_hepg2_to_k562,2026,1.2124928856055055,0.10302435878072733,1.0,110211,102,1.6549987000180408,0.02582419998361729,478773248,843480,cross_context_within_training,True,False
modular_frozen__with_ctx,True,new_context_unseen_target,rpe1_hepg2_to_k562,2026,1.1986751140711702,0.0933621846337035,1.0,837037,1504,5.1868046000017785,0.02712690000771545,478773248,6416220,cross_context_within_training,True,False
modular_frozen__no_ctx,False,new_context_unseen_target,rpe1_hepg2_to_k562,2026,1.2493633196907212,0.09549498508256621,1.0,836741,1208,5.192687200004002,0.029259000002639368,478773248,6413325,cross_context_within_training,True,False
