trial,E_mean,E_A,E_B,E_C,official_raw,pred_through_origin,pred_with_intercept
t08,857.9271776659125,756.6499913853352,879.9220367434244,937.2095048689781,1.152371863720626,1.1792435714369884,1.150856067189617
t10,1367.2214726757486,1454.0880776040901,1313.8681395773367,1333.7082008458192,1.2970197825606362,1.2856485562964317,1.2589830685875205
t11,747.2509245878746,651.8340765423472,762.2432792185923,827.6754180026841,1.1290387149435794,1.156120388734066,1.1273586679677143
t12,559.005617367584,492.12456528820366,565.1077377219284,619.78454909262,,1.1167909886977876,1.0873927763478917
t15,2978.1362351817265,2595.4859849337636,3036.115774039663,3302.8069465717535,1.5794312874980363,1.6222110558056628,1.600992363574858
t16,11898.924719800276,10349.933546845063,12151.424272498098,13195.416340057667,,3.485998600533215,3.4949427148705094
t17,2631.432520021339,2313.4892477797794,2657.092870205554,2923.7154420786833,1.5021517492639624,1.5497755231012542,1.52738456262142
t18,47847.62082600874,41752.3675970206,48836.87934911048,52953.61553189513,,10.996627528398903,11.127120715320594
t19,13655.731433405826,11828.636155104923,13796.334758978146,15342.223386134418,,3.853041769077949,3.8679259660852217
t20,13674.744900952233,11850.621176032526,13815.044368478573,15358.569158345601,3.877523999907396,3.857014182957751,3.8719626679531065
t22,10029.32790862594,8855.505679588168,9824.729282383423,11407.748763906235,,3.0953906115267285,3.0980132793828044
