source,arm,n_targets_all,n_targets_used,precision_median,precision_q25,precision_q75,n_pred_median_used,precision_pooled_all
k562,baseline,300,32,0.7,0.4945652173913043,0.8431174089068826,36.0,0.6062033765213978
k562,null_new,300,0,,,,,0.38461538461538464
k562,replicate,300,183,0.9521044992743106,0.9331385849271523,0.9656201200555866,388.0,0.9548928773734975
k562,shuffled_a0.5,300,41,0.5833333333333334,0.4666666666666667,0.7,35.0,0.5400894187779434
k562,shuffled_a1.0,300,115,0.5660377358490566,0.4627450980392157,0.6498452012383902,73.0,0.5389184362747002
k562,shuffled_a2.0,300,182,0.543854033290653,0.47186507529966193,0.6201628352490421,275.0,0.534536170212766
k562,transfer_a0.5,300,47,0.868421052631579,0.797112462006079,0.9024003623188406,31.0,0.7862339115836597
k562,transfer_a1.0,300,128,0.7783482142857143,0.6980914522739617,0.8387096774193549,72.0,0.7396315885464162
k562,transfer_a2.0,300,199,0.7091273821464393,0.6174532638676065,0.7704601334738321,320.0,0.6773013912365102
rpe1,baseline,300,32,0.7,0.4945652173913043,0.8431174089068826,36.0,0.6062033765213978
rpe1,null_new,300,0,,,,,0.38461538461538464
rpe1,replicate,300,183,0.9521044992743106,0.9331385849271523,0.9656201200555866,388.0,0.9548928773734975
rpe1,shuffled_a0.5,300,144,0.6775210084033614,0.5566176470588236,0.7466280980419007,100.5,0.6314073663036692
rpe1,shuffled_a1.0,300,193,0.6509528585757272,0.5385674931129476,0.696798493408663,560.0,0.613577974490891
rpe1,shuffled_a2.0,300,220,0.6066602316602316,0.5324525012025012,0.6494388432696716,1826.0,0.5855575052663643
rpe1,transfer_a0.5,300,159,0.8461538461538461,0.7840754321634364,0.8888118830426883,121.0,0.8325312479112359
rpe1,transfer_a1.0,300,214,0.7695068352407317,0.7121212121212122,0.8104953374239046,596.0,0.7633412534329003
rpe1,transfer_a2.0,300,235,0.7048780487804878,0.6469475247691866,0.7392609752414168,1897.0,0.6931819155040552
