model,uses_context,protocol,direction_id,seed,pooled_mse_vs_null,pearson_median,coverage_targets,n_total_params,n_trainable_params,train_seconds,infer_seconds,peak_rss_bytes,artifact_bytes,calibration_label,context_identifiable,verdict_eligible
lowrank_linear__with_ctx,True,new_context_seen_target,k562_rpe1_to_hepg2,2026,1.4845591334879398,0.16893742497183023,1.0,58824,531,0.8190468999964651,0.07177389998105355,389951488,450039,cross_context_within_training,True,False
lowrank_linear__no_ctx,False,new_context_seen_target,k562_rpe1_to_hepg2,2026,1.3308846426759298,0.13859993866883985,1.0,58491,198,0.6445657000003848,0.10721539999940433,389951488,447531,cross_context_within_training,True,False
modular_frozen__with_ctx,True,new_context_seen_target,k562_rpe1_to_hepg2,2026,1.050450873444237,0.15629600139730884,1.0,58845,552,1.2503261000092607,0.1161949000088498,389951488,451791,cross_context_within_training,True,False
modular_frozen__no_ctx,False,new_context_seen_target,k562_rpe1_to_hepg2,2026,1.2172900272226206,0.13206615039404765,1.0,58549,256,1.5603781999961939,0.1346303999889642,389951488,448918,cross_context_within_training,True,False
lowrank_linear__with_ctx,True,new_context_seen_target,k562_rpe1_to_hepg2,2027,1.4805964242097913,0.1666753458110155,1.0,58824,531,1.6514644999988377,0.13210519999847747,476979200,450126,cross_context_within_training,True,False
lowrank_linear__no_ctx,False,new_context_seen_target,k562_rpe1_to_hepg2,2027,1.3279112690479928,0.13890757059156403,1.0,58491,198,0.9619476000079885,0.08888289998867549,476979200,447623,cross_context_within_training,True,False
modular_frozen__with_ctx,True,new_context_seen_target,k562_rpe1_to_hepg2,2027,1.0694680888294497,0.16077104976364018,1.0,110733,624,1.5266445000015665,0.12679549999302253,476979200,849645,cross_context_within_training,True,False
modular_frozen__no_ctx,False,new_context_seen_target,k562_rpe1_to_hepg2,2027,1.198540038469675,0.17782194173837723,1.0,110437,328,1.9204769999778364,0.13102830000570975,476979200,846784,cross_context_within_training,True,False
lowrank_linear__with_ctx,True,new_context_seen_target,k562_hepg2_to_rpe1,2026,0.8718748322377311,0.2589117597347596,1.0,58824,531,1.148063100001309,0.09795840000151657,477700096,449342,cross_context_within_training,True,False
lowrank_linear__no_ctx,False,new_context_seen_target,k562_hepg2_to_rpe1,2026,0.8934803963666628,0.23231622457959572,1.0,58491,198,0.569581499992637,0.06133840000256896,477700096,446836,cross_context_within_training,True,False
modular_frozen__with_ctx,True,new_context_seen_target,k562_hepg2_to_rpe1,2026,0.8890061152353266,0.3027703690467761,1.0,110733,624,1.4839099000091664,0.09548920000088401,477700096,848986,cross_context_within_training,True,False
