held_out,trained_on,arm,targets,pds_proxy,reach_proxy,prec_200,mse_ratio,pds_minus_t20like,pds_ci95,reach_minus_t20like,reach_ci95
k562,cd4_mix+orion_hct116+orion_hek293t,t16like,271,0.7558835588355884,0.09780703948428769,0.5288560885608856,1.0714582455646984,-0.023479568129014625,"[-0.035097717643843104, -0.012461732950662854]",-0.007976502727518405,"[-0.016335989428890457, 0.0003920891719875136]"
k562,cd4_mix+orion_hct116+orion_hek293t,t20like,271,0.779363126964603,0.10578354221180611,0.5341328413284133,1.0823210030257995,,,,
k562,cd4_mix+orion_hct116+orion_hek293t,lct,271,0.5491321579882465,0.25063053437008503,0.49036900369003683,1.0985697042530949,-0.23023096897635642,"[-0.2734064507311739, -0.1839268142681427]",0.14484699215827895,"[0.11435869440593195, 0.1759877834251699]"
cd4_mix,k562+orion_hct116+orion_hek293t,t16like,292,0.6718683801722921,0.004712062324905056,0.5160102739726027,1.4273271512159764,-0.020394953631784587,"[-0.03218825024714023, -0.009225391893800316]",-0.002623936459037662,"[-0.004252783403279861, -0.001370842564098051]"
cd4_mix,k562+orion_hct116+orion_hek293t,t20like,292,0.6922633338040767,0.007335998783942718,0.5225513698630138,1.2618029334648873,,,,
cd4_mix,k562+orion_hct116+orion_hek293t,lct,292,0.584333662853646,0.0199713413973821,0.554777397260274,1.0092038583191651,-0.10792967095043075,"[-0.14814409452525537, -0.06847167302170133]",0.012635342613439382,"[0.00948025956747212, 0.01635940251795011]"
orion_hct116,k562+cd4_mix,t16like,265,0.6948542024013722,0.036792859802304526,0.5058679245283019,1.2153753432624554,-0.013550600343053174,"[-0.025243353344768436, -0.0020433104631217896]",-0.010925785960492993,"[-0.015466271800320635, -0.0064950718343504835]"
orion_hct116,k562+cd4_mix,t20like,265,0.7084048027444254,0.04771864576279752,0.5154716981132075,1.2590576586208728,,,,
orion_hct116,k562+cd4_mix,lct,265,0.6151943967981705,0.046459493776967654,0.5071132075471698,1.0048169872845605,-0.093210405946255,"[-0.13853023156089192, -0.04762435677530018]",-0.0012591519858298629,"[-0.013651538887199471, 0.010859125549034218]"
orion_hek293t,k562+cd4_mix,t16like,278,0.6589356673505962,0.03731241137905698,0.5170143884892087,1.3801796202187677,-0.017647975482429943,"[-0.029220450354517823, -0.006229709373295607]",-0.004787343145236846,"[-0.008569021891258745, -0.001114849708663331]"
orion_hek293t,k562+cd4_mix,t20like,278,0.676583642833026,0.042099754524293834,0.5208453237410071,1.4555003293642523,,,,
orion_hek293t,k562+cd4_mix,lct,278,0.6213411941926604,0.09938924753351919,0.5264208633093524,1.0129462706937742,-0.05524244864036569,"[-0.09757096849596135, -0.013931057320208834]",0.057289493009225353,"[0.03998590081176033, 0.07525564570122233]"
