held_out,arm,targets,pds_proxy,reach_proxy,prec_200_shared,prec_cohort,mse_ratio,mse_ratio_best_scale,best_scale,detectable_median,scale_vs_model,beta_info,pds_minus_t20like,pds_ci95,reach_minus_t20like,reach_ci95,prec_minus_t20like,prec_ci95
k562,t16like,271,0.7558835588355884,0.09780703948428769,0.5288560885608856,271,1.071458245331967,0.9992162521770905,0.09433264811944643,285.0,,,-0.023479568129014625,"[-0.035097717643843104, -0.012461732950662854]",-0.007976502727518405,"[-0.016335989428890457, 0.0003920891719875136]",-0.005276752767527675,"[-0.008708487084870849, -0.0019188191881918837]"
k562,t20like,271,0.779363126964603,0.10578354221180611,0.5341328413284133,271,1.0823210029441466,0.9988709106064668,0.10419873025775135,298.0,,,,,,,,
k562,gene_beta,271,0.7729123957906245,0.092792072649863,0.525479704797048,271,0.9998328495996223,0.9993261472449838,0.535575765299532,3.0,,"{0: {'beta_bar': 0.06719751135926355, 'lambda': 1.336579615783753, 'beta_quantiles': [-0.07668471095184962, 0.01764863315977709, 0.06774181341987547, 0.11614718036755302, 0.245688603735373]}, 1: {'beta_bar': 0.06404727164792952, 'lambda': 1.1149137104532236, 'beta_quantiles': [-0.08286155996981451, 0.013401867090787842, 0.06411769764313333, 0.1115410235132422, 0.23671799939531188]}, 2: {'beta_bar': 0.06451678153490406, 'lambda': 1.3404417831048843, 'beta_quantiles': [-0.0864870254067483, 0.014895821457946426, 0.06728782609266395, 0.11894780705211208, 0.24452982249015331]}}",-0.006450731173978404,"[-0.029876657099904332, 0.01597820144868115]",-0.012991469561943102,"[-0.025208953434478605, -5.372499652753887e-05]",-0.008653136531365313,"[-0.013820110701107014, -0.003265682656826571]"
k562,gene_beta_pos,271,0.7828891622249555,0.09990019250672803,0.5288191881918819,271,0.9996109564050825,0.999236587750802,0.5881392865279805,3.0,,,0.0035260352603526065,"[-0.01525932759327593, 0.022473008063413947]",-0.005883349705078065,"[-0.016050300557602017, 0.004543956970595137]",-0.0053136531365313685,"[-0.010442804428044282, -0.0004054428044280461]"
k562,lct_c,271,0.6659696596965969,0.11019331054524834,0.5237269372693727,271,1.0055663981977019,0.9983649536384905,0.3227187897278453,8.0,3.6912527758418707,,-0.11339346726800603,"[-0.1511302446357797, -0.07320896542298759]",0.004409768333442235,"[-0.01695996044446979, 0.027399810201804257]",-0.01040590405904059,"[-0.01715959409594096, -0.0034128228782287886]"
k562,lct_c_matched,271,0.6659696596965969,0.11019331054524834,0.5237269372693727,271,1.1765057612165055,0.9983649536415975,0.08742798580939184,297.0,3.6912527758418707,,-0.11339346726800603,"[-0.15285670356703565, -0.07230934809348094]",0.004409768333442235,"[-0.01680770623647851, 0.027219011908343953]",-0.01040590405904059,"[-0.01773108856088561, -0.0034317343173431757]"
k562,lct_c+t20like,271,0.7344540112067788,0.13132100276141417,0.5364575645756458,271,1.3307529260745752,0.9977619173612268,0.07577073848180745,855.0,3.6912527758418707,,-0.04490911575782425,"[-0.07321955719557195, -0.01596077627442942]",0.025537460549608072,"[0.006591315497248968, 0.0462505035167204]",0.0023247232472324714,"[-0.002491236162361622, 0.006863468634686344]"
cd4_mix,t16like,292,0.6718683801722921,0.004412944167438691,0.5160102739726027,292,1.4273271510763759,0.9996429614371034,0.028081846364182168,342.0,,,-0.020394953631784587,"[-0.031528032763733935, -0.008896460010356355]",-0.0026168235581927033,"[-0.004207614482381805, -0.0012681144943544602]",-0.006541095890410956,"[-0.011489726027397253, -0.0017465753424657513]"
cd4_mix,t20like,292,0.6922633338040767,0.007029767725631394,0.5225513698630138,292,1.261802933518926,0.9992529285199456,0.0506413611091019,294.0,,,,,,,,
cd4_mix,gene_beta,292,0.7256508026173327,0.0037248466313569454,0.5189212328767122,292,1.003691521704794,0.9995337756726773,0.2508600239485877,5.0,,"{0: {'beta_bar': 0.07172447296919642, 'lambda': 0.8983900501558111, 'beta_quantiles': [-0.10613508315302118, 0.009500591291643564, 0.07634320239767178, 0.14382940751042164, 0.32445351909447945]}, 1: {'beta_bar': 0.07121899446921007, 'lambda': 0.7748819849772197, 'beta_quantiles': [-0.11942583431260487, 0.006388789659288218, 0.07327379169259252, 0.1421827027374089, 0.3195368281177922]}, 2: {'beta_bar': 0.07361469876474999, 'lambda': 0.9015873326769728, 'beta_quantiles': [-0.11571606264646317, 0.009465728421637018, 0.08005955672536474, 0.1527907736720406, 0.3289511590209743]}}",0.033387468813256126,"[0.004503542343360166, 0.06514145836275477]",-0.0033049210942744487,"[-0.0058184932161887, -0.001193293834740736]",-0.003630136986301367,"[-0.00941780821917808, 0.002380993150684934]"
