held_out,arm,targets,pds_gen,minus_t20like,ci95
k562,t20like,271,0.756497046451946,,
k562,t20_rw0.25,271,0.766727408014821,0.010230361562874895,"[0.00426244818003736, 0.01606027819537455]"
k562,t20_rw0.5,271,0.7675140084734181,0.011016962021472062,"[0.0009946016126827868, 0.021682079783760782]"
cd4_mix,t20like,292,0.6716552380653497,,
cd4_mix,t20_rw0.25,292,0.6806948171162265,0.00903957905087689,"[0.002970619079749148, 0.014924556847484394]"
cd4_mix,t20_rw0.5,292,0.6808791915768332,0.009223953511483524,"[-0.0005090892686218153, 0.02049567308446705]"
orion_hct116,t20like,265,0.680955784257671,,
orion_hct116,t20_rw0.25,265,0.68855854138873,0.007602757131059014,"[0.00019586589162061405, 0.015143732926751786]"
orion_hct116,t20_rw0.5,265,0.6878104948859666,0.00685471062829553,"[-0.00563222635156598, 0.02015508862206974]"
orion_hek293t,t20like,278,0.6652944792180696,,
orion_hek293t,t20_rw0.25,278,0.6741610321850822,0.008866552967012675,"[0.0018680723291403017, 0.016182829909357703]"
orion_hek293t,t20_rw0.5,278,0.6734121727888448,0.008117693570775148,"[-0.0038497000233748023, 0.02063049921073968]"
