held_out,arm,targets,line_new,pds_proxy,reach_proxy,prec_200_shared,pds_gen,nmae_gen,mse_ratio,energy_ratio,detectable_median,pds_minus_t20like,pds_ci95,reach_minus_t20like,reach_ci95,pds_gen_minus_t20like,pds_gen_ci95,nmae_gen_minus_t20like,nmae_gen_ci95,prec_minus_t20like,prec_ci95
k562,t20like,271,False,0.779363126964603,0.10578354221180611,0.5341328413284133,0.756497046451946,1.1428752701354021,1.0823210029441466,1.0,298.0,,,,,,,,,,
k562,rw_all0.25,271,False,0.791526581932486,0.11057800309588722,0.5361623616236163,0.7690219124413467,1.171428598519324,1.148545708139484,1.6720737051165382,298.0,0.012163454967883009,"[0.004099699330326635, 0.020186210195435286]",0.00479446088408114,"[-0.001114313053010637, 0.010748036173532908]",0.012524865989400637,"[0.005708054302765254, 0.02029732889921492]",0.028553328383921942,"[0.018507079733061794, 0.03984341109276472]",0.0020295202952029514,"[-0.0008487084870848699, 0.005018450184501844]"
k562,rw_tx0.25,271,False,0.7909799097990979,0.11066381790752372,0.5361623616236163,0.7685344631224089,1.170249792197139,1.146550883583226,1.577649197199177,298.0,0.011616782834495007,"[0.003977039770397702, 0.01991321579882465]",0.004880275695717629,"[-0.0012840934735685707, 0.011087987327723866]",0.012037416670463003,"[0.005021677068622543, 0.019027531016050907]",0.02737452206173715,"[0.017999554795004227, 0.03890826997501343]",0.0020295202952029514,"[-0.0007564575645756431, 0.004926660516605165]"
k562,rw_tx0.5,271,False,0.7863878638786388,0.11244976818434814,0.5354428044280444,0.7689687637617117,1.2259216388279799,1.455284526514858,3.7594472626452444,297.0,0.007024736914035808,"[-0.007191471914719148, 0.02193521935219352]",0.006666225972542045,"[-0.0013087622335580234, 0.015139814273020438]",0.012471717309765684,"[0.0010482058524288924, 0.024309105128088312]",0.083046368692578,"[0.06452999538316892, 0.10184047470224833]",0.0013099630996309952,"[-0.0026392988929889293, 0.005185424354243539]"
cd4_mix,t20like,292,True,0.6922633338040767,0.007029767725631394,0.5225513698630138,0.6716552380653497,1.5150669986115444,1.261802933518926,1.0,294.0,,,,,,,,,,
cd4_mix,rw_all0.25,292,True,0.7052440804029563,0.008170126682670082,0.5219691780821919,0.6786693132901296,1.5324339156898763,1.425164174995999,1.6593916847364982,294.0,0.012980746598879633,"[-0.001377218377818573, 0.02708039118768536]",0.0011403589570386876,"[0.000305484053481123, 0.002059382228372573]",0.007014075224779929,"[-0.0009134381521756204, 0.014828675589867514]",0.017366917078331674,"[0.01421438033282417, 0.020825649052456614]",-0.0005821917808219168,"[-0.003751712328767125, 0.0022607020547945203]"
cd4_mix,rw_tx0.25,292,True,0.7031492727015958,0.00817376993536609,0.5219691780821919,0.6781789556821332,1.5322129392621846,1.421677288735778,1.5359479762844304,294.0,0.010885938897519185,"[-0.0020489102292519873, 0.023278256366803186]",0.0011440022097346948,"[0.00035232339857127265, 0.0021170188405597694]",0.006523717616783567,"[-0.0011168057974653065, 0.014645837583099269]",0.017145940650640196,"[0.01407694192787554, 0.02044778584093473]",-0.0005821917808219168,"[-0.0035791952054794506, 0.0024833047945205466]"
cd4_mix,rw_tx0.5,292,True,0.7060796497669821,0.008822192677349659,0.522431506849315,0.6758357001260547,1.5548701389477433,2.230331538432167,3.580505934590097,293.5,0.01381631596290543,"[-0.008572529774513957, 0.034459292472814575]",0.001792424951718266,"[0.0006432614776929088, 0.003123936682735111]",0.004180462060704958,"[-0.009501267084059071, 0.017794227641000675]",0.03980314033619892,"[0.03336812017662943, 0.046477712115701626]",-0.0001198630136986291,"[-0.004538099315068494, 0.004213184931506844]"
orion_hct116,t20like,265,True,0.7084048027444254,0.04771864576279752,0.5154716981132075,0.680955784257671,1.189464285624838,1.259057658510061,1.0,483.0,,,,,,,,,,
orion_hct116,rw_all0.25,265,True,0.719739851343625,0.0485052290052659,0.5171320754716981,0.6846801346801347,1.2358836407549345,1.431287594721923,1.9662711753881432,482.0,0.011335048599199543,"[0.000813321898227554, 0.021614136649513994]",0.0007865832424683798,"[-0.002505984625390789, 0.004110572386547253]",0.0037243504224636357,"[-0.0047110650530461755, 0.011730671494822457]",0.046419355130096394,"[0.03808391066418257, 0.05547577075530244]",0.0016603773584905675,"[-0.0009438679245283026, 0.00432075471698113]"
