smallest data/HEK293T_Batch72.parquet 6031551
start {'ws_mib': 98, 'peak_ws_mib': 98, 'private_mib': 293, 'peak_private_mib': 293}
0 after download {'ws_mib': 112, 'peak_ws_mib': 112, 'private_mib': 307, 'peak_private_mib': 308}
0 after gc {'ws_mib': 100, 'peak_ws_mib': 112, 'private_mib': 296, 'peak_private_mib': 308}
1 after download {'ws_mib': 106, 'peak_ws_mib': 112, 'private_mib': 301, 'peak_private_mib': 308}
1 after gc {'ws_mib': 100, 'peak_ws_mib': 112, 'private_mib': 299, 'peak_private_mib': 308}
2 after download {'ws_mib': 110, 'peak_ws_mib': 112, 'private_mib': 306, 'peak_private_mib': 308}
2 after gc {'ws_mib': 99, 'peak_ws_mib': 112, 'private_mib': 294, 'peak_private_mib': 308}
3 after download {'ws_mib': 111, 'peak_ws_mib': 112, 'private_mib': 306, 'peak_private_mib': 308}
3 after gc {'ws_mib': 100, 'peak_ws_mib': 112, 'private_mib': 296, 'peak_private_mib': 308}
4 after download {'ws_mib': 110, 'peak_ws_mib': 112, 'private_mib': 306, 'peak_private_mib': 308}
4 after gc {'ws_mib': 102, 'peak_ws_mib': 112, 'private_mib': 300, 'peak_private_mib': 308}
5 after download {'ws_mib': 111, 'peak_ws_mib': 112, 'private_mib': 307, 'peak_private_mib': 308}
5 after gc {'ws_mib': 103, 'peak_ws_mib': 112, 'private_mib': 302, 'peak_private_mib': 308}
