utc,pid,ws_mb,private_mb,avail_mb
16:37:23,24840,158,388,1288
16:37:26,24840,227,459,989
16:37:28,24840,266,499,1098
16:37:31,24840,308,540,880
16:37:33,24840,252,492,760
16:37:36,24840,290,526,644
16:37:38,24840,332,564,592
16:37:41,24840,368,607,542
16:37:43,24840,421,677,509
16:37:46,24840,482,733,411
16:37:48,24840,511,772,463
16:37:51,24840,527,768,968
16:37:53,24840,496,1271,464
16:37:56,24840,419,1201,813
16:37:59,24840,460,1162,766
16:38:01,24840,594,1201,603
16:38:04,24840,664,1273,538
16:38:06,24840,540,1141,602
16:38:09,24840,610,1211,610
16:38:11,24840,528,1144,582
16:38:14,24840,577,1206,782
16:38:16,24840,554,1187,760
16:38:19,24840,538,1163,1525
16:38:21,24840,545,1163,1022
16:38:24,24840,492,1139,651
16:38:26,24840,612,1272,781
16:38:29,24840,551,1208,767
16:38:31,24840,507,1162,561
16:38:34,24840,564,1209,643
16:38:36,24840,504,1165,597
16:38:39,24840,540,1205,550
16:38:41,24840,554,1207,520
16:38:44,24840,507,1175,636
16:38:47,24840,706,1707,290
16:38:49,24840,990,1845,293
16:38:52,24840,869,1652,1225
16:38:54,24840,1040,1821,911
16:38:57,24840,941,1774,788
16:39:00,24840,524,1207,791
