utc,pid,ws_mb,private_mb,avail_mb
16:33:02,6540,196,430,603
16:33:05,6540,210,450,600
16:33:09,6540,265,499,557
16:33:12,6540,271,509,484
16:33:15,6540,318,554,523
16:33:19,6540,374,618,450
16:33:22,6540,852,1741,49
16:33:26,6540,1195,2052,424
16:33:30,6540,1248,2073,218
16:33:33,6540,1275,2013,720
16:33:36,6540,1384,2130,651
16:33:40,6540,1384,2101,654
16:33:43,6540,1545,2180,497
16:33:47,6540,1463,2058,519
16:33:51,6540,521,1121,1418
16:33:54,6540,1393,2063,664
16:33:58,6540,986,1541,871
16:34:01,6540,898,1452,875
16:34:05,6540,797,1397,829
16:34:08,6540,791,1457,359
16:34:12,6540,647,1524,362
16:34:16,6540,495,1575,178
16:34:19,6540,304,1579,388
16:34:23,6540,188,1582,585
16:34:26,6540,132,1302,592
16:34:30,6540,185,1357,280
16:34:33,6540,239,1406,279
16:34:37,6540,281,1460,306
16:34:40,6540,305,1477,568
16:34:44,6540,322,1481,1340
16:34:47,6540,1018,2144,233
16:34:51,6540,741,2348,631
16:34:54,6540,914,2367,1007
16:34:58,6540,1090,2368,1080
16:35:01,6540,1033,2216,985
16:35:05,6540,1155,2315,1034
16:35:08,6540,1163,2274,1170
16:35:12,6540,1307,2405,1126
16:35:15,6540,1195,2183,1003
16:35:19,6540,1269,2246,1025
16:35:23,6540,1277,2246,377
16:35:26,6540,319,2022,501
16:35:30,6540,672,2307,607
16:35:33,6540,872,2373,929
16:35:37,6540,1093,2386,895
16:35:40,6540,790,2024,1107
16:35:44,6540,829,1648,727
16:35:47,6540,1515,2476,935
16:35:51,6540,1572,2462,962
16:35:54,6540,1510,2243,662
