target,chunk,n_cells,in_panel,on_official_axis
ACLY,0,1111.0,True,True
ADNP,0,3670.0,True,True
AGO1,0,927.0,True,True
AKAP1,0,3637.0,True,True
AKIRIN1,0,1550.0,True,True
AKT2,0,1528.0,True,True
ALG12,0,1645.0,True,True
ANKRD52,0,124.0,True,True
ANKZF1,0,671.0,True,True
ANP32B,0,1027.0,True,True
AP2A2,0,1109.0,True,True
API5,0,679.0,True,True
ARL14EP,0,874.0,True,True
ASCC2,0,1248.0,True,True
BCKDK,0,1422.0,True,True
BCL6,0,1488.0,True,True
BCL7C,0,864.0,True,True
BRD1,0,576.0,True,True
BRPF1,0,2054.0,True,True
CAND1,0,2624.0,True,True
CAPRIN2,0,309.0,True,True
CARM1,0,1744.0,True,True
CAT,0,1559.0,True,True
CCDC112,0,2548.0,True,True
CDK8,0,1929.0,True,True
CHD3,0,1053.0,True,True
CHD6,0,858.0,True,True
CHKB,0,1692.0,True,True
CLCN6,0,881.0,True,True
COIL,0,2248.0,True,True
COMMD8,0,1009.0,True,True
COQ10B,0,1543.0,True,True
CSNK2A1,0,1589.0,True,True
CYTH2,0,1905.0,True,True
DBF4B,0,2247.0,True,True
DBN1,0,1224.0,True,True
DCAF16,0,703.0,True,True
DCP2,0,372.0,True,True
DDHD1,0,800.0,True,True
DEAF1,0,1963.0,True,True
DEK,0,2110.0,True,True
DHRS1,0,1138.0,True,True
DHX35,0,323.0,True,True
DLAT,0,1279.0,True,True
DMTF1,0,1478.0,True,True
DNTTIP1,0,4450.0,True,True
DRG2,0,2137.0,True,True
DTNBP1,0,1315.0,True,True
DVL3,0,2131.0,True,True
E2F1,0,452.0,True,True
E2F4,0,493.0,True,True
EAPP,0,71.0,True,True
ELK1,0,2118.0,True,True
EPC2,0,1592.0,True,True
EPM2AIP1,0,893.0,True,True
EZH2,0,349.0,True,True
FAM120A,0,1275.0,True,True
FCGRT,0,1793.0,True,True
FHL3,0,2162.0,True,True
FOXN2,0,3273.0,True,True
FOXO4,0,2061.0,True,True
FUBP3,0,758.0,True,True
FXYD5,0,3893.0,True,True
GIGYF2,0,1169.0,True,True
GLI3,0,3363.0,True,True
GLYR1,0,3432.0,True,True
GMEB2,0,885.0,True,True
GPATCH8,0,1786.0,True,True
GRAMD1A,0,676.0,True,True
GTF2IRD1,0,512.0,True,True
HDAC1,0,1606.0,True,True
HDAC8,0,1211.0,True,True
HEATR6,0,2275.0,True,True
HMGN3,0,1797.0,True,True
HMGN4,0,2150.0,True,True
HMGXB3,0,322.0,True,True
HOMEZ,0,2163.0,True,True
HSBP1,0,2175.0,True,True
HSP90AB1,0,1587.0,True,True
IFI27L2,0,1602.0,True,True
